,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
0,2016-05-18,Wednesday,Man Utd,3,1,Bournemouth,Man Utd,Old Trafford,Manchester
1,2016-05-15,Sunday,Arsenal,4,0,Aston Villa,Arsenal,Emirates Stadium,London
2,2016-05-15,Sunday,Chelsea,1,1,Leicester,Draw,Stamford Bridge,London
3,2016-05-15,Sunday,Everton,3,0,Norwich,Everton,Goodison Park,Liverpool
4,2016-05-15,Sunday,Newcastle,5,1,Spurs,Newcastle,St. James' Park,Newcastle
5,2016-05-15,Sunday,Southampton,4,1,Crystal Palace,Southampton,St. Mary's Stadium,Southampton
6,2016-05-15,Sunday,Stoke,2,1,West Ham,Stoke,bet365 Stadium,Stoke
7,2016-05-15,Sunday,Swansea,1,1,Man City,Draw,Liberty Stadium,Swansea
8,2016-05-15,Sunday,Watford,2,2,Sunderland,Draw,Vicarage Road,Watford
9,2016-05-15,Sunday,West Brom,1,1,Liverpool,Draw,The Hawthorns,West Bromwich
10,2016-05-12,Thursday,Norwich,4,2,Watford,Norwich,Carrow Road,Norwich
11,2016-05-12,Thursday,Sunderland,3,0,Everton,Sunderland,Stadium of Light,Sunderland
12,2016-05-12,Thursday,Liverpool,1,1,Chelsea,Draw,Anfield,Liverpool
13,2016-05-11,Wednesday,West Ham,3,2,Man Utd,West Ham,Boleyn Ground,London
14,2016-05-08,Sunday,Leicester,3,1,Everton,Leicester,King Power Stadium,Leicester
15,2016-05-08,Sunday,Spurs,1,2,Southampton,Southampton,White Hart Lane,London
16,2016-05-08,Sunday,Liverpool,2,0,Watford,Liverpool,Anfield,Liverpool
17,2016-05-08,Sunday,Man City,2,2,Arsenal,Draw,Etihad Stadium,Manchester
18,2016-05-07,Saturday,Norwich,0,1,Man Utd,Man Utd,Carrow Road,Norwich
19,2016-05-07,Saturday,Bournemouth,1,1,West Brom,Draw,Goldsands Stadium,Bournemouth
20,2016-05-07,Saturday,Aston Villa,0,0,Newcastle,Draw,Villa Park,Birmingham
21,2016-05-07,Saturday,Crystal Palace,2,1,Stoke,Crystal Palace,Selhurst Park,London
22,2016-05-07,Saturday,Sunderland,3,2,Chelsea,Sunderland,Stadium of Light,Sunderland
23,2016-05-07,Saturday,West Ham,1,4,Swansea,Swansea,Boleyn Ground,London
24,2016-05-03,Tuesday,Chelsea,2,2,Spurs,Draw,Stamford Bridge,London
25,2016-05-01,Sunday,Arsenal,1,0,Norwich,Arsenal,Emirates Stadium,London
26,2016-05-01,Sunday,Swansea,3,1,Liverpool,Swansea,Liberty Stadium,Swansea
27,2016-05-01,Sunday,Man Utd,1,1,Leicester,Draw,Old Trafford,Manchester
28,2016-05-01,Sunday,Southampton,4,2,Man City,Southampton,St. Mary's Stadium,Southampton
29,2016-04-30,Saturday,Everton,2,1,Bournemouth,Everton,Goodison Park,Liverpool
30,2016-04-30,Saturday,Newcastle,1,0,Crystal Palace,Newcastle,St. James' Park,Newcastle
31,2016-04-30,Saturday,Stoke,1,1,Sunderland,Draw,bet365 Stadium,Stoke
32,2016-04-30,Saturday,Watford,3,2,Aston Villa,Watford,Vicarage Road,Watford
33,2016-04-30,Saturday,West Brom,0,3,West Ham,West Ham,The Hawthorns,West Bromwich
34,2016-04-26,Tuesday,Spurs,1,1,West Brom,Draw,White Hart Lane,London
35,2016-04-24,Sunday,Sunderland,0,0,Arsenal,Draw,Stadium of Light,Sunderland
36,2016-04-24,Sunday,Leicester,4,0,Swansea,Leicester,King Power Stadium,Leicester
37,2016-04-23,Saturday,Bournemouth,1,4,Chelsea,Chelsea,Goldsands Stadium,Bournemouth
38,2016-04-23,Saturday,Aston Villa,2,4,Southampton,Southampton,Villa Park,Birmingham
39,2016-04-23,Saturday,Liverpool,2,2,Newcastle,Draw,Anfield,Liverpool
40,2016-04-23,Saturday,Man City,4,0,Stoke,Man City,Etihad Stadium,Manchester
41,2016-04-22,Friday,Arsenal,2,0,West Brom,Arsenal,Emirates Stadium,London
42,2016-04-21,Thursday,West Ham,3,1,Watford,West Ham,Boleyn Ground,London
43,2016-04-21,Thursday,Liverpool,4,0,Everton,Liverpool,Anfield,Liverpool
44,2016-04-21,Thursday,Man Utd,2,0,Crystal Palace,Man Utd,Old Trafford,Manchester
45,2016-04-20,Wednesday,Newcastle,1,1,Man City,Draw,St. James' Park,Newcastle
46,2016-04-19,Tuesday,Stoke,0,4,Spurs,Spurs,bet365 Stadium,Stoke
47,2016-04-17,Sunday,Chelsea,0,3,Man City,Man City,Stamford Bridge,London
48,2016-04-17,Sunday,Bournemouth,1,2,Liverpool,Liverpool,Goldsands Stadium,Bournemouth
49,2016-04-17,Sunday,Leicester,2,2,West Ham,Draw,King Power Stadium,Leicester
50,2016-04-17,Sunday,Arsenal,1,1,Crystal Palace,Draw,Emirates Stadium,London
51,2016-04-16,Saturday,Norwich,0,3,Sunderland,Sunderland,Carrow Road,Norwich
52,2016-04-16,Saturday,Everton,1,1,Southampton,Draw,Goodison Park,Liverpool
53,2016-04-16,Saturday,Man Utd,1,0,Aston Villa,Man Utd,Old Trafford,Manchester
54,2016-04-16,Saturday,Newcastle,3,0,Swansea,Newcastle,St. James' Park,Newcastle
55,2016-04-16,Saturday,West Brom,0,1,Watford,Watford,The Hawthorns,West Bromwich
