Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,True,Wigan,0,2,0,0,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-25,2,False,Liverpool,3,1,3,3,0,0.0,0.0,0,0.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-30,3,True,Fulham,2,0,3,6,3,3.0,0.5,3,3.0,3,3.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,
2009-09-13,4,False,Birmingham,1,0,3,9,6,6.0,0.6666666666666666,5,5.0,3,3.0,,,,,,,3.0,1.0,3.0,1.0,3.0,1.0
2009-09-19,5,True,Portsmouth,2,0,3,12,9,9.0,0.75,6,6.0,3,3.0,3.0,0.5,2.0,2.0,2.0,2.0,,,,,,
2009-09-26,6,False,Blackburn,1,2,0,12,12,12.0,0.8,8,8.0,3,3.0,,,,,,,6.0,1.0,4.0,1.0,4.0,1.0
2009-10-06,7,True,Man City,1,1,1,13,12,12.0,0.8,9,9.0,5,3.0,6.0,0.6666666666666666,4.0,2.0,4.0,2.0,,,,,,
2009-10-17,8,True,Chelsea,2,1,3,16,13,10.0,0.6666666666666666,10,7.0,6,3.0,7.0,0.5833333333333334,5.0,3.0,5.0,3.0,,,,,,
2009-10-24,9,False,Wolves,1,1,1,17,16,10.0,0.6666666666666666,12,7.0,7,4.0,,,,,,,6.0,0.6666666666666666,5.0,3.0,5.0,3.0
2009-10-31,10,False,Everton,1,1,1,18,17,8.0,0.5333333333333333,13,7.0,8,5.0,,,,,,,7.0,0.5833333333333334,6.0,4.0,6.0,4.0
2009-11-05,11,False,West Ham,1,2,0,18,18,6.0,0.4,14,6.0,9,6.0,,,,,,,8.0,0.6666666666666666,7.0,5.0,7.0,5.0
2009-11-07,12,True,Bolton,5,1,3,21,18,6.0,0.4,15,6.0,11,6.0,10.0,0.6666666666666666,7.0,4.0,7.0,4.0,,,,,,
2009-11-21,13,False,Burnley,1,1,1,22,21,8.0,0.5333333333333333,20,10.0,12,6.0,,,,,,,5.0,0.4166666666666667,8.0,7.0,5.0,6.0
2009-11-29,14,True,Spurs,1,1,1,23,22,6.0,0.4,21,9.0,13,6.0,13.0,0.8666666666666667,12.0,5.0,12.0,3.0,,,,,,
2009-12-05,15,True,Hull,3,0,3,26,23,6.0,0.4,22,9.0,14,6.0,11.0,0.7333333333333333,13.0,6.0,11.0,4.0,,,,,,
2009-12-13,16,False,Man Utd,1,0,3,29,26,8.0,0.5333333333333333,25,11.0,14,5.0,,,,,,,3.0,0.25,9.0,8.0,5.0,7.0
2009-12-16,17,False,Sunderland,2,0,3,32,29,11.0,0.7333333333333333,26,11.0,14,3.0,,,,,,,6.0,0.5,10.0,8.0,5.0,5.0
2009-12-19,18,True,Stoke,1,0,3,35,32,11.0,0.7333333333333333,28,8.0,14,2.0,11.0,0.7333333333333333,16.0,6.0,12.0,4.0,,,,,,
2009-12-27,19,False,Arsenal,0,3,0,35,35,13.0,0.8666666666666667,29,8.0,14,1.0,,,,,,,8.0,0.6666666666666666,12.0,8.0,6.0,4.0
2009-12-30,20,True,Liverpool,0,1,0,35,35,12.0,0.8,29,7.0,17,3.0,13.0,0.8666666666666667,17.0,6.0,12.0,3.0,,,,,,
2010-01-17,21,True,West Ham,0,0,1,36,35,9.0,0.6,29,4.0,18,4.0,10.0,0.6666666666666666,17.0,7.0,10.0,3.0,,,,,,
2010-01-28,22,True,Arsenal,0,0,1,37,36,7.0,0.4666666666666667,29,3.0,18,4.0,8.0,0.5333333333333333,17.0,7.0,5.0,2.0,,,,,,
2010-01-30,23,False,Fulham,2,0,3,40,37,5.0,0.3333333333333333,29,1.0,18,4.0,,,,,,,7.0,0.5833333333333334,12.0,11.0,5.0,6.0
2010-02-07,24,False,Spurs,0,0,1,41,40,5.0,0.3333333333333333,31,2.0,18,4.0,,,,,,,10.0,0.8333333333333334,14.0,11.0,6.0,4.0
2010-02-11,25,True,Man Utd,1,1,1,42,41,6.0,0.4,31,2.0,18,1.0,8.0,0.5333333333333333,17.0,7.0,4.0,1.0,,,,,,
2010-02-21,26,True,Burnley,5,2,3,45,42,7.0,0.4666666666666667,32,3.0,19,1.0,6.0,0.4,18.0,8.0,2.0,2.0,,,,,,
2010-03-13,27,False,Stoke,0,0,1,46,45,9.0,0.6,37,8.0,21,3.0,,,,,,,10.0,0.8333333333333334,14.0,11.0,5.0,3.0
2010-03-17,28,False,Wigan,2,1,3,49,46,9.0,0.6,37,8.0,21,3.0,,,,,,,8.0,0.6666666666666666,14.0,11.0,4.0,3.0
2010-03-20,29,True,Wolves,2,2,1,50,49,9.0,0.6,39,8.0,22,4.0,6.0,0.4,23.0,10.0,6.0,4.0,,,,,,
2010-03-25,30,True,Sunderland,1,1,1,51,50,9.0,0.6,41,10.0,24,6.0,7.0,0.4666666666666667,25.0,12.0,8.0,5.0,,,,,,
2010-03-27,31,False,Chelsea,1,7,0,51,51,9.0,0.6,42,10.0,25,6.0,,,,,,,8.0,0.6666666666666666,16.0,12.0,4.0,4.0
2010-04-03,32,False,Bolton,1,0,3,54,51,6.0,0.4,43,6.0,32,11.0,,,,,,,8.0,0.6666666666666666,17.0,19.0,5.0,8.0
2010-04-15,33,True,Everton,2,2,1,55,54,8.0,0.5333333333333333,44,7.0,32,11.0,7.0,0.4666666666666667,26.0,13.0,9.0,6.0,,,,,,
2010-04-18,34,False,Portsmouth,2,1,3,58,55,6.0,0.4,46,7.0,34,12.0,,,,,,,8.0,0.6666666666666666,18.0,19.0,4.0,8.0
2010-04-22,35,False,Hull,2,0,3,61,58,8.0,0.5333333333333333,48,7.0,35,11.0,,,,,,,10.0,0.8333333333333334,20.0,20.0,6.0,9.0
2010-04-25,36,True,Birmingham,1,0,3,64,61,10.0,0.6666666666666666,50,8.0,35,10.0,7.0,0.4666666666666667,28.0,15.0,11.0,8.0,,,,,,
2010-05-01,37,False,Man City,1,3,0,64,64,13.0,0.8666666666666667,51,8.0,35,3.0,,,,,,,12.0,1.0,22.0,20.0,8.0,9.0
2010-05-09,38,True,Blackburn,0,1,0,64,64,10.0,0.6666666666666666,52,8.0,38,6.0,9.0,0.6,29.0,15.0,11.0,7.0,,,,,,
