Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-16,1,False,Man Utd,0,1,0,0,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-20,2,True,Portsmouth,1,0,3,3,0,0.0,0.0,0,0.0,1,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-22,3,True,Stoke,0,0,1,4,3,3.0,0.5,1,1.0,1,1.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,
2009-08-29,4,False,Spurs,1,2,0,4,4,4.0,0.4444444444444444,1,1.0,1,1.0,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0
2009-09-13,5,True,Aston Villa,0,1,0,4,4,4.0,0.3333333333333333,2,2.0,3,3.0,4.0,0.6666666666666666,1.0,0.0,1.0,0.0,,,,,,
2009-09-19,6,False,Hull,1,0,3,7,4,4.0,0.26666666666666666,2,2.0,4,4.0,,,,,,,0.0,0.0,1.0,3.0,1.0,3.0
2009-09-26,7,True,Bolton,1,2,0,7,7,7.0,0.4666666666666667,3,3.0,4,3.0,4.0,0.4444444444444444,1.0,1.0,1.0,1.0,,,,,,
2009-10-03,8,False,Burnley,1,2,0,7,7,4.0,0.26666666666666666,4,3.0,6,5.0,,,,,,,3.0,0.3333333333333333,2.0,3.0,2.0,3.0
2009-10-17,9,False,Arsenal,1,3,0,7,7,3.0,0.2,5,4.0,8,7.0,,,,,,,3.0,0.25,3.0,5.0,3.0,5.0
2009-10-24,10,True,Sunderland,2,1,3,10,7,3.0,0.2,6,4.0,11,8.0,4.0,0.3333333333333333,2.0,3.0,2.0,3.0,,,,,,
2009-11-02,11,True,Man City,0,0,1,11,10,6.0,0.4,8,6.0,12,8.0,7.0,0.4666666666666667,4.0,4.0,4.0,4.0,,,,,,
2009-11-10,12,False,Liverpool,2,2,1,12,11,4.0,0.26666666666666666,8,5.0,12,8.0,,,,,,,3.0,0.25,4.0,8.0,4.0,8.0
2009-11-21,13,True,Fulham,1,0,3,15,12,5.0,0.3333333333333333,10,6.0,14,8.0,5.0,0.3333333333333333,4.0,4.0,3.0,4.0,,,,,,
2009-11-29,14,False,Wolves,1,0,3,18,15,8.0,0.5333333333333333,11,6.0,14,6.0,,,,,,,4.0,0.3333333333333333,6.0,10.0,6.0,9.0
2009-12-05,15,False,Wigan,3,2,3,21,18,11.0,0.7333333333333333,12,6.0,14,3.0,,,,,,,7.0,0.5833333333333334,7.0,10.0,6.0,7.0
2009-12-12,16,True,West Ham,1,0,3,24,21,11.0,0.7333333333333333,15,7.0,16,4.0,7.0,0.4666666666666667,5.0,4.0,4.0,4.0,,,,,,
2009-12-16,17,True,Blackburn,2,1,3,27,24,13.0,0.8666666666666667,16,8.0,16,4.0,10.0,0.6666666666666666,6.0,4.0,5.0,3.0,,,,,,
2009-12-20,18,False,Everton,1,1,1,28,27,15.0,1.0,18,8.0,17,3.0,,,,,,,7.0,0.5833333333333334,10.0,12.0,8.0,9.0
