Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,True,Man City,0,2,0,0,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-22,2,False,Sunderland,1,2,0,0,0,0.0,0.0,0,0.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-29,3,True,West Ham,0,0,1,1,0,0.0,0.0,1,1.0,4,4.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,
2009-09-12,4,True,Wolves,3,1,3,4,1,1.0,0.1111111111111111,1,1.0,4,4.0,1.0,0.16666666666666666,0.0,2.0,0.0,2.0,,,,,,
2009-09-20,5,False,Everton,0,3,0,4,4,4.0,0.3333333333333333,4,4.0,5,5.0,,,,,,,0.0,0.0,1.0,2.0,1.0,2.0
2009-09-26,6,True,Aston Villa,2,1,3,7,4,4.0,0.26666666666666666,4,4.0,8,8.0,4.0,0.4444444444444444,3.0,3.0,3.0,3.0,,,,,,
2009-10-04,7,False,Arsenal,2,6,0,7,7,7.0,0.4666666666666667,6,6.0,9,7.0,,,,,,,0.0,0.0,1.0,5.0,1.0,5.0
2009-10-18,8,True,Burnley,3,2,3,10,7,7.0,0.4666666666666667,8,7.0,15,11.0,7.0,0.5833333333333334,5.0,4.0,5.0,4.0,,,,,,
2009-10-25,9,False,Chelsea,0,5,0,10,10,9.0,0.6,11,10.0,17,13.0,,,,,,,0.0,0.0,3.0,11.0,3.0,11.0
2009-11-01,10,False,Man Utd,0,2,0,10,10,6.0,0.4,11,7.0,22,17.0,,,,,,,0.0,0.0,3.0,16.0,3.0,16.0
2009-11-07,11,True,Portsmouth,3,1,3,13,10,6.0,0.4,11,7.0,24,16.0,10.0,0.6666666666666666,8.0,6.0,8.0,6.0,,,,,,
2009-11-22,12,False,Bolton,2,0,3,16,13,6.0,0.4,14,8.0,25,16.0,,,,,,,0.0,0.0,3.0,18.0,3.0,18.0
2009-11-26,13,False,Fulham,0,3,0,16,16,9.0,0.6,16,8.0,25,10.0,,,,,,,3.0,0.25,5.0,18.0,4.0,16.0
2009-11-28,14,True,Stoke,0,0,1,17,16,6.0,0.4,16,5.0,28,11.0,13.0,0.8666666666666667,11.0,7.0,11.0,5.0,,,,,,
2009-12-05,15,True,Liverpool,0,0,1,18,17,7.0,0.4666666666666667,16,5.0,28,6.0,13.0,0.8666666666666667,11.0,7.0,11.0,5.0,,,,,,
2009-12-12,16,False,Hull,0,0,1,19,18,8.0,0.5333333333333333,16,5.0,28,4.0,,,,,,,3.0,0.25,5.0,21.0,4.0,16.0
2009-12-16,17,False,Birmingham,1,2,0,19,19,6.0,0.4,16,2.0,28,3.0,,,,,,,4.0,0.3333333333333333,5.0,21.0,2.0,10.0
2009-12-19,18,True,Spurs,0,2,0,19,19,3.0,0.2,17,1.0,30,5.0,11.0,0.7333333333333333,11.0,7.0,8.0,4.0,,,,,,
2009-12-26,19,False,Wigan,1,1,1,20,19,3.0,0.2,17,1.0,32,4.0,,,,,,,4.0,0.3333333333333333,6.0,23.0,3.0,7.0
2009-12-28,20,True,Sunderland,2,2,1,21,20,3.0,0.2,18,2.0,33,5.0,8.0,0.5333333333333333,11.0,9.0,6.0,5.0,,,,,,
2010-01-12,21,False,Man City,1,4,0,21,21,3.0,0.2,20,4.0,35,7.0,,,,,,,5.0,0.4166666666666667,7.0,24.0,4.0,6.0
2010-01-17,22,True,Fulham,2,0,3,24,21,2.0,0.13333333333333333,21,5.0,39,11.0,6.0,0.4,13.0,11.0,5.0,5.0,,,,,,
2010-01-28,23,True,Wigan,2,1,3,27,24,5.0,0.3333333333333333,23,6.0,39,9.0,6.0,0.4,15.0,11.0,4.0,4.0,,,,,,
2010-01-30,24,False,West Ham,0,0,1,28,27,8.0,0.5333333333333333,25,8.0,40,8.0,,,,,,,2.0,0.16666666666666666,8.0,28.0,3.0,10.0
2010-02-06,25,False,Stoke,0,3,0,28,28,8.0,0.5333333333333333,25,7.0,40,7.0,,,,,,,3.0,0.25,8.0,28.0,3.0,7.0
