Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,True,Sunderland,0,1,0,0,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-22,2,False,Hull,0,1,0,0,0,0.0,0.0,0,0.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-29,3,True,Liverpool,2,3,0,0,0,0.0,0.0,0,0.0,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,
2009-09-12,4,False,Portsmouth,3,2,3,3,0,0.0,0.0,2,2.0,5,5.0,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0
2009-09-19,5,True,Stoke,1,1,1,4,3,3.0,0.25,5,5.0,7,7.0,0.0,0.0,2.0,4.0,2.0,4.0,,,,,,
2009-09-26,6,False,Birmingham,2,1,3,7,4,4.0,0.26666666666666666,6,6.0,8,8.0,,,,,,,3.0,0.5,3.0,3.0,3.0,3.0
2009-10-03,7,True,Spurs,2,2,1,8,7,7.0,0.4666666666666667,8,8.0,9,8.0,1.0,0.1111111111111111,3.0,5.0,3.0,5.0,,,,,,
2009-10-17,8,False,Man Utd,1,2,0,8,8,8.0,0.5333333333333333,10,10.0,11,9.0,,,,,,,6.0,0.6666666666666666,5.0,4.0,5.0,4.0
2009-10-25,9,True,Everton,3,2,3,11,8,8.0,0.5333333333333333,11,9.0,13,8.0,2.0,0.16666666666666666,5.0,7.0,5.0,7.0,,,,,,
2009-10-31,10,True,Chelsea,0,4,0,11,11,8.0,0.5333333333333333,14,9.0,15,8.0,5.0,0.3333333333333333,8.0,9.0,8.0,9.0,,,,,,
2009-11-07,11,False,Aston Villa,1,5,0,11,11,7.0,0.4666666666666667,14,8.0,19,11.0,,,,,,,6.0,0.5,6.0,6.0,6.0,6.0
2009-11-22,12,True,Blackburn,0,2,0,11,11,4.0,0.26666666666666666,15,7.0,24,15.0,5.0,0.3333333333333333,8.0,13.0,8.0,12.0,,,,,,
2009-11-28,13,False,Fulham,1,1,1,12,11,3.0,0.2,15,5.0,26,15.0,,,,,,,6.0,0.5,7.0,11.0,7.0,11.0
2009-12-05,14,False,Wolves,1,2,0,12,12,4.0,0.26666666666666666,16,5.0,27,14.0,,,,,,,7.0,0.5833333333333334,8.0,12.0,8.0,11.0
2009-12-12,15,True,Man City,3,3,1,13,12,1.0,0.06666666666666667,17,3.0,29,14.0,5.0,0.3333333333333333,8.0,15.0,6.0,11.0,,,,,,
2009-12-16,16,True,West Ham,3,1,3,16,13,2.0,0.13333333333333333,20,6.0,32,13.0,5.0,0.3333333333333333,11.0,18.0,8.0,13.0,,,,,,
2009-12-26,17,False,Burnley,1,1,1,17,16,5.0,0.3333333333333333,23,8.0,33,9.0,,,,,,,4.0,0.3333333333333333,9.0,14.0,6.0,11.0
2009-12-30,18,True,Hull,2,2,1,18,17,6.0,0.4,24,9.0,34,8.0,7.0,0.4666666666666667,14.0,19.0,9.0,12.0,,,,,,
2010-01-18,19,True,Arsenal,0,2,0,18,18,6.0,0.4,26,10.0,36,9.0,5.0,0.3333333333333333,16.0,21.0,8.0,12.0,,,,,,
2010-01-21,20,False,Arsenal,2,4,0,18,18,6.0,0.4,26,9.0,38,9.0,,,,,,,2.0,0.16666666666666666,10.0,15.0,5.0,11.0
2010-01-27,21,True,Burnley,1,0,3,21,18,5.0,0.3333333333333333,28,8.0,42,10.0,5.0,0.3333333333333333,16.0,23.0,8.0,10.0,,,,,,
2010-01-30,22,False,Liverpool,0,2,0,21,21,5.0,0.3333333333333333,29,6.0,42,9.0,,,,,,,2.0,0.16666666666666666,12.0,19.0,6.0,13.0
2010-02-06,23,True,Fulham,0,0,1,22,21,4.0,0.26666666666666666,29,5.0,44,10.0,8.0,0.5333333333333333,17.0,23.0,9.0,8.0,,,,,,
2010-02-10,24,False,Man City,0,2,0,22,22,4.0,0.26666666666666666,29,3.0,44,8.0,,,,,,,2.0,0.16666666666666666,12.0,21.0,5.0,10.0
2010-02-18,25,False,Wigan,0,0,1,23,22,4.0,0.26666666666666666,29,3.0,46,8.0,,,,,,,1.0,0.08333333333333333,12.0,23.0,4.0,11.0
2010-02-21,26,False,Blackburn,0,3,0,23,23,5.0,0.3333333333333333,29,1.0,46,4.0,,,,,,,2.0,0.16666666666666666,12.0,23.0,3.0,9.0
2010-02-27,27,True,Wolves,1,0,3,26,23,2.0,0.13333333333333333,29,0.0,49,7.0,8.0,0.5333333333333333,17.0,23.0,6.0,5.0,,,,,,
2010-03-06,28,False,West Ham,2,1,3,29,26,5.0,0.3333333333333333,30,1.0,49,5.0,,,,,,,1.0,0.08333333333333333,12.0,26.0,2.0,11.0
2010-03-10,29,False,Sunderland,0,4,0,29,29,7.0,0.4666666666666667,32,3.0,50,6.0,,,,,,,4.0,0.3333333333333333,14.0,27.0,2.0,8.0
2010-03-13,30,True,Wigan,4,0,3,32,29,7.0,0.4666666666666667,32,3.0,54,8.0,8.0,0.5333333333333333,18.0,23.0,4.0,4.0,,,,,,
2010-03-20,31,False,Everton,0,2,0,32,32,9.0,0.6,36,7.0,54,8.0,,,,,,,4.0,0.3333333333333333,14.0,31.0,2.0,10.0
2010-03-28,32,True,Man Utd,0,4,0,32,32,9.0,0.6,36,7.0,56,7.0,10.0,0.6666666666666666,22.0,23.0,6.0,2.0,,,,,,
2010-04-03,33,True,Aston Villa,0,1,0,32,32,6.0,0.4,36,6.0,60,11.0,10.0,0.6666666666666666,22.0,27.0,6.0,4.0,,,,,,
2010-04-14,34,False,Chelsea,0,1,0,32,32,3.0,0.2,36,4.0,61,11.0,,,,,,,4.0,0.3333333333333333,14.0,33.0,2.0,10.0
2010-04-17,35,False,Stoke,2,1,3,35,32,3.0,0.2,36,4.0,62,8.0,,,,,,,3.0,0.25,14.0,34.0,2.0,11.0
2010-04-24,36,True,Portsmouth,2,2,1,36,35,3.0,0.2,38,2.0,63,9.0,7.0,0.4666666666666667,22.0,28.0,5.0,5.0,,,,,,
2010-05-01,37,False,Spurs,0,1,0,36,36,4.0,0.26666666666666666,40,4.0,65,9.0,,,,,,,6.0,0.5,16.0,35.0,4.0,9.0
2010-05-09,38,True,Birmingham,2,1,3,39,36,4.0,0.26666666666666666,40,4.0,66,6.0,7.0,0.4666666666666667,24.0,30.0,7.0,7.0,,,,,,
