Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,False,Stoke,0,2,0,0,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-20,2,True,Man Utd,1,0,3,3,0,0.0,0.0,0,0.0,2,2.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-23,3,True,Everton,1,0,3,6,3,3.0,0.5,1,1.0,2,2.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,
2009-08-29,4,False,Chelsea,0,3,0,6,6,6.0,0.6666666666666666,2,2.0,2,2.0,,,,,,,0.0,0.0,0.0,2.0,0.0,2.0
2009-09-12,5,False,Liverpool,0,4,0,6,6,6.0,0.5,2,2.0,5,5.0,,,,,,,0.0,0.0,0.0,5.0,0.0,5.0
2009-09-19,6,True,Sunderland,3,1,3,9,6,6.0,0.4,2,2.0,9,9.0,6.0,1.0,2.0,0.0,2.0,0.0,,,,,,
2009-09-26,7,False,Spurs,0,5,0,9,9,9.0,0.6,5,5.0,10,8.0,,,,,,,0.0,0.0,0.0,9.0,0.0,9.0
2009-10-03,8,True,Birmingham,2,1,3,12,9,6.0,0.4,5,4.0,15,13.0,9.0,1.0,5.0,1.0,5.0,1.0,,,,,,
2009-10-18,9,False,Blackburn,2,3,0,12,12,6.0,0.4,7,5.0,16,14.0,,,,,,,0.0,0.0,0.0,14.0,0.0,14.0
2009-10-24,10,True,Wigan,1,3,0,12,12,6.0,0.4,9,7.0,19,14.0,12.0,1.0,7.0,2.0,7.0,2.0,,,,,,
2009-10-31,11,True,Hull,2,0,3,15,12,6.0,0.4,10,8.0,22,13.0,12.0,0.8,8.0,5.0,8.0,5.0,,,,,,
2009-11-07,12,False,Man City,3,3,1,16,15,6.0,0.4,12,7.0,22,12.0,,,,,,,0.0,0.0,2.0,17.0,2.0,17.0
2009-11-21,13,True,Aston Villa,1,1,1,17,16,7.0,0.4666666666666667,15,10.0,25,10.0,12.0,0.8,10.0,5.0,9.0,5.0,,,,,,
2009-11-28,14,False,West Ham,3,5,0,17,17,5.0,0.3333333333333333,16,9.0,26,10.0,,,,,,,1.0,0.08333333333333333,5.0,20.0,5.0,18.0
2009-12-05,15,False,Portsmouth,0,2,0,17,17,5.0,0.3333333333333333,19,10.0,31,12.0,,,,,,,1.0,0.08333333333333333,8.0,25.0,8.0,20.0
2009-12-12,16,True,Fulham,1,1,1,18,17,5.0,0.3333333333333333,19,9.0,33,11.0,10.0,0.6666666666666666,11.0,6.0,9.0,6.0,,,,,,
2009-12-17,17,True,Arsenal,1,1,1,19,18,3.0,0.2,20,8.0,34,12.0,8.0,0.5333333333333333,12.0,7.0,7.0,6.0,,,,,,
2009-12-20,18,False,Wolves,0,2,0,19,19,3.0,0.2,21,6.0,35,10.0,,,,,,,1.0,0.08333333333333333,8.0,27.0,8.0,18.0
2009-12-26,19,True,Bolton,1,1,1,20,19,2.0,0.13333333333333333,21,5.0,37,11.0,6.0,0.4,13.0,8.0,6.0,6.0,,,,,,
2009-12-28,20,False,Everton,0,2,0,20,20,3.0,0.2,22,3.0,38,7.0,,,,,,,1.0,0.08333333333333333,8.0,29.0,8.0,15.0
2010-01-16,21,False,Man Utd,0,3,0,20,20,3.0,0.2,22,3.0,40,7.0,,,,,,,1.0,0.08333333333333333,8.0,31.0,6.0,14.0
2010-01-27,22,False,Bolton,0,1,0,20,20,2.0,0.13333333333333333,22,2.0,43,9.0,,,,,,,0.0,0.0,8.0,34.0,3.0,14.0
2010-01-31,23,True,Chelsea,1,2,0,20,20,1.0,0.06666666666666667,22,1.0,44,9.0,7.0,0.4666666666666667,14.0,9.0,6.0,4.0,,,,,,
2010-02-06,24,True,West Ham,2,1,3,23,20,1.0,0.06666666666666667,23,2.0,46,9.0,4.0,0.26666666666666666,15.0,11.0,5.0,6.0,,,,,,
2010-02-10,25,False,Fulham,0,3,0,23,23,3.0,0.2,25,3.0,47,9.0,,,,,,,0.0,0.0,8.0,35.0,0.0,10.0
2010-02-21,26,False,Aston Villa,2,5,0,23,23,3.0,0.2,25,3.0,50,10.0,,,,,,,0.0,0.0,8.0,38.0,0.0,11.0
2010-02-27,27,True,Portsmouth,1,2,0,23,23,3.0,0.2,27,5.0,55,12.0,6.0,0.4,17.0,12.0,6.0,6.0,,,,,,
2010-03-06,28,False,Arsenal,1,3,0,23,23,3.0,0.2,28,6.0,57,13.0,,,,,,,0.0,0.0,10.0,43.0,2.0,14.0
2010-03-11,29,True,Stoke,1,1,1,24,23,3.0,0.2,29,6.0,60,14.0,5.0,0.3333333333333333,18.0,14.0,6.0,7.0,,,,,,
