Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,True,Hull,2,1,3,3,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-19,2,False,Sunderland,3,1,3,6,3,3.0,1.0,2,2.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-23,3,False,Fulham,2,0,3,9,6,6.0,1.0,5,5.0,2,2.0,,,,,,,3.0,1.0,3.0,1.0,3.0,1.0
2009-08-29,4,True,Burnley,3,0,3,12,9,9.0,1.0,7,7.0,2,2.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,
2009-09-12,5,False,Stoke,2,1,3,15,12,12.0,1.0,10,10.0,2,2.0,,,,,,,6.0,1.0,5.0,1.0,5.0,1.0
2009-09-20,6,True,Spurs,3,0,3,18,15,15.0,1.0,12,12.0,3,3.0,6.0,1.0,5.0,1.0,5.0,1.0,,,,,,
2009-09-26,7,False,Wigan,1,3,0,18,18,15.0,1.0,15,13.0,3,2.0,,,,,,,9.0,1.0,7.0,2.0,7.0,2.0
2009-10-04,8,True,Liverpool,2,0,3,21,18,12.0,0.8,16,11.0,6,4.0,9.0,1.0,8.0,1.0,8.0,1.0,,,,,,
2009-10-17,9,False,Aston Villa,1,2,0,21,21,12.0,0.8,18,11.0,6,4.0,,,,,,,9.0,0.75,8.0,5.0,8.0,5.0
2009-10-25,10,True,Blackburn,5,0,3,24,21,9.0,0.6,19,9.0,8,6.0,12.0,1.0,10.0,1.0,10.0,1.0,,,,,,
2009-10-31,11,False,Bolton,4,0,3,27,24,9.0,0.6,24,12.0,8,5.0,,,,,,,9.0,0.75,9.0,7.0,9.0,7.0
2009-11-09,12,True,Man Utd,1,0,3,30,27,9.0,0.6,28,13.0,8,5.0,15.0,1.0,15.0,1.0,15.0,1.0,,,,,,
2009-11-21,13,True,Wolves,4,0,3,33,30,12.0,0.8,29,13.0,8,2.0,15.0,1.0,16.0,1.0,14.0,0.0,,,,,,
2009-11-30,14,False,Arsenal,3,0,3,36,33,12.0,0.8,33,15.0,8,2.0,,,,,,,9.0,0.75,13.0,7.0,10.0,6.0
2009-12-06,15,False,Man City,1,2,0,36,36,15.0,1.0,36,17.0,8,0.0,,,,,,,9.0,0.75,16.0,7.0,11.0,6.0
2009-12-12,16,True,Everton,3,3,1,37,36,12.0,0.8,37,13.0,10,2.0,15.0,1.0,20.0,1.0,15.0,0.0,,,,,,
2009-12-17,17,True,Portsmouth,2,1,3,40,37,10.0,0.6666666666666666,40,12.0,13,5.0,13.0,0.8666666666666667,23.0,4.0,15.0,3.0,,,,,,
2009-12-21,18,False,West Ham,1,1,1,41,40,10.0,0.6666666666666666,42,13.0,14,6.0,,,,,,,6.0,0.5,17.0,9.0,10.0,7.0
2009-12-26,19,False,Birmingham,0,0,1,42,41,8.0,0.5333333333333333,43,10.0,15,7.0,,,,,,,7.0,0.5833333333333334,18.0,10.0,10.0,5.0
2009-12-28,20,True,Fulham,2,1,3,45,42,6.0,0.4,43,7.0,15,7.0,13.0,0.8666666666666667,25.0,5.0,15.0,4.0,,,,,,
2010-01-16,21,True,Sunderland,7,2,3,48,45,9.0,0.6,45,8.0,16,6.0,13.0,0.8666666666666667,27.0,6.0,12.0,5.0,,,,,,
2010-01-28,22,True,Birmingham,3,0,3,51,48,11.0,0.7333333333333333,52,12.0,18,5.0,13.0,0.8666666666666667,34.0,8.0,18.0,7.0,,,,,,
2010-01-31,23,False,Burnley,2,1,3,54,51,11.0,0.7333333333333333,55,13.0,18,4.0,,,,,,,8.0,0.6666666666666666,18.0,10.0,9.0,3.0
2010-02-03,24,False,Hull,1,1,1,55,54,13.0,0.8666666666666667,57,14.0,19,4.0,,,,,,,8.0,0.6666666666666666,20.0,11.0,7.0,4.0
2010-02-08,25,True,Arsenal,2,0,3,58,55,13.0,0.8666666666666667,58,15.0,20,5.0,13.0,0.8666666666666667,37.0,8.0,17.0,7.0,,,,,,
2010-02-11,26,False,Everton,1,2,0,58,58,13.0,0.8666666666666667,60,15.0,20,4.0,,,,,,,6.0,0.5,21.0,12.0,5.0,5.0
2010-02-20,27,False,Wolves,2,0,3,61,58,10.0,0.6666666666666666,61,9.0,22,4.0,,,,,,,6.0,0.5,22.0,14.0,5.0,5.0
2010-02-27,28,True,Man City,2,4,0,61,61,10.0,0.6666666666666666,63,8.0,22,4.0,15.0,1.0,39.0,8.0,16.0,4.0,,,,,,
