Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-16,1,True,Arsenal,1,6,0,0,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-23,2,False,Burnley,0,1,0,0,0,0.0,0.0,1,1.0,6,6.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-30,3,True,Wigan,2,1,3,3,0,0.0,0.0,1,1.0,7,7.0,0.0,0.0,1.0,6.0,1.0,6.0,,,,,,
2009-09-13,4,False,Fulham,1,2,0,3,3,3.0,0.3333333333333333,3,3.0,8,8.0,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0
2009-09-20,5,True,Blackburn,3,0,3,6,3,3.0,0.25,4,4.0,10,10.0,3.0,0.5,3.0,7.0,3.0,7.0,,,,,,
2009-09-26,6,False,Portsmouth,1,0,3,9,6,6.0,0.4,7,7.0,10,10.0,,,,,,,0.0,0.0,1.0,3.0,1.0,3.0
2009-10-04,7,True,Stoke,1,1,1,10,9,9.0,0.6,8,7.0,10,4.0,6.0,0.6666666666666666,6.0,7.0,6.0,7.0,,,,,,
2009-10-17,8,True,Wolves,1,1,1,11,10,10.0,0.6666666666666666,9,8.0,11,4.0,7.0,0.5833333333333334,7.0,8.0,7.0,8.0,,,,,,
2009-10-25,9,False,Bolton,2,3,0,11,11,8.0,0.5333333333333333,10,7.0,12,4.0,,,,,,,3.0,0.3333333333333333,2.0,3.0,2.0,3.0
2009-10-31,10,True,Aston Villa,1,1,1,12,11,8.0,0.5333333333333333,12,8.0,15,5.0,8.0,0.5333333333333333,8.0,9.0,8.0,9.0,,,,,,
2009-11-08,11,False,West Ham,2,1,3,15,12,6.0,0.4,13,6.0,16,6.0,,,,,,,3.0,0.25,4.0,6.0,4.0,6.0
2009-11-22,12,False,Man Utd,0,3,0,15,15,6.0,0.4,15,7.0,17,7.0,,,,,,,6.0,0.5,6.0,7.0,6.0,7.0
2009-11-26,13,False,Hull,2,3,0,15,15,5.0,0.3333333333333333,15,6.0,20,9.0,,,,,,,6.0,0.5,6.0,10.0,6.0,9.0
2009-11-29,14,True,Liverpool,0,2,0,15,15,4.0,0.26666666666666666,17,7.0,23,11.0,9.0,0.6,9.0,10.0,8.0,4.0,,,,,,
2009-12-07,15,True,Spurs,2,2,1,16,15,4.0,0.26666666666666666,17,5.0,25,10.0,6.0,0.4,9.0,12.0,6.0,5.0,,,,,,
2009-12-12,16,False,Chelsea,3,3,1,17,16,4.0,0.26666666666666666,19,6.0,27,11.0,,,,,,,6.0,0.5,8.0,13.0,7.0,10.0
2009-12-20,17,True,Birmingham,1,1,1,18,17,2.0,0.13333333333333333,22,7.0,30,13.0,4.0,0.26666666666666666,11.0,14.0,5.0,7.0,,,,,,
