Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,False,Portsmouth,1,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-23,2,True,Chelsea,0,2,0,3,3,3.0,1.0,1,1.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-30,3,False,Aston Villa,0,2,0,3,3,3.0,0.5,1,1.0,2,2.0,,,,,,,3.0,1.0,1.0,0.0,1.0,0.0
2009-09-13,4,True,Everton,2,1,3,6,3,3.0,0.3333333333333333,1,1.0,4,4.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,
2009-09-20,5,False,Wolves,1,2,0,6,6,6.0,0.5,3,3.0,5,5.0,,,,,,,3.0,0.5,1.0,2.0,1.0,2.0
2009-09-27,6,True,Arsenal,0,1,0,6,6,6.0,0.4,4,4.0,7,7.0,3.0,0.5,2.0,3.0,2.0,3.0,,,,,,
2009-10-04,7,False,West Ham,2,2,1,7,6,3.0,0.2,4,3.0,8,8.0,,,,,,,3.0,0.3333333333333333,2.0,4.0,2.0,4.0
2009-10-20,8,True,Hull,2,0,3,10,7,4.0,0.26666666666666666,6,5.0,10,8.0,3.0,0.3333333333333333,2.0,4.0,2.0,4.0,,,,,,
2009-10-25,9,False,Man City,2,2,1,11,10,7.0,0.4666666666666667,8,7.0,10,6.0,,,,,,,4.0,0.3333333333333333,4.0,6.0,4.0,6.0
2009-10-31,10,True,Liverpool,3,1,3,14,11,5.0,0.3333333333333333,10,7.0,12,7.0,6.0,0.5,4.0,4.0,4.0,4.0,,,,,,
2009-11-08,11,False,Wigan,1,1,1,15,14,8.0,0.5333333333333333,13,9.0,13,6.0,,,,,,,5.0,0.4166666666666667,6.0,8.0,6.0,8.0
2009-11-21,12,False,Birmingham,0,1,0,15,15,9.0,0.6,14,10.0,14,6.0,,,,,,,3.0,0.25,7.0,9.0,6.0,9.0
2009-11-26,13,True,Blackburn,3,0,3,18,15,8.0,0.5333333333333333,14,8.0,15,5.0,9.0,0.6,7.0,5.0,7.0,5.0,,,,,,
2009-11-28,14,True,Bolton,1,1,1,19,18,8.0,0.5333333333333333,17,9.0,15,5.0,12.0,0.8,10.0,5.0,10.0,3.0,,,,,,
2009-12-06,15,True,Sunderland,1,0,3,22,19,8.0,0.5333333333333333,18,8.0,16,4.0,10.0,0.6666666666666666,11.0,6.0,9.0,3.0,,,,,,
2009-12-12,16,False,Burnley,1,1,1,23,22,8.0,0.5333333333333333,19,6.0,16,3.0,,,,,,,3.0,0.25,7.0,10.0,6.0,8.0
2009-12-19,17,True,Man Utd,3,0,3,26,23,8.0,0.5333333333333333,20,6.0,17,3.0,13.0,0.8666666666666667,12.0,6.0,10.0,2.0,,,,,,
2009-12-26,18,True,Spurs,0,0,1,27,26,11.0,0.7333333333333333,23,9.0,17,2.0,13.0,0.8666666666666667,15.0,6.0,11.0,2.0,,,,,,
2009-12-28,19,False,Chelsea,1,2,0,27,27,9.0,0.6,23,6.0,17,2.0,,,,,,,4.0,0.3333333333333333,8.0,11.0,6.0,7.0
2010-01-06,20,False,Stoke,2,3,0,27,27,8.0,0.5333333333333333,24,6.0,19,3.0,,,,,,,3.0,0.25,9.0,13.0,5.0,7.0
2010-01-17,21,False,Blackburn,0,2,0,27,27,5.0,0.3333333333333333,26,7.0,22,6.0,,,,,,,2.0,0.16666666666666666,11.0,16.0,5.0,8.0
2010-01-27,22,False,Spurs,0,2,0,27,27,4.0,0.26666666666666666,26,6.0,24,7.0,,,,,,,1.0,0.08333333333333333,11.0,18.0,4.0,9.0
2010-01-30,23,True,Aston Villa,0,2,0,27,27,1.0,0.06666666666666667,26,3.0,26,9.0,11.0,0.7333333333333333,15.0,6.0,8.0,1.0,,,,,,
2010-02-04,24,True,Portsmouth,1,0,3,30,27,0.0,0.0,26,3.0,28,11.0,8.0,0.5333333333333333,15.0,8.0,5.0,3.0,,,,,,
2010-02-06,25,False,Bolton,0,0,1,31,30,3.0,0.2,27,3.0,28,9.0,,,,,,,1.0,0.08333333333333333,11.0,20.0,4.0,10.0
2010-02-10,26,True,Burnley,3,0,3,34,31,4.0,0.26666666666666666,27,1.0,28,6.0,10.0,0.6666666666666666,16.0,8.0,5.0,2.0,,,,,,
2010-02-21,27,True,Birmingham,2,1,3,37,34,7.0,0.4666666666666667,30,4.0,28,4.0,10.0,0.6666666666666666,19.0,8.0,7.0,2.0,,,,,,
2010-02-28,28,False,Sunderland,0,0,1,38,37,10.0,0.6666666666666666,32,6.0,29,3.0,,,,,,,1.0,0.08333333333333333,11.0,20.0,3.0,9.0
2010-03-14,29,False,Man Utd,0,3,0,38,38,11.0,0.7333333333333333,32,6.0,29,1.0,,,,,,,2.0,0.16666666666666666,11.0,20.0,2.0,7.0
2010-03-21,30,True,Man City,1,2,0,38,38,8.0,0.5333333333333333,32,5.0,32,4.0,10.0,0.6666666666666666,21.0,9.0,6.0,3.0,,,,,,
2010-03-27,31,False,Hull,0,2,0,38,38,7.0,0.4666666666666667,33,6.0,34,6.0,,,,,,,2.0,0.16666666666666666,11.0,23.0,0.0,7.0
2010-04-04,32,True,Wigan,2,1,3,41,38,4.0,0.26666666666666666,33,3.0,36,8.0,9.0,0.6,22.0,11.0,7.0,5.0,,,,,,
2010-04-11,33,False,Liverpool,0,0,1,42,41,4.0,0.26666666666666666,35,3.0,37,8.0,,,,,,,2.0,0.16666666666666666,11.0,25.0,0.0,7.0
2010-04-17,34,True,Wolves,0,0,1,43,42,4.0,0.26666666666666666,35,3.0,37,8.0,12.0,0.8,24.0,12.0,9.0,4.0,,,,,,
2010-04-25,35,False,Everton,1,2,0,43,43,5.0,0.3333333333333333,35,3.0,37,5.0,,,,,,,3.0,0.25,11.0,25.0,0.0,5.0
2010-05-02,36,True,West Ham,3,2,3,46,43,5.0,0.3333333333333333,36,3.0,39,5.0,10.0,0.6666666666666666,24.0,12.0,8.0,4.0,,,,,,
2010-05-06,37,True,Stoke,0,1,0,46,46,8.0,0.5333333333333333,39,6.0,41,5.0,10.0,0.6666666666666666,27.0,14.0,8.0,6.0,,,,,,
2010-05-09,38,False,Arsenal,0,4,0,46,46,5.0,0.3333333333333333,39,4.0,42,5.0,,,,,,,2.0,0.16666666666666666,12.0,27.0,1.0,7.0
