Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,False,Chelsea,1,2,0,0,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-20,2,True,Spurs,1,5,0,0,0,0.0,0.0,1,1.0,2,2.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-22,3,True,Bolton,1,0,3,3,0,0.0,0.0,2,2.0,7,7.0,0.0,0.0,1.0,5.0,1.0,5.0,,,,,,
2009-08-29,4,False,Wolves,1,1,1,4,3,3.0,0.3333333333333333,3,3.0,7,7.0,,,,,,,0.0,0.0,1.0,2.0,1.0,2.0
2009-09-12,5,False,Sunderland,1,4,0,4,4,4.0,0.3333333333333333,4,4.0,8,8.0,,,,,,,1.0,0.16666666666666666,2.0,3.0,2.0,3.0
2009-09-19,6,True,Birmingham,0,1,0,4,4,4.0,0.26666666666666666,5,5.0,12,12.0,3.0,0.5,2.0,5.0,2.0,5.0,,,,,,
2009-09-26,7,False,Liverpool,1,6,0,4,4,4.0,0.26666666666666666,5,4.0,13,11.0,,,,,,,1.0,0.1111111111111111,3.0,7.0,3.0,7.0
2009-10-03,8,True,Wigan,2,1,3,7,4,4.0,0.26666666666666666,6,4.0,19,12.0,3.0,0.3333333333333333,2.0,6.0,2.0,6.0,,,,,,
2009-10-20,9,False,Fulham,0,2,0,7,7,4.0,0.26666666666666666,8,5.0,20,13.0,,,,,,,1.0,0.08333333333333333,4.0,13.0,4.0,13.0
2009-10-24,10,True,Portsmouth,0,0,1,8,7,3.0,0.2,8,4.0,22,14.0,6.0,0.5,4.0,7.0,4.0,7.0,,,,,,
2009-10-31,11,False,Burnley,0,2,0,8,8,4.0,0.26666666666666666,8,3.0,22,10.0,,,,,,,1.0,0.08333333333333333,4.0,15.0,4.0,15.0
2009-11-08,12,True,Stoke,2,1,3,11,8,4.0,0.26666666666666666,8,3.0,24,11.0,7.0,0.4666666666666667,4.0,7.0,4.0,7.0,,,,,,
2009-11-21,13,True,West Ham,3,3,1,12,11,7.0,0.4666666666666667,10,4.0,25,6.0,10.0,0.6666666666666666,6.0,8.0,5.0,3.0,,,,,,
2009-11-26,14,True,Everton,3,2,3,15,12,5.0,0.3333333333333333,13,5.0,28,8.0,8.0,0.5333333333333333,9.0,11.0,7.0,6.0,,,,,,
2009-11-28,15,False,Man City,1,1,1,16,15,8.0,0.5333333333333333,16,8.0,30,8.0,,,,,,,1.0,0.08333333333333333,4.0,17.0,3.0,15.0
2009-12-05,16,False,Aston Villa,0,3,0,16,16,8.0,0.5333333333333333,17,9.0,31,9.0,,,,,,,1.0,0.08333333333333333,5.0,18.0,3.0,15.0
2009-12-12,17,True,Blackburn,0,0,1,17,16,8.0,0.5333333333333333,17,9.0,34,10.0,11.0,0.7333333333333333,12.0,13.0,10.0,7.0,,,,,,
