Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-16,1,False,Spurs,1,2,0,0,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-20,2,True,Stoke,4,0,3,3,0,0.0,0.0,1,1.0,2,2.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-25,3,True,Aston Villa,1,3,0,3,3,3.0,0.5,5,5.0,2,2.0,3.0,1.0,4.0,0.0,4.0,0.0,,,,,,
2009-08-29,4,False,Bolton,3,2,3,6,3,3.0,0.3333333333333333,6,6.0,5,5.0,,,,,,,0.0,0.0,1.0,2.0,1.0,2.0
2009-09-12,5,True,Burnley,4,0,3,9,6,6.0,0.5,9,9.0,7,7.0,3.0,0.5,5.0,3.0,5.0,3.0,,,,,,
2009-09-20,6,False,West Ham,3,2,3,12,9,9.0,0.6,13,13.0,7,7.0,,,,,,,3.0,0.5,4.0,4.0,4.0,4.0
2009-09-26,7,True,Hull,6,1,3,15,12,12.0,0.8,16,15.0,9,7.0,6.0,0.6666666666666666,9.0,3.0,9.0,3.0,,,,,,
2009-10-04,8,False,Chelsea,0,2,0,15,15,12.0,0.8,22,17.0,10,8.0,,,,,,,6.0,0.6666666666666666,7.0,6.0,7.0,6.0
2009-10-17,9,False,Sunderland,0,1,0,15,15,12.0,0.8,22,16.0,12,7.0,,,,,,,6.0,0.5,7.0,8.0,7.0,8.0
2009-10-25,10,True,Man Utd,2,0,3,18,15,9.0,0.6,22,13.0,13,6.0,9.0,0.75,15.0,4.0,15.0,4.0,,,,,,
2009-10-31,11,False,Fulham,1,3,0,18,18,9.0,0.6,24,11.0,13,6.0,,,,,,,6.0,0.5,7.0,9.0,7.0,9.0
