Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,False,Blackburn,2,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-22,2,True,Wolves,1,0,3,6,3,3.0,1.0,2,2.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-30,3,False,Portsmouth,1,0,3,9,6,6.0,1.0,3,3.0,0,0.0,,,,,,,3.0,1.0,2.0,0.0,2.0,0.0
2009-09-12,4,True,Arsenal,4,2,3,12,9,9.0,1.0,4,4.0,0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,
2009-09-20,5,False,Man Utd,3,4,0,12,12,12.0,1.0,8,8.0,2,2.0,,,,,,,6.0,1.0,3.0,0.0,3.0,0.0
2009-09-29,6,True,West Ham,3,1,3,15,12,12.0,0.8,11,11.0,6,6.0,6.0,1.0,5.0,2.0,5.0,2.0,,,,,,
2009-10-06,7,False,Aston Villa,1,1,1,16,15,12.0,0.8,14,12.0,7,7.0,,,,,,,6.0,0.6666666666666666,6.0,4.0,6.0,4.0
2009-10-18,8,False,Wigan,1,1,1,17,16,10.0,0.6666666666666666,15,12.0,8,8.0,,,,,,,7.0,0.5833333333333334,7.0,5.0,7.0,5.0
2009-10-25,9,True,Fulham,2,2,1,18,17,8.0,0.5333333333333333,16,12.0,9,9.0,9.0,1.0,8.0,3.0,8.0,3.0,,,,,,
2009-11-02,10,False,Birmingham,0,0,1,19,18,6.0,0.4,18,10.0,11,9.0,,,,,,,8.0,0.6666666666666666,8.0,6.0,8.0,6.0
2009-11-07,11,True,Burnley,3,3,1,20,19,7.0,0.4666666666666667,18,7.0,11,5.0,10.0,0.8333333333333334,10.0,5.0,10.0,5.0,,,,,,
2009-11-21,12,False,Liverpool,2,2,1,21,20,5.0,0.3333333333333333,21,7.0,14,7.0,,,,,,,6.0,0.5,8.0,6.0,6.0,6.0
2009-11-28,13,True,Hull,1,1,1,22,21,5.0,0.3333333333333333,23,8.0,16,8.0,11.0,0.7333333333333333,13.0,8.0,13.0,8.0,,,,,,
2009-12-06,14,True,Chelsea,2,1,3,25,22,5.0,0.3333333333333333,24,8.0,17,8.0,9.0,0.6,14.0,9.0,13.0,9.0,,,,,,
2009-12-12,15,False,Bolton,3,3,1,26,25,7.0,0.4666666666666667,26,8.0,18,7.0,,,,,,,4.0,0.3333333333333333,10.0,8.0,7.0,8.0
2009-12-17,16,False,Spurs,0,3,0,26,26,7.0,0.4666666666666667,29,11.0,21,10.0,,,,,,,5.0,0.4166666666666667,13.0,11.0,7.0,7.0
2009-12-19,17,True,Sunderland,4,3,3,29,26,6.0,0.4,29,8.0,24,10.0,9.0,0.6,16.0,10.0,11.0,8.0,,,,,,
2009-12-26,18,True,Stoke,2,0,3,32,29,8.0,0.5333333333333333,33,10.0,27,11.0,9.0,0.6,20.0,13.0,12.0,10.0,,,,,,
2009-12-29,19,False,Wolves,3,0,3,35,32,10.0,0.6666666666666666,35,11.0,27,10.0,,,,,,,4.0,0.3333333333333333,13.0,14.0,6.0,9.0
2010-01-12,20,True,Blackburn,4,1,3,38,35,10.0,0.6666666666666666,38,12.0,27,9.0,11.0,0.7333333333333333,22.0,13.0,12.0,8.0,,,,,,
2010-01-17,21,False,Everton,0,2,0,38,38,12.0,0.8,42,13.0,28,7.0,,,,,,,6.0,0.5,16.0,14.0,8.0,8.0
2010-01-31,22,True,Portsmouth,2,0,3,41,38,12.0,0.8,42,13.0,30,6.0,13.0,0.8666666666666667,26.0,14.0,13.0,6.0,,,,,,
2010-02-06,23,False,Hull,1,2,0,41,41,12.0,0.8,44,11.0,30,3.0,,,,,,,5.0,0.4166666666666667,16.0,16.0,8.0,10.0
2010-02-10,24,True,Bolton,2,0,3,44,41,9.0,0.6,45,10.0,32,5.0,15.0,1.0,28.0,14.0,14.0,5.0,,,,,,
2010-02-17,25,False,Stoke,1,1,1,45,44,9.0,0.6,47,9.0,32,5.0,,,,,,,4.0,0.3333333333333333,17.0,18.0,7.0,10.0
2010-02-21,26,True,Liverpool,0,0,1,46,45,7.0,0.4666666666666667,48,6.0,33,5.0,15.0,1.0,30.0,14.0,14.0,4.0,,,,,,
2010-02-27,27,False,Chelsea,4,2,3,49,46,8.0,0.5333333333333333,48,6.0,33,3.0,,,,,,,4.0,0.3333333333333333,18.0,19.0,5.0,8.0
2010-03-15,28,False,Sunderland,1,1,1,50,49,8.0,0.5333333333333333,52,8.0,35,5.0,,,,,,,7.0,0.5833333333333334,22.0,21.0,9.0,7.0
2010-03-21,29,False,Fulham,2,1,3,53,50,9.0,0.6,53,8.0,36,4.0,,,,,,,5.0,0.4166666666666667,23.0,22.0,7.0,8.0
2010-03-25,30,True,Everton,0,2,0,53,53,9.0,0.6,55,8.0,37,5.0,13.0,0.8666666666666667,30.0,14.0,10.0,1.0,,,,,,
2010-03-30,31,True,Wigan,3,0,3,56,53,8.0,0.5333333333333333,55,7.0,39,6.0,10.0,0.6666666666666666,30.0,16.0,8.0,3.0,,,,,,
2010-04-04,32,False,Burnley,6,1,3,59,56,10.0,0.6666666666666666,58,10.0,39,6.0,,,,,,,8.0,0.6666666666666666,25.0,23.0,9.0,7.0
2010-04-11,33,True,Birmingham,5,1,3,62,59,10.0,0.6666666666666666,64,12.0,40,5.0,10.0,0.6666666666666666,33.0,16.0,7.0,2.0,,,,,,
2010-04-17,34,True,Man Utd,0,1,0,62,62,12.0,0.8,69,16.0,41,5.0,10.0,0.6666666666666666,38.0,17.0,10.0,3.0,,,,,,
2010-04-25,35,False,Arsenal,0,0,1,63,62,9.0,0.6,69,14.0,42,5.0,,,,,,,11.0,0.9166666666666666,31.0,24.0,14.0,6.0
2010-05-01,36,True,Aston Villa,3,1,3,66,63,10.0,0.6666666666666666,69,14.0,42,3.0,7.0,0.4666666666666667,38.0,18.0,8.0,4.0,,,,,,
2010-05-06,37,True,Spurs,0,1,0,66,66,10.0,0.6666666666666666,72,14.0,43,4.0,9.0,0.6,41.0,19.0,11.0,5.0,,,,,,
2010-05-09,38,False,West Ham,1,1,1,67,66,7.0,0.4666666666666667,72,8.0,44,4.0,,,,,,,11.0,0.9166666666666666,31.0,24.0,13.0,5.0
