Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-16,1,True,Birmingham,1,0,3,3,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-20,2,False,Burnley,0,1,0,3,3,3.0,1.0,1,1.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-22,3,False,Wigan,5,0,3,6,3,3.0,0.5,1,1.0,1,1.0,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0
2009-08-30,4,True,Arsenal,2,1,3,9,6,6.0,0.6666666666666666,6,6.0,1,1.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,
2009-09-13,5,False,Spurs,3,1,3,12,9,9.0,0.75,8,8.0,2,2.0,,,,,,,3.0,0.5,5.0,1.0,5.0,1.0
2009-09-20,6,True,Man City,4,3,3,15,12,12.0,0.8,11,11.0,3,3.0,6.0,1.0,3.0,1.0,3.0,1.0,,,,,,
2009-09-26,7,False,Stoke,2,0,3,18,15,12.0,0.8,15,14.0,6,6.0,,,,,,,6.0,0.6666666666666666,8.0,2.0,8.0,2.0
2009-10-04,8,True,Sunderland,2,2,1,19,18,15.0,1.0,17,16.0,6,5.0,9.0,1.0,7.0,4.0,7.0,4.0,,,,,,
2009-10-17,9,True,Bolton,2,1,3,22,19,13.0,0.8666666666666667,19,13.0,8,7.0,10.0,0.8333333333333334,9.0,6.0,9.0,6.0,,,,,,
2009-10-25,10,False,Liverpool,0,2,0,22,22,13.0,0.8666666666666667,21,13.0,9,7.0,,,,,,,9.0,0.75,10.0,2.0,10.0,2.0
2009-11-01,11,True,Blackburn,2,0,3,25,22,10.0,0.6666666666666666,21,10.0,11,8.0,13.0,0.8666666666666667,11.0,7.0,11.0,7.0,,,,,,
2009-11-09,12,False,Chelsea,0,1,0,25,25,10.0,0.6666666666666666,23,8.0,11,5.0,,,,,,,9.0,0.75,10.0,4.0,10.0,4.0
2009-11-22,13,True,Everton,3,0,3,28,25,7.0,0.4666666666666667,23,6.0,12,6.0,13.0,0.8666666666666667,13.0,7.0,12.0,7.0,,,,,,
2009-11-28,14,False,Portsmouth,4,1,3,31,28,9.0,0.6,26,7.0,12,4.0,,,,,,,9.0,0.75,10.0,5.0,10.0,4.0
2009-12-05,15,False,West Ham,4,0,3,34,31,9.0,0.6,30,9.0,13,4.0,,,,,,,9.0,0.75,14.0,6.0,9.0,5.0
2009-12-13,16,True,Aston Villa,0,1,0,34,34,12.0,0.8,34,13.0,13,2.0,13.0,0.8666666666666667,16.0,7.0,13.0,6.0,,,,,,
2009-12-16,17,True,Wolves,3,0,3,37,34,9.0,0.6,34,11.0,14,3.0,10.0,0.6666666666666666,16.0,8.0,9.0,4.0,,,,,,
2009-12-19,18,False,Fulham,0,3,0,37,37,12.0,0.8,37,14.0,14,2.0,,,,,,,9.0,0.75,18.0,6.0,10.0,4.0
2009-12-28,19,False,Hull,3,1,3,40,37,9.0,0.6,37,11.0,17,5.0,,,,,,,6.0,0.5,18.0,9.0,8.0,7.0
2009-12-31,20,True,Wigan,5,0,3,43,40,9.0,0.6,40,10.0,18,5.0,12.0,0.8,19.0,8.0,10.0,2.0,,,,,,
2010-01-10,21,False,Birmingham,1,1,1,44,43,9.0,0.6,45,11.0,18,5.0,,,,,,,9.0,0.75,21.0,10.0,11.0,6.0
2010-01-16,22,True,Burnley,3,0,3,47,44,10.0,0.6666666666666666,46,12.0,19,5.0,12.0,0.8,24.0,8.0,13.0,1.0,,,,,,
2010-01-23,23,True,Hull,4,0,3,50,47,10.0,0.6666666666666666,49,12.0,19,5.0,12.0,0.8,27.0,8.0,14.0,1.0,,,,,,
2010-02-01,24,False,Arsenal,3,1,3,53,50,13.0,0.8666666666666667,53,16.0,19,2.0,,,,,,,10.0,0.8333333333333334,22.0,11.0,12.0,6.0
