Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,True,Fulham,0,1,0,0,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-20,2,False,Birmingham,0,1,0,0,0,0.0,0.0,0,0.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-22,3,False,Arsenal,1,4,0,0,0,0.0,0.0,0,0.0,2,2.0,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0
2009-08-30,4,True,Man City,0,1,0,0,0,0.0,0.0,1,1.0,6,6.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,
2009-09-12,5,True,Bolton,2,3,0,0,0,0.0,0.0,1,1.0,7,7.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,
2009-09-19,6,False,Aston Villa,0,2,0,0,0,0.0,0.0,3,3.0,10,10.0,,,,,,,0.0,0.0,1.0,5.0,1.0,5.0
2009-09-26,7,True,Everton,0,1,0,0,0,0.0,0.0,3,3.0,12,11.0,0.0,0.0,2.0,5.0,2.0,5.0,,,,,,
2009-10-03,8,False,Wolves,1,0,3,3,0,0.0,0.0,3,3.0,13,11.0,,,,,,,0.0,0.0,1.0,7.0,1.0,7.0
2009-10-17,9,True,Spurs,1,2,0,3,3,3.0,0.2,4,3.0,13,7.0,0.0,0.0,2.0,6.0,2.0,6.0,,,,,,
2009-10-24,10,False,Hull,0,0,1,4,3,3.0,0.2,5,4.0,15,8.0,,,,,,,3.0,0.25,2.0,7.0,2.0,7.0
2009-10-31,11,True,Wigan,4,0,3,7,4,4.0,0.26666666666666666,5,2.0,15,5.0,0.0,0.0,3.0,8.0,3.0,8.0,,,,,,
2009-11-07,12,False,Blackburn,1,3,0,7,7,7.0,0.4666666666666667,9,6.0,15,3.0,,,,,,,4.0,0.3333333333333333,2.0,7.0,2.0,7.0
2009-11-23,13,False,Stoke,0,1,0,7,7,7.0,0.4666666666666667,10,7.0,18,5.0,,,,,,,4.0,0.3333333333333333,3.0,10.0,3.0,9.0
2009-11-28,14,True,Man Utd,1,4,0,7,7,4.0,0.26666666666666666,10,6.0,19,6.0,3.0,0.2,7.0,8.0,7.0,7.0,,,,,,
2009-12-05,15,True,Burnley,2,0,3,10,7,4.0,0.26666666666666666,11,6.0,23,8.0,3.0,0.2,8.0,12.0,8.0,10.0,,,,,,
2009-12-12,16,False,Sunderland,1,1,1,11,10,6.0,0.4,13,8.0,23,8.0,,,,,,,4.0,0.3333333333333333,3.0,11.0,2.0,6.0
2009-12-17,17,False,Chelsea,1,2,0,11,11,4.0,0.26666666666666666,14,5.0,24,9.0,,,,,,,5.0,0.4166666666666667,4.0,12.0,3.0,5.0
2009-12-19,18,True,Liverpool,2,0,3,14,11,4.0,0.26666666666666666,15,5.0,26,8.0,6.0,0.4,10.0,12.0,8.0,7.0,,,,,,
2009-12-26,19,False,West Ham,0,2,0,14,14,7.0,0.4666666666666667,17,7.0,26,7.0,,,,,,,2.0,0.16666666666666666,5.0,14.0,3.0,7.0
2009-12-31,20,True,Arsenal,1,4,0,14,14,7.0,0.4666666666666667,17,6.0,28,5.0,9.0,0.6,12.0,12.0,10.0,6.0,,,,,,
2010-01-27,21,True,West Ham,1,1,1,15,14,4.0,0.26666666666666666,18,5.0,32,9.0,9.0,0.6,13.0,16.0,10.0,8.0,,,,,,
2010-01-31,22,False,Man City,0,2,0,15,15,4.0,0.26666666666666666,19,5.0,33,9.0,,,,,,,1.0,0.08333333333333333,5.0,16.0,3.0,9.0
2010-02-04,23,False,Fulham,0,1,0,15,15,4.0,0.26666666666666666,19,4.0,35,9.0,,,,,,,1.0,0.08333333333333333,5.0,18.0,2.0,8.0
2010-02-06,24,False,Man Utd,0,5,0,15,15,1.0,0.06666666666666667,19,2.0,36,10.0,,,,,,,1.0,0.08333333333333333,5.0,19.0,2.0,8.0
2010-02-10,25,True,Sunderland,1,1,1,16,15,1.0,0.06666666666666667,19,2.0,41,13.0,7.0,0.4666666666666667,14.0,17.0,7.0,9.0,,,,,,
2010-02-21,26,True,Stoke,1,2,0,16,16,2.0,0.13333333333333333,20,2.0,42,10.0,8.0,0.5333333333333333,15.0,18.0,7.0,6.0,,,,,,
2010-02-27,27,False,Burnley,2,1,3,19,16,1.0,0.06666666666666667,21,2.0,44,11.0,,,,,,,0.0,0.0,5.0,24.0,1.0,12.0
2010-03-10,28,True,Birmingham,1,2,0,19,19,4.0,0.26666666666666666,23,4.0,45,10.0,5.0,0.3333333333333333,16.0,20.0,6.0,8.0,,,,,,
2010-03-16,29,False,Liverpool,1,4,0,19,19,4.0,0.26666666666666666,24,5.0,47,11.0,,,,,,,3.0,0.25,7.0,25.0,2.0,11.0
2010-03-20,30,True,Hull,3,2,3,22,19,4.0,0.26666666666666666,25,6.0,51,10.0,2.0,0.13333333333333333,17.0,22.0,5.0,10.0,,,,,,
2010-03-25,31,True,Chelsea,0,5,0,22,22,6.0,0.4,28,8.0,53,11.0,5.0,0.3333333333333333,20.0,24.0,7.0,8.0,,,,,,
2010-03-27,32,False,Spurs,0,2,0,22,22,6.0,0.4,28,7.0,58,14.0,,,,,,,3.0,0.25,8.0,29.0,3.0,13.0
2010-04-03,33,True,Blackburn,0,0,1,23,22,3.0,0.2,28,5.0,60,15.0,4.0,0.26666666666666666,20.0,29.0,6.0,12.0,,,,,,
2010-04-15,34,False,Wigan,0,0,1,24,23,4.0,0.26666666666666666,28,4.0,60,13.0,,,,,,,3.0,0.25,8.0,31.0,3.0,13.0
2010-04-18,35,True,Aston Villa,1,2,0,24,24,5.0,0.3333333333333333,28,3.0,60,9.0,4.0,0.26666666666666666,20.0,29.0,5.0,11.0,,,,,,
2010-04-24,36,False,Bolton,2,2,1,25,24,2.0,0.13333333333333333,29,1.0,62,9.0,,,,,,,4.0,0.3333333333333333,8.0,31.0,3.0,12.0
2010-05-01,37,True,Wolves,3,1,3,28,25,3.0,0.2,31,3.0,64,6.0,4.0,0.26666666666666666,21.0,31.0,5.0,11.0,,,,,,
2010-05-09,38,False,Everton,0,1,0,28,28,6.0,0.4,34,6.0,65,5.0,,,,,,,5.0,0.4166666666666667,10.0,33.0,5.0,9.0
