Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-16,1,True,Liverpool,2,1,3,3,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-20,2,False,Hull,5,1,3,6,3,3.0,1.0,2,2.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-23,3,False,West Ham,2,1,3,9,6,6.0,1.0,7,7.0,2,2.0,,,,,,,3.0,1.0,5.0,1.0,5.0,1.0
2009-08-29,4,True,Birmingham,2,1,3,12,9,9.0,1.0,9,9.0,3,3.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,
2009-09-13,5,True,Man Utd,1,3,0,12,12,12.0,1.0,11,11.0,4,4.0,6.0,1.0,4.0,2.0,4.0,2.0,,,,,,
2009-09-20,6,False,Chelsea,0,3,0,12,12,12.0,0.8,12,12.0,7,7.0,,,,,,,6.0,1.0,7.0,2.0,7.0,2.0
2009-09-26,7,True,Burnley,5,0,3,15,12,9.0,0.6,12,10.0,10,9.0,6.0,0.6666666666666666,5.0,5.0,5.0,5.0,,,,,,
2009-10-03,8,False,Bolton,2,2,1,16,15,9.0,0.6,17,10.0,10,8.0,,,,,,,6.0,0.6666666666666666,7.0,5.0,7.0,5.0
2009-10-17,9,False,Portsmouth,2,1,3,19,16,7.0,0.4666666666666667,19,10.0,12,9.0,,,,,,,7.0,0.5833333333333334,9.0,7.0,9.0,7.0
2009-10-24,10,True,Stoke,0,1,0,19,19,7.0,0.4666666666666667,21,10.0,13,9.0,9.0,0.75,10.0,5.0,10.0,5.0,,,,,,
2009-10-31,11,False,Arsenal,0,3,0,19,19,7.0,0.4666666666666667,21,9.0,14,7.0,,,,,,,10.0,0.8333333333333334,11.0,8.0,11.0,8.0
2009-11-07,12,True,Sunderland,2,0,3,22,19,7.0,0.4666666666666667,21,9.0,17,7.0,9.0,0.6,10.0,6.0,10.0,6.0,,,,,,
2009-11-22,13,True,Wigan,9,1,3,25,22,7.0,0.4666666666666667,23,6.0,17,7.0,9.0,0.6,12.0,6.0,10.0,5.0,,,,,,
2009-11-29,14,False,Aston Villa,1,1,1,26,25,9.0,0.6,32,13.0,18,6.0,,,,,,,7.0,0.5833333333333334,11.0,11.0,6.0,10.0
2009-12-07,15,False,Everton,2,2,1,27,26,7.0,0.4666666666666667,33,12.0,19,6.0,,,,,,,5.0,0.4166666666666667,12.0,12.0,5.0,10.0
2009-12-12,16,True,Wolves,0,1,0,27,27,8.0,0.5333333333333333,35,14.0,21,7.0,9.0,0.6,21.0,7.0,17.0,5.0,,,,,,
2009-12-17,17,True,Man City,3,0,3,30,27,8.0,0.5333333333333333,35,14.0,22,5.0,9.0,0.6,21.0,8.0,16.0,3.0,,,,,,
2009-12-19,18,False,Blackburn,2,0,3,33,30,8.0,0.5333333333333333,38,15.0,22,5.0,,,,,,,6.0,0.5,14.0,14.0,7.0,9.0
2009-12-26,19,False,Fulham,0,0,1,34,33,8.0,0.5333333333333333,40,8.0,22,4.0,,,,,,,8.0,0.6666666666666666,16.0,14.0,7.0,7.0
2009-12-28,20,True,West Ham,2,0,3,37,34,8.0,0.5333333333333333,40,7.0,22,3.0,9.0,0.6,24.0,8.0,14.0,3.0,,,,,,
2010-01-16,21,True,Hull,0,0,1,38,37,10.0,0.6666666666666666,42,7.0,22,1.0,12.0,0.8,26.0,8.0,16.0,2.0,,,,,,
2010-01-21,22,False,Liverpool,0,2,0,38,38,11.0,0.7333333333333333,42,7.0,22,0.0,,,,,,,6.0,0.5,16.0,14.0,5.0,6.0
2010-01-27,23,True,Fulham,2,0,3,41,38,8.0,0.5333333333333333,42,4.0,24,2.0,10.0,0.6666666666666666,26.0,8.0,14.0,2.0,,,,,,
2010-01-30,24,False,Birmingham,1,1,1,42,41,8.0,0.5333333333333333,44,4.0,24,2.0,,,,,,,6.0,0.5,16.0,16.0,5.0,5.0
2010-02-07,25,True,Aston Villa,0,0,1,43,42,8.0,0.5333333333333333,45,5.0,25,3.0,10.0,0.6666666666666666,28.0,8.0,7.0,1.0,,,,,,
2010-02-11,26,False,Wolves,0,1,0,43,43,6.0,0.4,45,3.0,25,3.0,,,,,,,6.0,0.5,17.0,17.0,5.0,5.0
2010-02-22,27,False,Wigan,3,0,3,46,43,5.0,0.3333333333333333,45,3.0,26,4.0,,,,,,,5.0,0.4166666666666667,17.0,18.0,3.0,4.0
2010-02-28,28,True,Everton,2,1,3,49,46,8.0,0.5333333333333333,48,6.0,26,2.0,11.0,0.7333333333333333,28.0,8.0,7.0,0.0,,,,,,
2010-03-13,29,True,Blackburn,3,1,3,52,49,8.0,0.5333333333333333,50,6.0,27,3.0,11.0,0.7333333333333333,30.0,9.0,6.0,1.0,,,,,,
2010-03-20,30,False,Stoke,2,1,3,55,52,10.0,0.6666666666666666,53,8.0,28,3.0,,,,,,,5.0,0.4166666666666667,20.0,18.0,4.0,4.0
2010-03-27,31,True,Portsmouth,2,0,3,58,55,12.0,0.8,55,10.0,29,4.0,11.0,0.7333333333333333,33.0,10.0,7.0,2.0,,,,,,
2010-04-03,32,False,Sunderland,1,3,0,58,58,15.0,1.0,57,12.0,29,3.0,,,,,,,7.0,0.5833333333333334,22.0,19.0,6.0,5.0
2010-04-15,33,True,Arsenal,2,1,3,61,58,12.0,0.8,58,10.0,32,6.0,13.0,0.8666666666666667,35.0,10.0,9.0,2.0,,,,,,
2010-04-18,34,True,Chelsea,2,1,3,64,61,12.0,0.8,60,10.0,33,6.0,13.0,0.8666666666666667,37.0,11.0,9.0,3.0,,,,,,
2010-04-24,35,False,Man Utd,1,3,0,64,64,12.0,0.8,62,9.0,34,6.0,,,,,,,7.0,0.5833333333333334,23.0,22.0,7.0,6.0
2010-05-01,36,True,Bolton,1,0,3,67,64,9.0,0.6,63,8.0,37,8.0,15.0,1.0,39.0,12.0,11.0,4.0,,,,,,
2010-05-06,37,False,Man City,1,0,3,70,67,9.0,0.6,64,7.0,37,8.0,,,,,,,6.0,0.5,24.0,25.0,7.0,8.0
2010-05-09,38,False,Burnley,2,4,0,70,70,12.0,0.8,65,7.0,37,5.0,,,,,,,9.0,0.75,25.0,25.0,8.0,7.0
