Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,True,Burnley,2,0,3,3,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-20,2,False,Liverpool,0,4,0,3,3,3.0,1.0,2,2.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-22,3,False,Birmingham,0,0,1,4,3,3.0,0.5,2,2.0,4,4.0,,,,,,,0.0,0.0,0.0,4.0,0.0,4.0
2009-08-29,4,True,Sunderland,1,0,3,7,4,4.0,0.4444444444444444,2,2.0,4,4.0,3.0,1.0,2.0,0.0,2.0,0.0,,,,,,
2009-09-12,5,True,Chelsea,1,2,0,7,7,7.0,0.5833333333333334,3,3.0,4,4.0,6.0,1.0,3.0,0.0,3.0,0.0,,,,,,
2009-09-19,6,False,Bolton,1,1,1,8,7,7.0,0.4666666666666667,4,4.0,6,6.0,,,,,,,1.0,0.16666666666666666,0.0,4.0,0.0,4.0
2009-09-26,7,True,Man Utd,0,2,0,8,8,5.0,0.3333333333333333,5,3.0,7,7.0,6.0,0.6666666666666666,4.0,2.0,4.0,2.0,,,,,,
2009-10-04,8,False,Everton,1,1,1,9,8,5.0,0.3333333333333333,5,3.0,9,5.0,,,,,,,2.0,0.2222222222222222,1.0,5.0,1.0,5.0
2009-10-17,9,True,West Ham,2,1,3,12,9,5.0,0.3333333333333333,6,4.0,10,6.0,6.0,0.5,4.0,4.0,4.0,4.0,,,,,,
2009-10-24,10,False,Spurs,1,0,3,15,12,5.0,0.3333333333333333,8,5.0,11,7.0,,,,,,,3.0,0.25,2.0,6.0,2.0,6.0
2009-10-31,11,True,Wolves,2,2,1,16,15,8.0,0.5333333333333333,9,5.0,11,5.0,9.0,0.6,6.0,5.0,6.0,5.0,,,,,,
2009-11-08,12,False,Hull,1,2,0,16,16,8.0,0.5333333333333333,11,6.0,13,6.0,,,,,,,6.0,0.5,3.0,6.0,3.0,6.0
2009-11-23,13,True,Portsmouth,1,0,3,19,16,8.0,0.5333333333333333,12,7.0,15,6.0,7.0,0.4666666666666667,8.0,7.0,6.0,7.0,,,,,,
2009-11-28,14,False,Blackburn,0,0,1,20,19,10.0,0.6666666666666666,13,7.0,15,5.0,,,,,,,6.0,0.5,4.0,8.0,4.0,4.0
2009-12-05,15,False,Arsenal,0,2,0,20,20,8.0,0.5333333333333333,13,5.0,15,4.0,,,,,,,6.0,0.5,4.0,8.0,4.0,4.0
