Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,False,Bolton,1,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-19,2,True,Chelsea,1,3,0,3,3,3.0,1.0,1,1.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-22,3,True,Blackburn,2,1,3,6,3,3.0,0.5,2,2.0,3,3.0,0.0,0.0,1.0,3.0,1.0,3.0,,,,,,
2009-08-29,4,False,Stoke,0,1,0,6,6,6.0,0.6666666666666666,4,4.0,4,4.0,,,,,,,3.0,1.0,1.0,0.0,1.0,0.0
2009-09-12,5,True,Hull,4,1,3,9,6,6.0,0.5,4,4.0,5,5.0,3.0,0.5,3.0,4.0,3.0,4.0,,,,,,
2009-09-19,6,False,Burnley,1,3,0,9,9,9.0,0.6,8,8.0,6,6.0,,,,,,,3.0,0.5,1.0,1.0,1.0,1.0
2009-09-27,7,True,Wolves,5,2,3,12,9,6.0,0.4,9,8.0,9,9.0,6.0,0.6666666666666666,7.0,5.0,7.0,5.0,,,,,,
2009-10-04,8,False,Man Utd,2,2,1,13,12,9.0,0.6,14,12.0,11,8.0,,,,,,,3.0,0.3333333333333333,2.0,4.0,2.0,4.0
2009-10-17,9,True,Liverpool,1,0,3,16,13,7.0,0.4666666666666667,16,12.0,13,9.0,9.0,0.75,12.0,7.0,12.0,7.0,,,,,,
2009-10-24,10,False,Birmingham,1,2,0,16,16,10.0,0.6666666666666666,17,13.0,13,8.0,,,,,,,4.0,0.3333333333333333,4.0,6.0,4.0,6.0
2009-10-31,11,True,West Ham,2,2,1,17,16,7.0,0.4666666666666667,18,10.0,15,9.0,12.0,0.8,13.0,7.0,13.0,7.0,,,,,,
2009-11-07,12,False,Spurs,0,2,0,17,17,8.0,0.5333333333333333,20,11.0,17,8.0,,,,,,,4.0,0.3333333333333333,5.0,8.0,5.0,8.0
2009-11-21,13,True,Arsenal,1,0,3,20,17,5.0,0.3333333333333333,20,6.0,19,8.0,13.0,0.8666666666666667,15.0,9.0,14.0,6.0,,,,,,
2009-11-28,14,False,Wigan,0,1,0,20,20,7.0,0.4666666666666667,21,5.0,19,6.0,,,,,,,1.0,0.08333333333333333,5.0,10.0,4.0,10.0
2009-12-06,15,False,Fulham,0,1,0,20,20,4.0,0.26666666666666666,21,4.0,20,7.0,,,,,,,1.0,0.08333333333333333,5.0,11.0,4.0,10.0
2009-12-12,16,True,Portsmouth,1,1,1,21,20,4.0,0.26666666666666666,21,3.0,21,6.0,13.0,0.8666666666666667,16.0,9.0,13.0,5.0,,,,,,
