Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,False,Wolves,2,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-23,2,True,Spurs,1,2,0,3,3,3.0,1.0,2,2.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-29,3,False,Blackburn,0,0,1,4,3,3.0,0.5,3,3.0,2,2.0,,,,,,,3.0,1.0,2.0,0.0,2.0,0.0
2009-09-12,4,False,Wigan,0,1,0,4,4,4.0,0.4444444444444444,3,3.0,2,2.0,,,,,,,4.0,0.6666666666666666,2.0,0.0,2.0,0.0
2009-09-20,5,True,Liverpool,2,3,0,4,4,4.0,0.3333333333333333,3,3.0,3,3.0,0.0,0.0,1.0,2.0,1.0,2.0,,,,,,
2009-09-29,6,False,Man City,1,3,0,4,4,4.0,0.26666666666666666,5,5.0,6,6.0,,,,,,,4.0,0.4444444444444444,2.0,1.0,2.0,1.0
2009-10-04,7,True,Fulham,2,2,1,5,4,1.0,0.06666666666666667,6,4.0,9,9.0,0.0,0.0,3.0,5.0,3.0,5.0,,,,,,
2009-10-17,8,False,Stoke,1,2,0,5,5,2.0,0.13333333333333333,8,5.0,11,9.0,,,,,,,4.0,0.3333333333333333,3.0,4.0,3.0,4.0
2009-10-26,9,True,Arsenal,2,2,1,6,5,1.0,0.06666666666666667,9,6.0,13,11.0,1.0,0.1111111111111111,5.0,7.0,5.0,7.0,,,,,,
2009-10-31,10,False,Sunderland,2,2,1,7,6,2.0,0.13333333333333333,11,8.0,15,12.0,,,,,,,4.0,0.3333333333333333,4.0,6.0,4.0,6.0
2009-11-05,11,True,Aston Villa,2,1,3,10,7,3.0,0.2,13,8.0,17,11.0,2.0,0.16666666666666666,7.0,9.0,7.0,9.0,,,,,,
2009-11-08,12,True,Everton,1,2,0,10,10,6.0,0.4,15,9.0,18,9.0,5.0,0.3333333333333333,9.0,10.0,9.0,10.0,,,,,,
2009-11-21,13,False,Hull,3,3,1,11,10,5.0,0.3333333333333333,16,8.0,20,9.0,,,,,,,2.0,0.16666666666666666,6.0,8.0,4.0,8.0
2009-11-28,14,True,Burnley,5,3,3,14,11,6.0,0.4,19,10.0,23,10.0,5.0,0.3333333333333333,10.0,12.0,9.0,10.0,,,,,,
2009-12-05,15,True,Man Utd,0,4,0,14,14,8.0,0.5333333333333333,24,13.0,26,11.0,8.0,0.5333333333333333,15.0,15.0,12.0,10.0,,,,,,
2009-12-12,16,False,Birmingham,0,1,0,14,14,7.0,0.4666666666666667,24,11.0,30,13.0,,,,,,,2.0,0.16666666666666666,9.0,11.0,7.0,11.0
2009-12-16,17,False,Bolton,1,3,0,14,14,4.0,0.26666666666666666,24,9.0,31,13.0,,,,,,,2.0,0.16666666666666666,9.0,12.0,7.0,11.0
2009-12-21,18,True,Chelsea,1,1,1,15,14,4.0,0.26666666666666666,25,9.0,34,14.0,7.0,0.4666666666666667,15.0,19.0,10.0,12.0,,,,,,
2009-12-26,19,True,Portsmouth,2,0,3,18,15,4.0,0.26666666666666666,26,7.0,35,12.0,7.0,0.4666666666666667,16.0,20.0,9.0,11.0,,,,,,
2009-12-28,20,False,Spurs,0,2,0,18,18,4.0,0.26666666666666666,28,4.0,35,9.0,,,,,,,2.0,0.16666666666666666,10.0,15.0,7.0,11.0
2010-01-17,21,False,Aston Villa,0,0,1,19,18,4.0,0.26666666666666666,28,4.0,37,7.0,,,,,,,2.0,0.16666666666666666,10.0,17.0,6.0,11.0
2010-01-27,22,False,Portsmouth,1,1,1,20,19,5.0,0.3333333333333333,28,4.0,37,6.0,,,,,,,2.0,0.16666666666666666,10.0,17.0,4.0,9.0
2010-01-30,23,True,Blackburn,0,0,1,21,20,6.0,0.4,29,4.0,38,4.0,7.0,0.4666666666666667,18.0,20.0,9.0,10.0,,,,,,
2010-02-06,24,False,Burnley,1,2,0,21,21,6.0,0.4,29,3.0,38,3.0,,,,,,,2.0,0.16666666666666666,11.0,18.0,2.0,7.0
2010-02-11,25,True,Birmingham,2,0,3,24,21,3.0,0.2,30,2.0,40,5.0,8.0,0.5333333333333333,18.0,20.0,8.0,8.0,,,,,,
2010-02-20,26,True,Hull,3,0,3,27,24,6.0,0.4,32,4.0,40,3.0,8.0,0.5333333333333333,20.0,20.0,5.0,5.0,,,,,,
2010-02-24,27,False,Man Utd,0,3,0,27,27,8.0,0.5333333333333333,35,7.0,40,3.0,,,,,,,2.0,0.16666666666666666,12.0,20.0,3.0,8.0
2010-03-06,28,True,Bolton,1,2,0,27,27,7.0,0.4666666666666667,35,6.0,43,5.0,11.0,0.7333333333333333,23.0,20.0,8.0,1.0,,,,,,
2010-03-13,29,False,Chelsea,1,4,0,27,27,6.0,0.4,36,7.0,45,7.0,,,,,,,2.0,0.16666666666666666,12.0,23.0,2.0,8.0
2010-03-21,30,False,Arsenal,0,2,0,27,27,6.0,0.4,37,7.0,49,9.0,,,,,,,2.0,0.16666666666666666,13.0,27.0,3.0,10.0
2010-03-24,31,True,Wolves,1,3,0,27,27,3.0,0.2,37,5.0,51,11.0,10.0,0.6666666666666666,24.0,22.0,8.0,2.0,,,,,,
2010-03-27,32,True,Stoke,0,1,0,27,27,0.0,0.0,38,3.0,54,14.0,7.0,0.4666666666666667,25.0,25.0,7.0,5.0,,,,,,
2010-04-04,33,False,Everton,2,2,1,28,27,0.0,0.0,38,3.0,55,12.0,,,,,,,1.0,0.08333333333333333,13.0,29.0,3.0,12.0
2010-04-10,34,True,Sunderland,1,0,3,31,28,1.0,0.06666666666666667,40,4.0,57,12.0,6.0,0.4,25.0,26.0,7.0,6.0,,,,,,
2010-04-20,35,False,Liverpool,0,3,0,31,31,4.0,0.26666666666666666,41,4.0,57,8.0,,,,,,,1.0,0.08333333333333333,15.0,31.0,4.0,13.0
2010-04-24,36,True,Wigan,3,2,3,34,31,4.0,0.26666666666666666,41,4.0,60,9.0,6.0,0.4,26.0,26.0,6.0,6.0,,,,,,
2010-05-02,37,False,Fulham,2,3,0,34,34,7.0,0.4666666666666667,44,6.0,62,8.0,,,,,,,1.0,0.08333333333333333,15.0,34.0,3.0,14.0
2010-05-09,38,True,Man City,1,1,1,35,34,7.0,0.4666666666666667,46,8.0,65,10.0,6.0,0.4,29.0,28.0,6.0,8.0,,,,,,
