Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,False,Aston Villa,2,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-19,2,True,Wolves,0,1,0,3,3,3.0,1.0,2,2.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-22,3,True,Man Utd,0,5,0,3,3,3.0,0.5,2,2.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,
2009-08-30,4,False,Everton,1,2,0,3,3,3.0,0.3333333333333333,2,2.0,6,6.0,,,,,,,3.0,1.0,2.0,0.0,2.0,0.0
2009-09-12,5,True,West Ham,1,0,3,6,3,3.0,0.25,3,3.0,8,8.0,0.0,0.0,0.0,6.0,0.0,6.0,,,,,,
2009-09-19,6,False,Arsenal,0,4,0,6,6,6.0,0.4,4,4.0,8,8.0,,,,,,,3.0,0.5,3.0,2.0,3.0,2.0
2009-09-26,7,True,Chelsea,3,1,3,9,6,3.0,0.2,4,2.0,12,12.0,3.0,0.3333333333333333,1.0,6.0,1.0,6.0,,,,,,
2009-10-03,8,False,Hull,1,2,0,9,9,6.0,0.4,7,5.0,13,12.0,,,,,,,3.0,0.3333333333333333,3.0,6.0,3.0,6.0
2009-10-18,9,True,Man City,1,1,1,10,9,6.0,0.4,8,6.0,15,9.0,6.0,0.5,4.0,7.0,4.0,7.0,,,,,,
2009-10-24,10,False,Burnley,3,1,3,13,10,7.0,0.4666666666666667,9,6.0,16,8.0,,,,,,,3.0,0.25,4.0,8.0,4.0,8.0
2009-10-31,11,False,Portsmouth,0,4,0,13,13,7.0,0.4666666666666667,12,8.0,17,9.0,,,,,,,6.0,0.5,7.0,9.0,7.0,9.0
