Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded
2009-08-15,1,True,West Ham,0,2,0,0,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
2009-08-19,2,False,Wigan,1,0,3,3,0,0.0,0.0,0,0.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0
2009-08-22,3,False,Man City,0,1,0,3,3,3.0,0.5,1,1.0,2,2.0,,,,,,,3.0,1.0,1.0,0.0,1.0,0.0
2009-08-29,4,True,Hull,1,1,1,4,3,3.0,0.3333333333333333,1,1.0,3,3.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,
2009-09-12,5,False,Blackburn,1,3,0,4,4,4.0,0.3333333333333333,2,2.0,4,4.0,,,,,,,3.0,0.5,1.0,1.0,1.0,1.0
2009-09-20,6,True,Fulham,2,1,3,7,4,4.0,0.26666666666666666,3,3.0,7,7.0,1.0,0.16666666666666666,1.0,3.0,1.0,3.0,,,,,,
2009-09-27,7,False,Sunderland,2,5,0,7,7,7.0,0.4666666666666667,5,5.0,8,6.0,,,,,,,3.0,0.3333333333333333,2.0,4.0,2.0,4.0
2009-10-03,8,True,Portsmouth,0,1,0,7,7,4.0,0.26666666666666666,7,6.0,13,11.0,4.0,0.4444444444444444,3.0,4.0,3.0,4.0,,,,,,
2009-10-17,9,False,Everton,1,1,1,8,7,4.0,0.26666666666666666,7,6.0,14,11.0,,,,,,,3.0,0.25,4.0,9.0,4.0,9.0
2009-10-24,10,True,Aston Villa,1,1,1,9,8,4.0,0.26666666666666666,8,6.0,15,11.0,4.0,0.3333333333333333,3.0,5.0,3.0,5.0,,,,,,
2009-10-31,11,False,Stoke,2,2,1,10,9,5.0,0.3333333333333333,9,6.0,16,9.0,,,,,,,4.0,0.3333333333333333,5.0,10.0,5.0,10.0
2009-11-08,12,True,Arsenal,1,4,0,10,10,3.0,0.2,11,6.0,18,10.0,5.0,0.3333333333333333,4.0,6.0,4.0,6.0,,,,,,
2009-11-21,13,False,Chelsea,0,4,0,10,10,3.0,0.2,12,5.0,22,9.0,,,,,,,2.0,0.16666666666666666,7.0,12.0,6.0,12.0
2009-11-29,14,True,Birmingham,0,1,0,10,10,3.0,0.2,12,5.0,26,12.0,5.0,0.3333333333333333,5.0,10.0,5.0,8.0,,,,,,
2009-12-05,15,True,Bolton,2,1,3,13,10,2.0,0.13333333333333333,12,4.0,27,12.0,4.0,0.26666666666666666,5.0,11.0,4.0,8.0,,,,,,
2009-12-12,16,False,Spurs,1,0,3,16,13,4.0,0.26666666666666666,14,5.0,28,12.0,,,,,,,2.0,0.16666666666666666,7.0,16.0,6.0,15.0
2009-12-16,17,False,Man Utd,0,3,0,16,16,6.0,0.4,15,4.0,28,10.0,,,,,,,5.0,0.4166666666666667,8.0,16.0,6.0,12.0
2009-12-20,18,True,Burnley,2,0,3,19,16,6.0,0.4,15,3.0,31,9.0,4.0,0.26666666666666666,7.0,12.0,4.0,8.0,,,,,,
2009-12-27,19,False,Liverpool,0,2,0,19,19,9.0,0.6,17,5.0,31,5.0,,,,,,,5.0,0.4166666666666667,8.0,19.0,4.0,10.0
2009-12-29,20,True,Man City,0,3,0,19,19,9.0,0.6,17,5.0,33,6.0,7.0,0.4666666666666667,9.0,12.0,6.0,7.0,,,,,,
2010-01-16,21,True,Wigan,0,2,0,19,19,6.0,0.4,17,3.0,36,8.0,6.0,0.4,9.0,15.0,5.0,9.0,,,,,,
2010-01-27,22,True,Liverpool,0,0,1,20,19,3.0,0.2,17,2.0,38,10.0,6.0,0.4,9.0,17.0,4.0,7.0,,,,,,
2010-01-30,23,False,Hull,2,2,1,21,20,4.0,0.26666666666666666,17,2.0,38,7.0,,,,,,,4.0,0.3333333333333333,8.0,21.0,3.0,11.0
2010-02-07,24,False,Birmingham,1,2,0,21,21,2.0,0.13333333333333333,19,2.0,40,9.0,,,,,,,4.0,0.3333333333333333,10.0,23.0,3.0,11.0
2010-02-11,25,True,Spurs,1,0,3,24,21,2.0,0.13333333333333333,20,3.0,42,9.0,7.0,0.4666666666666667,9.0,17.0,4.0,6.0,,,,,,
2010-02-20,26,True,Chelsea,0,2,0,24,24,5.0,0.3333333333333333,21,4.0,42,6.0,7.0,0.4666666666666667,10.0,17.0,3.0,5.0,,,,,,
2010-02-27,27,False,Bolton,0,1,0,24,24,5.0,0.3333333333333333,21,4.0,44,6.0,,,,,,,4.0,0.3333333333333333,11.0,25.0,4.0,9.0
2010-03-07,28,True,Man Utd,0,1,0,24,24,4.0,0.26666666666666666,21,4.0,45,7.0,4.0,0.26666666666666666,10.0,19.0,1.0,7.0,,,,,,
