Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2010-08-14,1,False,Wigan,4,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.9411764705882352,0.8674698795180723,True,0.5891472868217054,1.176470588235294,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2010-08-21,2,False,Arsenal,0,6,0,3,3,3.0,1.0,4,4.0,0,0.0,,,,,,,3.0,1.0,4.0,0.0,4.0,0.0,0.9411764705882352,0.8674698795180723,True,1.4883720930232556,0.7352941176470589,False,1.3954078688925955,1,1.0,0.3333333333333333,1,1.0,1,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,-0.24624844745163454
2010-08-28,3,True,Fulham,2,2,1,4,3,3.0,0.5,4,4.0,6,6.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.108433734939759,0.7394957983193278,True,0.588235294117647,0.9612403100775192,False,0.17762267731952175,2,2.0,0.3333333333333333,2,2.0,2,2.0,,,,,,,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.4144529137455511
2010-09-11,4,False,Newcastle,2,0,3,7,4,4.0,0.4444444444444444,6,6.0,8,8.0,,,,,,,3.0,0.5,4.0,6.0,4.0,6.0,0.9411764705882352,0.8674698795180723,True,1.3493975903614457,0.4369747899159664,True,-0.02236656648821682,4,4.0,0.4444444444444444,7,7.0,4,4.0,3.0,1.0,6.0,0.0,6.0,0.0,,,,,,,-0.02236656648821682
2010-09-19,5,False,Chelsea,0,4,0,7,7,7.0,0.5833333333333334,8,8.0,8,8.0,,,,,,,6.0,0.6666666666666666,6.0,6.0,6.0,6.0,0.9411764705882352,0.8674698795180723,True,2.108527131782945,0.6862745098039216,False,0.6494118809281441,12,12.0,1.0,17,17.0,1,1.0,6.0,1.0,8.0,0.0,8.0,0.0,,,,,,,2.559446824834449
2010-09-25,6,True,Blackburn,1,2,0,7,7,7.0,0.4666666666666667,8,8.0,12,12.0,1.0,0.3333333333333333,2.0,2.0,2.0,2.0,,,,,,,1.108433734939759,0.7394957983193278,True,0.6372549019607844,1.1472868217054264,False,0.12689245413047326,5,5.0,0.3333333333333333,5,5.0,6,6.0,,,,,,,1.0,0.16666666666666666,2.0,3.0,2.0,3.0,-0.5075698165218925
2010-10-03,7,False,Liverpool,2,1,3,10,7,4.0,0.26666666666666666,9,5.0,14,14.0,,,,,,,6.0,0.5,6.0,10.0,6.0,10.0,0.9411764705882352,0.8674698795180723,True,1.3333333333333333,0.7352941176470589,False,-0.3103351170204077,6,5.0,0.3333333333333333,6,5.0,9,8.0,5.0,0.5555555555555556,4.0,3.0,4.0,3.0,,,,,,,-0.6551519137097496
2010-10-17,8,True,Man City,2,3,0,10,10,7.0,0.4666666666666667,11,7.0,15,9.0,1.0,0.16666666666666666,3.0,4.0,3.0,4.0,,,,,,,1.108433734939759,0.7394957983193278,True,1.5686274509803917,0.7751937984496124,False,0.23247690640171936,14,10.0,0.6666666666666666,9,6.0,3,3.0,,,,,,,4.0,0.4444444444444444,2.0,1.0,2.0,1.0,1.4723537405442226
2010-10-23,9,False,Birmingham,0,2,0,10,10,6.0,0.4,13,7.0,18,10.0,,,,,,,9.0,0.75,8.0,11.0,8.0,11.0,0.9411764705882352,0.8674698795180723,True,0.5891472868217054,0.6372549019607844,False,-0.13923991921155662,7,2.0,0.13333333333333333,8,2.0,12,7.0,5.0,0.4166666666666667,2.0,3.0,2.0,3.0,,,,,,,-0.9746794344808964
2010-11-02,10,True,West Brom,2,1,3,13,10,3.0,0.2,13,5.0,20,12.0,1.0,0.1111111111111111,5.0,7.0,5.0,7.0,,,,,,,1.108433734939759,0.7394957983193278,True,1.3781512605042017,0.6506024096385542,True,-0.4675240235065661,15,11.0,0.7333333333333333,13,11.0,15,7.0,,,,,,,4.0,0.3333333333333333,5.0,11.0,5.0,11.0,0.7628023541422917
2010-11-06,11,True,Everton,2,2,1,14,13,6.0,0.4,15,7.0,21,9.0,4.0,0.3333333333333333,7.0,8.0,7.0,8.0,,,,,,,1.108433734939759,0.7394957983193278,True,1.2254901960784317,0.8682170542635658,False,-0.07904102453317377,13,11.0,0.7333333333333333,10,6.0,8,1.0,,,,,,,5.0,0.4166666666666667,3.0,3.0,3.0,3.0,-0.07904102453317377
2010-11-11,12,False,Aston Villa,2,3,0,14,14,7.0,0.4666666666666667,17,8.0,23,9.0,,,,,,,6.0,0.5,8.0,13.0,4.0,13.0,0.9411764705882352,0.8674698795180723,True,0.8992248062015504,0.7843137254901961,False,-0.15367970936173658,13,3.0,0.2,10,2.0,14,4.0,9.0,0.6,5.0,1.0,5.0,1.0,,,,,,,-0.3732221513070748
2010-11-13,13,False,West Ham,0,0,1,15,14,4.0,0.26666666666666666,19,8.0,26,11.0,,,,,,,6.0,0.5,10.0,16.0,6.0,10.0,0.9411764705882352,0.8674698795180723,True,0.9302325581395348,1.4215686274509804,False,-0.3958990888002317,8,3.0,0.2,11,6.0,22,8.0,5.0,0.3333333333333333,7.0,11.0,6.0,8.0,,,,,,,-1.6140501312624835
2010-11-20,14,True,Wolves,2,1,3,18,15,5.0,0.3333333333333333,19,6.0,26,8.0,5.0,0.3333333333333333,9.0,10.0,9.0,10.0,,,,,,,1.108433734939759,0.7394957983193278,True,0.9313725490196079,1.0542635658914727,False,-0.4477667355944952,9,3.0,0.2,13,5.0,23,10.0,,,,,,,0.0,0.0,4.0,12.0,3.0,11.0,-1.6418113638464822
2010-11-27,15,False,Bolton,2,2,1,19,18,8.0,0.5333333333333333,21,8.0,27,7.0,,,,,,,4.0,0.3333333333333333,10.0,16.0,4.0,10.0,0.9411764705882352,0.8674698795180723,True,0.8062015503875969,1.5196078431372548,False,-0.13031827566909926,22,10.0,0.6666666666666666,26,13.0,20,7.0,10.0,0.6666666666666666,15.0,9.0,13.0,7.0,,,,,,,0.614357585297183
2010-12-11,16,False,Stoke,1,0,3,22,19,6.0,0.4,23,8.0,29,8.0,,,,,,,5.0,0.4166666666666667,12.0,18.0,6.0,8.0,0.9411764705882352,0.8674698795180723,True,0.7441860465116278,1.0294117647058825,False,-0.1803725216748451,21,11.0,0.7333333333333333,21,11.0,21,5.0,10.0,0.6666666666666666,12.0,9.0,8.0,5.0,,,,,,,-0.0798488505000197
2010-12-28,17,False,Sunderland,2,0,3,25,22,8.0,0.5333333333333333,24,7.0,29,6.0,,,,,,,5.0,0.4166666666666667,13.0,18.0,5.0,7.0,0.9411764705882352,0.8674698795180723,True,0.9922480620155038,0.9313725490196079,False,0.0798488505000197,27,7.0,0.4666666666666667,21,4.0,20,5.0,13.0,0.8666666666666667,11.0,5.0,7.0,2.0,,,,,,,0.22191177348724714
2011-01-01,18,False,Man City,0,1,0,25,25,11.0,0.7333333333333333,26,7.0,29,3.0,,,,,,,8.0,0.6666666666666666,15.0,18.0,7.0,5.0,0.9411764705882352,0.8674698795180723,True,1.2713178294573644,0.9803921568627452,False,0.33039901263594096,38,12.0,0.8,32,12.0,16,4.0,8.0,0.5333333333333333,13.0,7.0,6.0,2.0,,,,,,,1.4386195500935042
2011-01-05,19,True,Birmingham,1,2,0,25,25,10.0,0.6666666666666666,26,7.0,30,4.0,7.0,0.4666666666666667,11.0,11.0,9.0,9.0,,,,,,,1.108433734939759,0.7394957983193278,True,0.9313725490196079,1.0542635658914727,False,0.15820359302018056,19,3.0,0.2,18,3.0,24,7.0,,,,,,,3.0,0.25,9.0,14.0,3.0,5.0,-0.9234393154791892
2011-01-13,20,True,Liverpool,2,1,3,28,25,7.0,0.4666666666666667,27,6.0,32,5.0,7.0,0.4666666666666667,12.0,13.0,9.0,9.0,,,,,,,1.108433734939759,0.7394957983193278,True,0.8823529411764706,0.6201550387596899,False,-0.06442599875436195,25,6.0,0.4,24,7.0,27,8.0,,,,,,,1.0,0.08333333333333333,7.0,19.0,4.0,11.0,-0.2538740382517947
2011-01-15,21,False,West Brom,2,3,0,28,28,9.0,0.6,29,6.0,33,4.0,,,,,,,8.0,0.6666666666666666,15.0,19.0,5.0,3.0,0.9411764705882352,0.8674698795180723,True,1.1566265060240963,0.7058823529411765,True,0.136701405212505,22,0.0,0.0,26,3.0,39,12.0,3.0,0.2,13.0,15.0,5.0,11.0,,,,,,,-0.8319574185755974
2011-01-22,22,True,Sunderland,1,2,0,28,28,6.0,0.4,31,7.0,36,7.0,10.0,0.6666666666666666,14.0,14.0,9.0,7.0,,,,,,,1.108433734939759,0.7394957983193278,True,0.7843137254901961,1.1472868217054264,False,-0.02683733608308369,34,7.0,0.4666666666666667,26,5.0,23,5.0,,,,,,,7.0,0.5833333333333334,11.0,15.0,6.0,5.0,0.3412990091166076
2011-01-26,23,True,Man Utd,2,3,0,28,28,3.0,0.2,32,6.0,38,9.0,7.0,0.4666666666666667,15.0,16.0,8.0,8.0,,,,,,,1.108433734939759,0.7394957983193278,True,1.6666666666666667,0.4961240310077519,False,-0.21127001371739185,48,11.0,0.7333333333333333,48,10.0,19,3.0,,,,,,,7.0,0.5833333333333334,14.0,12.0,5.0,4.0,2.2742595594283954
2011-02-03,24,True,West Ham,1,3,0,28,28,3.0,0.2,34,8.0,41,11.0,6.0,0.4,17.0,19.0,8.0,9.0,,,,,,,1.108433734939759,0.7394957983193278,True,0.8333333333333334,1.1472868217054264,False,-0.3412990091166076,21,5.0,0.3333333333333333,24,5.0,43,11.0,,,,,,,5.0,0.4166666666666667,10.0,24.0,6.0,10.0,-1.2115679159146402
2011-02-05,25,False,Everton,3,5,0,28,28,3.0,0.2,35,8.0,44,12.0,,,,,,,7.0,0.5833333333333334,17.0,22.0,7.0,6.0,0.9411764705882352,0.8674698795180723,True,1.0852713178294573,1.0294117647058825,False,-0.4708713734340743,27,5.0,0.3333333333333333,28,7.0,31,9.0,5.0,0.3333333333333333,14.0,15.0,6.0,9.0,,,,,,,-0.5766851652170123
2011-02-12,26,True,Aston Villa,1,1,1,29,28,0.0,0.0,38,9.0,49,16.0,3.0,0.2,18.0,22.0,7.0,11.0,,,,,,,1.108433734939759,0.7394957983193278,True,1.1274509803921569,0.7131782945736433,False,-0.665586344020932,29,8.0,0.5333333333333333,30,7.0,45,7.0,,,,,,,5.0,0.4166666666666667,12.0,30.0,7.0,12.0,-0.6322305050839205
2011-02-23,27,True,Spurs,3,1,3,32,29,1.0,0.06666666666666668,39,8.0,50,14.0,4.0,0.26666666666666666,19.0,23.0,7.0,10.0,,,,,,,1.108433734939759,0.7394957983193278,True,1.3235294117647058,0.8992248062015504,False,-0.6322305050839205,47,11.0,0.7333333333333333,37,6.0,28,3.0,,,,,,,10.0,0.8333333333333334,18.0,18.0,7.0,5.0,1.2032774129016544
2011-02-26,28,False,Wolves,0,4,0,32,32,4.0,0.26666666666666666,42,10.0,51,13.0,,,,,,,6.0,0.5,20.0,27.0,8.0,9.0,0.9411764705882352,0.8674698795180723,True,0.4031007751937984,1.0784313725490196,False,-0.4594063264335869,25,4.0,0.26666666666666666,27,3.0,46,8.0,9.0,0.6,17.0,19.0,5.0,6.0,,,,,,,-1.1509857425701695
2011-03-08,29,True,Chelsea,1,3,0,32,32,4.0,0.26666666666666666,42,8.0,55,14.0,4.0,0.26666666666666666,22.0,24.0,8.0,10.0,,,,,,,1.108433734939759,0.7394957983193278,True,1.7156862745098038,0.5581395348837209,False,-0.5899025924982093,48,10.0,0.6666666666666666,48,10.0,23,4.0,,,,,,,7.0,0.5833333333333334,22.0,14.0,9.0,6.0,1.1213466247357449
2011-03-19,30,False,Blackburn,2,2,1,33,32,4.0,0.26666666666666666,43,8.0,58,14.0,,,,,,,3.0,0.25,20.0,31.0,7.0,13.0,0.9411764705882352,0.8674698795180723,True,0.8682170542635658,0.8823529411764706,False,-0.7071258914304923,32,1.0,0.06666666666666668,37,6.0,49,12.0,7.0,0.4666666666666667,17.0,11.0,5.0,4.0,,,,,,,-0.7071258914304923
2011-04-03,31,False,Fulham,0,3,0,33,33,5.0,0.3333333333333333,45,7.0,60,11.0,,,,,,,1.0,0.08333333333333333,22.0,33.0,7.0,15.0,0.9411764705882352,0.8674698795180723,True,0.8372093023255813,0.7352941176470589,False,-0.7516546689711009,35,6.0,0.4,33,7.0,33,7.0,13.0,0.8666666666666667,20.0,16.0,9.0,2.0,,,,,,,-0.5525408493761073
2011-04-10,32,True,Arsenal,1,3,0,33,33,4.0,0.26666666666666666,45,6.0,63,13.0,4.0,0.26666666666666666,23.0,27.0,8.0,11.0,,,,,,,1.108433734939759,0.7394957983193278,True,1.7156862745098038,0.8062015503875969,False,-0.8344330052398226,59,9.0,0.6,59,5.0,29,2.0,,,,,,,9.0,0.75,29.0,17.0,14.0,8.0,1.8368249857638173
2011-04-16,33,True,Wigan,1,3,0,33,33,1.0,0.06666666666666668,46,4.0,66,15.0,4.0,0.26666666666666666,24.0,30.0,7.0,11.0,,,,,,,1.108433734939759,0.7394957983193278,True,0.8823529411764706,1.7054263565891472,False,-0.9194656853947281,31,4.0,0.26666666666666666,29,2.0,52,7.0,,,,,,,2.0,0.16666666666666666,11.0,21.0,3.0,8.0,-1.0962860095090987
2011-04-23,34,True,Newcastle,1,1,1,34,33,1.0,0.06666666666666668,47,5.0,69,14.0,4.0,0.26666666666666666,25.0,33.0,7.0,11.0,,,,,,,1.108433734939759,0.7394957983193278,True,1.1428571428571428,0.5301204819277109,True,-1.0009066839470884,40,4.0,0.26666666666666666,48,5.0,47,8.0,,,,,,,4.0,0.3333333333333333,12.0,24.0,2.0,6.0,-0.4020736251753262
2011-04-30,35,True,Stoke,0,0,1,35,34,2.0,0.13333333333333333,48,5.0,70,12.0,4.0,0.26666666666666666,26.0,34.0,7.0,11.0,,,,,,,1.108433734939759,0.7394957983193278,True,0.4901960784313725,0.8372093023255813,False,-0.9758932005695332,42,8.0,0.5333333333333333,43,11.0,43,5.0,,,,,,,1.0,0.08333333333333333,15.0,27.0,3.0,9.0,-0.3225755767572936
2011-05-08,36,False,Spurs,1,1,1,36,35,2.0,0.13333333333333333,48,3.0,70,10.0,,,,,,,1.0,0.08333333333333333,22.0,36.0,7.0,17.0,0.9411764705882352,0.8674698795180723,True,1.2403100775193798,0.588235294117647,False,-0.9795617691093009,55,6.0,0.4,50,9.0,43,9.0,9.0,0.6,27.0,17.0,10.0,8.0,,,,,,,0.7390655619375959
