Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2010-08-15,1,False,Chelsea,0,6,0,0,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.3781512605042017,0.6506024096385542,True,2.108527131782945,0.6862745098039216,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2010-08-21,2,True,Sunderland,1,0,3,3,0,0.0,0.0,0,0.0,6,6.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.1566265060240963,0.7058823529411765,True,0.7843137254901961,1.1472868217054264,False,-1.0670766056237495,1,1.0,0.3333333333333333,2,2.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-0.24624844745163454
2010-08-29,3,False,Liverpool,0,1,0,3,3,3.0,0.5,1,1.0,6,6.0,,,,,,,0.0,0.0,0.0,6.0,0.0,6.0,1.3781512605042017,0.6506024096385542,True,1.3333333333333333,0.7352941176470589,False,0.17762267731952175,1,1.0,0.16666666666666666,1,1.0,4,4.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,-1.0065285048106238
2010-09-11,4,True,Spurs,1,1,1,4,3,3.0,0.3333333333333333,1,1.0,7,7.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,,1.1566265060240963,0.7058823529411765,True,1.3235294117647058,0.8992248062015504,False,-0.4696978962525548,4,4.0,0.4444444444444444,2,2.0,2,2.0,,,,,,,3.0,1.0,2.0,1.0,2.0,1.0,-0.02236656648821682
2010-09-18,5,True,Birmingham,3,1,3,7,4,4.0,0.3333333333333333,2,2.0,8,8.0,4.0,0.6666666666666666,2.0,1.0,2.0,1.0,,,,,,,1.1566265060240963,0.7058823529411765,True,0.9313725490196079,1.0542635658914727,False,-0.4966090854156394,6,6.0,0.5,6,6.0,5,5.0,,,,,,,2.0,0.3333333333333333,4.0,4.0,4.0,4.0,0.26740489214688284
2010-09-25,6,False,Arsenal,3,2,3,10,7,7.0,0.4666666666666667,5,5.0,9,9.0,,,,,,,0.0,0.0,0.0,7.0,0.0,7.0,1.3781512605042017,0.6506024096385542,True,1.4883720930232556,0.7352941176470589,False,0.12689245413047326,11,11.0,0.7333333333333333,14,14.0,4,4.0,6.0,1.0,10.0,1.0,10.0,1.0,,,,,,,1.3958169954352049
2010-10-02,7,True,Bolton,1,1,1,11,10,10.0,0.6666666666666666,8,8.0,11,5.0,7.0,0.7777777777777778,5.0,2.0,5.0,2.0,,,,,,,1.1566265060240963,0.7058823529411765,True,0.7843137254901961,1.1162790697674418,False,0.7241152730476177,7,6.0,0.4,9,9.0,10,10.0,,,,,,,4.0,0.4444444444444444,5.0,6.0,5.0,6.0,-0.3103351170204077
2010-10-16,8,False,Man Utd,2,2,1,12,11,8.0,0.5333333333333333,9,8.0,12,6.0,,,,,,,3.0,0.3333333333333333,3.0,9.0,3.0,9.0,1.3781512605042017,0.6506024096385542,True,1.6124031007751938,0.588235294117647,False,0.5424461149373452,13,9.0,0.6,16,11.0,9,7.0,9.0,1.0,9.0,2.0,9.0,2.0,,,,,,,1.1623845320085968
2010-10-23,9,True,Fulham,2,1,3,15,12,9.0,0.6,11,10.0,14,7.0,8.0,0.6666666666666666,6.0,3.0,6.0,3.0,,,,,,,1.1566265060240963,0.7058823529411765,True,0.588235294117647,0.9612403100775192,False,0.4177197576346699,9,6.0,0.4,9,5.0,9,5.0,,,,,,,4.0,0.3333333333333333,4.0,4.0,4.0,4.0,-0.4177197576346699
2010-11-02,10,False,Blackpool,1,2,0,15,15,11.0,0.7333333333333333,13,11.0,15,7.0,,,,,,,4.0,0.3333333333333333,5.0,11.0,5.0,11.0,1.3781512605042017,0.6506024096385542,True,1.108433734939759,0.7394957983193278,True,0.7628023541422917,10,3.0,0.2,13,5.0,20,12.0,1.0,0.1111111111111111,5.0,7.0,5.0,7.0,,,,,,,-0.4675240235065661
