Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2011-08-13,1,True,Wolves,1,2,0,0,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.713128038897893,0.7174887892376679,False,0.7174887892376679,1.1669367909238249,False,,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2011-08-20,2,False,Aston Villa,1,3,0,0,0,0.0,0.0,1,1.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.076233183856502,1.393841166936791,False,0.8427876823338736,0.8520179372197308,False,-1.0269309402113187,1,1.0,0.3333333333333333,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,-0.09335735820102904
2011-08-27,3,True,Everton,0,1,0,0,0,0.0,0.0,2,2.0,5,5.0,0.0,0.0,1.0,2.0,1.0,2.0,,,,,,,0.713128038897893,0.7174887892376679,False,0.8968609865470851,0.713128038897893,False,-1.3378235926773296,0,0.0,0.0,0,0.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-1.0269309402113187
2011-09-11,4,False,Fulham,1,1,1,1,0,0.0,0.0,2,2.0,6,6.0,,,,,,,0.0,0.0,1.0,3.0,1.0,3.0,1.076233183856502,1.393841166936791,False,0.9724473257698542,1.0313901345291479,False,-1.441061413472451,1,1.0,0.1111111111111111,1,1.0,4,4.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,,,,,,,-1.0895830199425849
2011-09-17,5,True,Arsenal,4,3,3,4,1,1.0,0.08333333333333333,3,3.0,7,7.0,0.0,0.0,1.0,3.0,1.0,3.0,,,,,,,0.713128038897893,0.7174887892376679,False,1.748878923766816,0.9076175040518638,False,-1.3655211535739835,4,4.0,0.3333333333333333,3,3.0,10,10.0,,,,,,,1.0,0.16666666666666666,2.0,8.0,2.0,8.0,-0.4651775358328955
2011-09-24,6,False,Newcastle,1,3,0,4,4,4.0,0.26666666666666666,7,7.0,10,10.0,,,,,,,1.0,0.16666666666666666,2.0,4.0,2.0,4.0,1.076233183856502,1.393841166936791,False,1.3290113452188006,1.210762331838565,False,-0.8647491917652392,9,9.0,0.6,4,4.0,2,2.0,4.0,0.6666666666666666,2.0,1.0,2.0,1.0,,,,,,,0.6794457935298309
2011-10-01,7,True,Man City,0,4,0,4,4,4.0,0.26666666666666666,8,7.0,13,11.0,3.0,0.3333333333333333,5.0,6.0,5.0,6.0,,,,,,,0.713128038897893,0.7174887892376679,False,1.1659192825112108,0.6807131280388979,False,-1.0576082890712841,16,13.0,0.8666666666666667,19,15.0,5,5.0,,,,,,,7.0,0.7777777777777778,10.0,5.0,10.0,5.0,2.00053616125532
2011-10-15,8,False,QPR,1,1,1,5,4,4.0,0.26666666666666666,8,6.0,17,12.0,,,,,,,1.0,0.1111111111111111,3.0,7.0,3.0,7.0,1.076233183856502,1.393841166936791,False,1.016548463356974,0.4518072289156626,True,-1.1468292773139113,8,5.0,0.3333333333333333,5,4.0,13,9.0,2.0,0.2222222222222222,1.0,5.0,1.0,5.0,,,,,,,-0.3127716210856122
2011-10-23,9,True,Spurs,1,2,0,5,5,5.0,0.3333333333333333,9,7.0,18,12.0,3.0,0.25,5.0,10.0,5.0,10.0,,,,,,,0.713128038897893,0.7174887892376679,False,1.1210762331838564,0.8752025931928686,False,-1.1846158902628643,13,13.0,0.8666666666666667,13,12.0,12,4.0,,,,,,,7.0,0.5833333333333334,6.0,6.0,6.0,6.0,0.7298004491997617
2011-10-29,10,False,Norwich,3,3,1,6,5,4.0,0.26666666666666666,10,7.0,20,13.0,,,,,,,2.0,0.16666666666666666,4.0,8.0,4.0,8.0,1.076233183856502,1.393841166936791,False,1.1111111111111112,0.9036144578313252,True,-1.3228531018381091,12,10.0,0.6666666666666666,11,8.0,12,6.0,7.0,0.5833333333333334,6.0,4.0,6.0,4.0,,,,,,,-0.0629930048494337
