Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2011-08-13,1,False,QPR,4,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.8071748878923766,1.0372771474878444,False,1.016548463356974,0.4518072289156626,True,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2011-08-21,2,True,Man City,2,3,0,3,3,3.0,1.0,4,4.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.1021069692058347,1.076233183856502,False,1.1659192825112108,0.6807131280388979,False,1.7737898058195503,3,3.0,1.0,4,4.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.7737898058195503
2011-08-28,3,False,Liverpool,1,3,0,3,3,3.0,0.5,6,6.0,3,3.0,,,,,,,3.0,1.0,4.0,0.0,4.0,0.0,0.8071748878923766,1.0372771474878444,False,1.1993517017828201,0.6278026905829596,False,0.17669368205172284,4,4.0,0.6666666666666666,3,3.0,1,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,0.6815327736280736
2011-09-11,4,True,Man Utd,0,5,0,3,3,3.0,0.3333333333333333,7,7.0,6,6.0,0.0,0.0,2.0,3.0,2.0,3.0,,,,,,,1.1021069692058347,1.076233183856502,False,1.3004484304932735,0.8103727714748785,False,-0.3866262328828527,9,9.0,1.0,13,13.0,3,3.0,,,,,,,3.0,1.0,2.0,1.0,2.0,1.0,1.7222441282963443
2011-09-17,5,True,Norwich,1,2,0,3,3,3.0,0.25,7,7.0,11,11.0,0.0,0.0,2.0,8.0,2.0,8.0,,,,,,,1.1021069692058347,1.076233183856502,False,1.0843373493975903,0.6619385342789598,True,-0.7652920750799249,2,2.0,0.16666666666666666,3,3.0,6,6.0,,,,,,,1.0,0.16666666666666666,2.0,4.0,2.0,4.0,-1.0654066143269545
2011-09-24,6,False,Arsenal,0,3,0,3,3,3.0,0.2,8,8.0,13,13.0,,,,,,,3.0,0.5,5.0,3.0,5.0,3.0,0.8071748878923766,1.0372771474878444,False,1.0696920583468394,0.6726457399103138,False,-1.1735881888242532,4,4.0,0.26666666666666666,6,6.0,14,14.0,3.0,0.5,1.0,2.0,1.0,2.0,,,,,,,-0.8647491917652392
2011-10-02,7,True,Chelsea,1,5,0,3,3,0.0,0.0,8,4.0,16,16.0,0.0,0.0,3.0,10.0,3.0,10.0,,,,,,,1.1021069692058347,1.076233183856502,False,1.3452914798206277,0.6482982171799027,False,-1.3124536599318342,13,12.0,0.8,12,12.0,7,7.0,,,,,,,4.0,0.4444444444444444,3.0,4.0,3.0,4.0,1.2360000486736689
2011-10-15,8,False,Wigan,3,1,3,6,3,0.0,0.0,9,3.0,21,18.0,,,,,,,3.0,0.3333333333333333,5.0,6.0,5.0,6.0,0.8071748878923766,1.0372771474878444,False,0.713128038897893,1.5246636771300448,False,-1.3553436913709858,5,3.0,0.2,5,4.0,11,10.0,4.0,0.4444444444444444,4.0,3.0,4.0,3.0,,,,,,,-0.9383148632568366
2011-10-22,9,True,Sunderland,0,2,0,6,6,3.0,0.2,12,5.0,22,16.0,0.0,0.0,4.0,15.0,4.0,15.0,,,,,,,1.1021069692058347,1.076233183856502,False,0.8968609865470851,0.940032414910859,False,-0.9904165639902636,6,4.0,0.26666666666666666,10,9.0,10,8.0,,,,,,,2.0,0.16666666666666666,3.0,5.0,3.0,5.0,-0.9904165639902636
2011-10-29,10,False,Swansea,1,3,0,6,6,3.0,0.2,12,5.0,24,13.0,,,,,,,6.0,0.5,8.0,7.0,8.0,7.0,0.8071748878923766,1.0372771474878444,False,0.9692671394799054,0.3313253012048193,True,-1.142873087982584,9,7.0,0.4666666666666667,9,9.0,14,9.0,8.0,0.6666666666666666,5.0,0.0,5.0,0.0,,,,,,,-0.6029330464160089
