Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2011-08-14,1,False,Stoke,0,0,1,1,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.3452914798206277,0.6482982171799027,False,1.004862236628849,0.8071748878923766,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2011-08-21,2,True,West Brom,2,1,3,4,1,1.0,0.3333333333333333,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.2641815235008105,0.5829596412556054,False,1.1659192825112108,1.3290113452188006,False,-0.09335735820102904,0,0.0,0.0,1,1.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-1.0269309402113187
2011-08-27,3,True,Norwich,3,1,3,7,4,4.0,0.6666666666666666,2,2.0,1,1.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,1.2641815235008105,0.5829596412556054,False,1.0843373493975903,0.6619385342789598,True,0.6815327736280736,2,2.0,0.3333333333333333,2,2.0,2,2.0,,,,,,,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,-0.328145409524628
2011-09-10,4,False,Sunderland,2,1,3,10,7,7.0,0.7777777777777778,5,5.0,2,2.0,,,,,,,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.3452914798206277,0.6482982171799027,False,0.8103727714748785,1.210762331838565,False,1.019287341236612,2,2.0,0.2222222222222222,1,1.0,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,-0.7381046264127189
2011-09-18,5,False,Man Utd,1,3,0,10,10,10.0,0.8333333333333334,7,7.0,3,3.0,,,,,,,4.0,0.6666666666666666,2.0,1.0,2.0,1.0,1.3452914798206277,0.6482982171799027,False,1.5883306320907618,0.538116591928251,False,1.335509699649281,12,12.0,1.0,18,18.0,3,3.0,6.0,1.0,11.0,2.0,11.0,2.0,,,,,,,1.93573877814334
2011-09-24,6,True,Swansea,4,1,3,13,10,10.0,0.6666666666666666,8,8.0,6,6.0,6.0,1.0,5.0,2.0,5.0,2.0,,,,,,,1.2641815235008105,0.5829596412556054,False,0.8433734939759036,0.7328605200945626,True,0.9882847905888448,5,5.0,0.3333333333333333,3,3.0,5,5.0,,,,,,,0.0,0.0,0.0,5.0,0.0,5.0,-0.5559101947062252
2011-10-02,7,False,Bolton,5,1,3,16,13,12.0,0.8,12,12.0,7,7.0,,,,,,,4.0,0.4444444444444444,3.0,4.0,3.0,4.0,1.3452914798206277,0.6482982171799027,False,1.1021069692058347,1.076233183856502,False,1.2360000486736689,3,0.0,0.0,8,4.0,16,16.0,0.0,0.0,3.0,10.0,3.0,10.0,,,,,,,-1.3124536599318342
2011-10-16,8,True,Everton,3,1,3,19,16,12.0,0.8,17,15.0,8,7.0,9.0,1.0,9.0,3.0,9.0,3.0,,,,,,,1.2641815235008105,0.5829596412556054,False,0.8968609865470851,0.713128038897893,False,1.3553436913709858,7,7.0,0.4666666666666667,6,6.0,8,7.0,,,,,,,3.0,0.5,1.0,2.0,1.0,2.0,-0.29307217648963296
2011-10-23,9,False,QPR,0,1,0,19,19,12.0,0.8,20,15.0,9,7.0,,,,,,,7.0,0.5833333333333334,8.0,5.0,8.0,5.0,1.3452914798206277,0.6482982171799027,False,1.016548463356974,0.4518072289156626,True,1.534174677553546,9,6.0,0.4,6,5.0,14,8.0,3.0,0.25,2.0,6.0,2.0,6.0,,,,,,,-0.4078185851724615
2011-10-29,10,True,Arsenal,3,5,0,19,19,9.0,0.6,20,13.0,10,7.0,12.0,1.0,12.0,4.0,12.0,4.0,,,,,,,1.2641815235008105,0.5829596412556054,False,1.748878923766816,0.9076175040518638,False,1.1968670921392417,13,9.0,0.6,15,12.0,18,8.0,,,,,,,1.0,0.08333333333333333,6.0,14.0,6.0,14.0,0.11698700900609135
