Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2011-08-13,1,False,Wigan,1,1,1,1,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0843373493975903,0.6619385342789598,True,0.713128038897893,1.5246636771300448,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2011-08-21,2,True,Stoke,1,1,1,2,1,1.0,0.3333333333333333,1,1.0,1,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.1111111111111112,0.9036144578313252,True,0.6726457399103138,0.9724473257698542,False,-0.09335735820102904,1,1.0,0.3333333333333333,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-0.09335735820102904
2011-08-27,3,False,Chelsea,1,3,0,2,2,2.0,0.3333333333333333,2,2.0,2,2.0,,,,,,,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0843373493975903,0.6619385342789598,True,1.2641815235008105,0.5829596412556054,False,-0.328145409524628,4,4.0,0.6666666666666666,2,2.0,1,1.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,0.6815327736280736
2011-09-11,4,True,West Brom,0,1,0,2,2,2.0,0.2222222222222222,3,3.0,5,5.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,1.1111111111111112,0.9036144578313252,True,1.1659192825112108,1.3290113452188006,False,-0.7381046264127189,0,0.0,0.0,2,2.0,5,5.0,,,,,,,0.0,0.0,1.0,2.0,1.0,2.0,-1.441061413472451
2011-09-17,5,False,Bolton,2,1,3,5,2,2.0,0.16666666666666666,3,3.0,6,6.0,,,,,,,1.0,0.16666666666666666,2.0,4.0,2.0,4.0,1.0843373493975903,0.6619385342789598,True,1.1021069692058347,1.076233183856502,False,-1.0654066143269545,3,3.0,0.25,7,7.0,11,11.0,0.0,0.0,2.0,8.0,2.0,8.0,,,,,,,-0.7652920750799249
2011-09-27,6,True,Sunderland,2,1,3,8,5,5.0,0.3333333333333333,5,5.0,7,7.0,1.0,0.16666666666666666,1.0,2.0,1.0,2.0,,,,,,,1.1111111111111112,0.9036144578313252,True,0.8968609865470851,0.940032414910859,False,-0.5559101947062252,5,5.0,0.3333333333333333,6,6.0,4,4.0,,,,,,,2.0,0.3333333333333333,1.0,1.0,1.0,1.0,-0.5559101947062252
2011-10-01,7,False,Man Utd,0,2,0,8,8,7.0,0.4666666666666667,7,6.0,8,7.0,,,,,,,4.0,0.4444444444444444,4.0,5.0,4.0,5.0,1.0843373493975903,0.6619385342789598,True,1.5883306320907618,0.538116591928251,False,-0.038226805629082636,16,13.0,0.8666666666666667,22,20.0,5,4.0,9.0,1.0,14.0,3.0,14.0,3.0,,,,,,,2.00053616125532
2011-10-15,8,True,Swansea,3,1,3,11,8,6.0,0.4,7,5.0,10,8.0,4.0,0.4444444444444444,3.0,3.0,3.0,3.0,,,,,,,1.1111111111111112,0.9036144578313252,True,0.8433734939759036,0.7328605200945626,True,-0.3127716210856122,8,7.0,0.4666666666666667,6,6.0,9,5.0,,,,,,,0.0,0.0,1.0,9.0,1.0,9.0,-0.3127716210856122
2011-10-23,9,False,Liverpool,1,1,1,12,11,9.0,0.6,10,7.0,11,6.0,,,,,,,4.0,0.3333333333333333,4.0,7.0,4.0,7.0,1.0843373493975903,0.6619385342789598,True,1.1993517017828201,0.6278026905829596,False,-0.019419932627260002,14,7.0,0.4666666666666667,11,5.0,9,7.0,8.0,0.6666666666666666,7.0,4.0,7.0,4.0,,,,,,,0.5631780461905421
2011-10-29,10,True,Blackburn,3,3,1,13,12,10.0,0.6666666666666666,11,8.0,12,6.0,7.0,0.5833333333333334,6.0,4.0,6.0,4.0,,,,,,,1.1111111111111112,0.9036144578313252,True,1.076233183856502,1.393841166936791,False,-0.0629930048494337,5,4.0,0.26666666666666666,10,7.0,20,13.0,,,,,,,2.0,0.16666666666666666,4.0,8.0,4.0,8.0,-1.3228531018381091
