Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2012-08-18,1,True,Stoke,1,1,1,1,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.9254498714652956,0.5616224648985959,True,0.4761904761904762,1.0927152317880795,False,,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2012-08-23,2,False,Chelsea,2,4,0,1,1,1.0,0.3333333333333333,1,1.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.029641185647426,0.5912596401028278,True,1.3576158940397351,1.0389610389610389,False,-0.2874172848876244,3,3.0,1.0,2,2.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.1496691395504979
2012-09-16,3,True,Spurs,1,3,0,1,1,1.0,0.16666666666666666,3,3.0,5,5.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,0.9254498714652956,0.5616224648985959,True,1.1688311688311688,0.7947019867549668,False,-0.8533133730200474,2,2.0,0.2222222222222222,3,3.0,4,4.0,,,,,,,0.0,0.0,1.0,2.0,1.0,2.0,-0.7325967277917674
2012-09-22,4,False,West Brom,0,1,0,1,1,1.0,0.1111111111111111,4,4.0,8,8.0,,,,,,,0.0,0.0,2.0,4.0,2.0,4.0,1.029641185647426,0.5912596401028278,True,0.6953642384105961,0.9523809523809524,False,-1.1181739529453292,7,7.0,0.5833333333333334,6,6.0,4,4.0,6.0,1.0,5.0,0.0,5.0,0.0,,,,,,,0.6754060057002398
2012-09-29,5,True,Newcastle,2,2,1,2,1,1.0,0.08333333333333333,4,4.0,9,9.0,1.0,0.16666666666666666,2.0,4.0,2.0,4.0,,,,,,,0.9254498714652956,0.5616224648985959,True,1.1688311688311688,1.1258278145695364,False,-1.5150999587329708,8,8.0,0.5333333333333333,6,6.0,6,6.0,,,,,,,1.0,0.16666666666666666,2.0,4.0,2.0,4.0,0.3767678635293962
2012-10-06,6,False,Swansea,2,2,1,3,2,2.0,0.13333333333333333,6,6.0,11,11.0,,,,,,,0.0,0.0,2.0,5.0,2.0,5.0,1.029641185647426,0.5912596401028278,True,0.8940397350993377,0.7792207792207791,False,-1.3621607373755096,7,4.0,0.26666666666666666,10,5.0,9,9.0,4.0,0.4444444444444444,5.0,5.0,5.0,5.0,,,,,,,-0.2394975785866203
2012-10-20,7,False,Liverpool,0,1,0,3,3,2.0,0.13333333333333333,8,7.0,13,12.0,,,,,,,1.0,0.1111111111111111,4.0,7.0,4.0,7.0,1.029641185647426,0.5912596401028278,True,0.7947019867549668,0.6926406926406926,False,-1.2479084357934422,6,5.0,0.3333333333333333,9,7.0,12,7.0,2.0,0.16666666666666666,3.0,6.0,3.0,6.0,,,,,,,-0.66799709751627
2012-10-27,8,True,Fulham,3,3,1,4,3,2.0,0.13333333333333333,8,5.0,14,9.0,2.0,0.2222222222222222,4.0,6.0,4.0,6.0,,,,,,,0.9254498714652956,0.5616224648985959,True,0.5194805194805194,0.8278145695364238,False,-1.284609802915904,13,10.0,0.6666666666666666,16,9.0,11,5.0,,,,,,,4.0,0.3333333333333333,6.0,9.0,6.0,9.0,0.4305512752160749
2012-11-04,9,False,QPR,1,1,1,5,4,3.0,0.2,11,7.0,17,9.0,,,,,,,1.0,0.08333333333333333,4.0,8.0,4.0,8.0,1.029641185647426,0.5912596401028278,True,0.7947019867549668,1.0822510822510822,False,-1.2542145843250871,3,1.0,0.06666666666666668,7,5.0,18,9.0,2.0,0.16666666666666666,2.0,8.0,2.0,8.0,,,,,,,-1.5680938522387209
2012-11-10,10,True,Norwich,0,0,1,6,5,4.0,0.26666666666666666,12,8.0,18,9.0,3.0,0.25,7.0,9.0,7.0,9.0,,,,,,,0.9254498714652956,0.5616224648985959,True,1.0389610389610389,1.1920529801324502,False,-1.2176818182188949,10,7.0,0.4666666666666667,8,6.0,18,10.0,,,,,,,2.0,0.16666666666666666,3.0,12.0,3.0,12.0,-0.5517068747029467
