Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2012-08-19,1,False,Man City,2,3,0,0,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.1232449297971918,0.7197943444730077,True,1.8211920529801324,0.5194805194805194,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2012-08-25,2,True,Wigan,0,2,0,0,0,0.0,0.0,2,2.0,3,3.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.2596401028277635,0.5616224648985959,True,0.8658008658008658,1.1589403973509933,False,-1.0059604971066856,0,0.0,0.0,0,0.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-1.0059604971066856
2012-09-02,3,True,Man Utd,2,3,0,0,0,0.0,0.0,2,2.0,5,5.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,,1.2596401028277635,0.5616224648985959,True,1.6017316017316017,0.4635761589403973,False,-1.386634231157577,3,3.0,0.5,3,3.0,3,3.0,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.2133283432550118
2012-09-15,4,False,Arsenal,1,6,0,0,0,0.0,0.0,4,4.0,8,8.0,,,,,,,0.0,0.0,2.0,3.0,2.0,3.0,1.1232449297971918,0.7197943444730077,True,1.2913907284768211,0.7359307359307359,False,-1.5037511780988908,5,5.0,0.5555555555555556,2,2.0,0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,,,,,,,0.424134947668918
2012-09-22,5,True,Aston Villa,4,1,3,3,0,0.0,0.0,5,5.0,14,14.0,0.0,0.0,2.0,5.0,2.0,5.0,,,,,,,1.2596401028277635,0.5616224648985959,True,0.7359307359307359,0.9271523178807948,False,-1.8801842861385056,4,4.0,0.3333333333333333,4,4.0,5,5.0,,,,,,,1.0,0.16666666666666666,1.0,2.0,1.0,2.0,-0.4198469765163655
2012-09-29,6,False,Everton,1,3,0,3,3,3.0,0.2,9,9.0,15,15.0,,,,,,,0.0,0.0,3.0,9.0,3.0,9.0,1.1232449297971918,0.7197943444730077,True,0.9271523178807948,0.6493506493506493,False,-1.072339303891359,10,10.0,0.6666666666666666,9,9.0,5,5.0,4.0,0.6666666666666666,3.0,2.0,3.0,2.0,,,,,,,0.9564107304976982
2012-10-07,7,True,Fulham,2,2,1,4,3,3.0,0.2,10,8.0,18,15.0,3.0,0.3333333333333333,6.0,6.0,6.0,6.0,,,,,,,1.2596401028277635,0.5616224648985959,True,0.5194805194805194,0.8278145695364238,False,-1.2479084357934422,9,6.0,0.4,13,8.0,9,9.0,,,,,,,3.0,0.3333333333333333,4.0,7.0,4.0,7.0,0.2647078500167907
2012-10-20,8,False,West Ham,1,4,0,4,4,4.0,0.26666666666666666,12,10.0,20,15.0,,,,,,,0.0,0.0,4.0,12.0,4.0,12.0,1.1232449297971918,0.7197943444730077,True,1.0539845758354756,0.8112324492979719,True,-1.0790722344493593,11,8.0,0.5333333333333333,8,7.0,8,5.0,7.0,0.5833333333333334,6.0,4.0,6.0,4.0,,,,,,,0.3596907448164531
2012-10-28,9,True,Spurs,1,2,0,4,4,4.0,0.26666666666666666,13,9.0,24,16.0,4.0,0.3333333333333333,8.0,8.0,8.0,8.0,,,,,,,1.2596401028277635,0.5616224648985959,True,1.1688311688311688,0.7947019867549668,False,-1.2542145843250871,14,12.0,0.8,15,12.0,12,8.0,,,,,,,6.0,0.6666666666666666,7.0,5.0,7.0,5.0,0.6177474818317595
2012-11-06,10,False,West Brom,0,2,0,4,4,4.0,0.26666666666666666,14,9.0,26,12.0,,,,,,,0.0,0.0,5.0,16.0,5.0,16.0,1.1232449297971918,0.7197943444730077,True,0.6953642384105961,0.9523809523809524,False,-1.3928878352288077,14,7.0,0.4666666666666667,13,7.0,11,7.0,12.0,0.8,10.0,4.0,10.0,4.0,,,,,,,0.35917233487032163
