Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2012-08-18,1,True,Aston Villa,1,0,3,3,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.0539845758354756,0.8112324492979719,True,0.7359307359307359,0.9271523178807948,False,,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2012-08-25,2,False,Swansea,0,3,0,3,3,3.0,1.0,1,1.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.2480499219968797,0.5655526992287918,True,0.8940397350993377,0.7792207792207791,False,1.1496691395504979,3,3.0,1.0,5,5.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.1496691395504979
2012-09-01,3,True,Fulham,3,0,3,6,3,3.0,0.5,1,1.0,3,3.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,,1.0539845758354756,0.8112324492979719,True,0.5194805194805194,0.8278145695364238,False,0.2133283432550118,3,3.0,0.5,7,7.0,3,3.0,,,,,,,0.0,0.0,2.0,3.0,2.0,3.0,0.2133283432550118
2012-09-15,4,False,Norwich,0,0,1,7,6,6.0,0.6666666666666666,4,4.0,3,3.0,,,,,,,0.0,0.0,0.0,3.0,0.0,3.0,1.2480499219968797,0.5655526992287918,True,0.9271523178807948,1.2987012987012987,False,0.8097121728224799,2,2.0,0.2222222222222222,2,2.0,7,7.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,-0.7325967277917674
2012-09-22,5,True,Sunderland,1,1,1,8,7,7.0,0.5833333333333334,4,4.0,3,3.0,6.0,1.0,4.0,0.0,4.0,0.0,,,,,,,1.0539845758354756,0.8112324492979719,True,0.8225108225108225,0.9602649006622516,False,0.6754060057002398,3,3.0,0.3333333333333333,3,3.0,3,3.0,,,,,,,2.0,0.3333333333333333,2.0,2.0,2.0,2.0,-0.3470195026382056
2012-10-02,6,False,QPR,2,1,3,11,8,8.0,0.5333333333333333,5,5.0,4,4.0,,,,,,,1.0,0.16666666666666666,0.0,3.0,0.0,3.0,1.2480499219968797,0.5655526992287918,True,0.7947019867549668,1.0822510822510822,False,0.3767678635293962,2,2.0,0.13333333333333333,3,3.0,11,11.0,1.0,0.16666666666666666,0.0,5.0,0.0,5.0,,,,,,,-1.3621607373755096
2012-10-07,7,True,Arsenal,1,3,0,11,11,8.0,0.5333333333333333,7,6.0,5,5.0,7.0,0.7777777777777778,5.0,1.0,5.0,1.0,,,,,,,1.0539845758354756,0.8112324492979719,True,1.5151515151515151,1.0596026490066224,False,0.7689132786202016,9,8.0,0.5333333333333333,10,10.0,4,4.0,,,,,,,5.0,0.5555555555555556,3.0,1.0,3.0,1.0,0.2647078500167907
2012-10-20,8,True,Southampton,4,1,3,14,11,8.0,0.5333333333333333,8,7.0,8,5.0,7.0,0.5833333333333334,6.0,4.0,6.0,4.0,,,,,,,1.0539845758354756,0.8112324492979719,True,1.1232449297971918,0.7197943444730077,True,0.3596907448164531,4,4.0,0.26666666666666666,12,10.0,20,15.0,,,,,,,0.0,0.0,4.0,12.0,4.0,12.0,-1.0790722344493593
2012-10-27,9,False,Wigan,1,2,0,14,14,8.0,0.5333333333333333,12,8.0,9,6.0,,,,,,,4.0,0.4444444444444444,2.0,4.0,2.0,4.0,1.2480499219968797,0.5655526992287918,True,0.7284768211920529,1.1688311688311688,False,0.6177474818317595,5,1.0,0.06666666666666668,8,4.0,15,11.0,2.0,0.16666666666666666,5.0,8.0,5.0,8.0,,,,,,,-1.0670183777094024
2012-11-04,10,True,Man City,0,0,1,15,14,7.0,0.4666666666666667,13,9.0,11,8.0,10.0,0.6666666666666666,10.0,5.0,10.0,5.0,,,,,,,1.0539845758354756,0.8112324492979719,True,1.645021645021645,0.5629139072847682,False,0.35917233487032163,21,13.0,0.8666666666666667,18,9.0,9,3.0,,,,,,,8.0,0.6666666666666666,7.0,5.0,7.0,5.0,1.585614453939712
2012-11-11,11,False,Newcastle,1,0,3,18,15,7.0,0.4666666666666667,13,8.0,11,7.0,,,,,,,4.0,0.3333333333333333,3.0,6.0,3.0,6.0,1.2480499219968797,0.5655526992287918,True,0.9602649006622516,0.7359307359307359,False,0.3103351170204077,14,6.0,0.4,12,6.0,14,8.0,10.0,0.6666666666666666,6.0,6.0,6.0,6.0,,,,,,,0.13792671867573686
2012-11-20,12,True,Stoke,1,1,1,19,18,7.0,0.4666666666666667,14,7.0,11,6.0,8.0,0.5333333333333333,10.0,5.0,9.0,5.0,,,,,,,1.0539845758354756,0.8112324492979719,True,0.4761904761904762,1.0927152317880795,False,0.5187564749039544,12,5.0,0.3333333333333333,9,3.0,10,5.0,,,,,,,2.0,0.16666666666666666,5.0,9.0,4.0,8.0,-0.4389477864571922
2012-11-26,13,False,Spurs,1,3,0,19,19,8.0,0.5333333333333333,15,7.0,12,4.0,,,,,,,7.0,0.5833333333333334,4.0,6.0,4.0,6.0,1.2480499219968797,0.5655526992287918,True,1.2913907284768211,0.7359307359307359,False,0.4845119856437511,17,3.0,0.2,20,7.0,21,13.0,7.0,0.4666666666666667,8.0,8.0,7.0,7.0,,,,,,,0.17192360780907293
2012-11-29,14,False,Man Utd,0,1,0,19,19,5.0,0.3333333333333333,16,4.0,15,6.0,,,,,,,7.0,0.5833333333333334,5.0,9.0,5.0,6.0,1.2480499219968797,0.5655526992287918,True,1.7218543046357615,0.8225108225108225,False,0.2610655045336205,30,12.0,0.8,32,11.0,18,7.0,12.0,0.8,18.0,9.0,15.0,7.0,,,,,,,1.902048675887807
2012-12-01,15,True,Chelsea,3,1,3,22,19,5.0,0.3333333333333333,16,3.0,16,5.0,6.0,0.4,11.0,6.0,7.0,6.0,,,,,,,1.0539845758354756,0.8112324492979719,True,1.0389610389610389,0.7284768211920529,False,0.06972676604996897,26,4.0,0.26666666666666666,24,3.0,13,4.0,,,,,,,8.0,0.6666666666666666,10.0,6.0,8.0,6.0,1.0459014907495343
2012-12-10,16,True,Liverpool,2,3,0,22,22,7.0,0.4666666666666667,19,6.0,17,6.0,8.0,0.5333333333333333,14.0,7.0,9.0,6.0,,,,,,,1.0539845758354756,0.8112324492979719,True,0.9956709956709956,0.7947019867549668,False,0.2783060238810017,19,8.0,0.5333333333333333,19,6.0,18,3.0,,,,,,,6.0,0.5,10.0,11.0,9.0,7.0,-0.11927401023471475
2012-12-17,17,False,West Brom,0,0,1,23,22,4.0,0.26666666666666666,21,7.0,20,9.0,,,,,,,6.0,0.5,5.0,10.0,5.0,7.0,1.2480499219968797,0.5655526992287918,True,0.6953642384105961,0.9523809523809524,False,0.07186239102362099,26,6.0,0.4,24,7.0,21,9.0,9.0,0.6,14.0,6.0,8.0,6.0,,,,,,,0.5944979621045002
2012-12-22,18,True,Everton,1,2,0,23,23,4.0,0.26666666666666666,21,6.0,20,8.0,8.0,0.5333333333333333,16.0,10.0,10.0,6.0,,,,,,,1.0539845758354756,0.8112324492979719,True,0.9523809523809524,0.8278145695364238,False,0.018047212472392743,27,7.0,0.4666666666666667,28,6.0,21,5.0,,,,,,,4.0,0.3333333333333333,14.0,12.0,6.0,7.0,0.4993062117362038
2012-12-29,19,False,Reading,0,1,0,23,23,4.0,0.26666666666666666,22,6.0,22,7.0,,,,,,,4.0,0.3333333333333333,5.0,10.0,3.0,6.0,1.2480499219968797,0.5655526992287918,True,0.9254498714652956,0.5616224648985959,True,-0.14571878314550682,10,1.0,0.06666666666666668,21,2.0,37,10.0,5.0,0.3333333333333333,14.0,19.0,7.0,10.0,,,,,,,-1.6228790351144102
2013-01-01,20,True,Norwich,2,1,3,26,23,4.0,0.26666666666666666,22,6.0,23,7.0,5.0,0.3333333333333333,17.0,12.0,7.0,7.0,,,,,,,1.0539845758354756,0.8112324492979719,True,1.0389610389610389,1.1920529801324502,False,-0.27909384680311505,25,6.0,0.4,23,10.0,32,11.0,,,,,,,6.0,0.5,10.0,19.0,7.0,7.0,-0.20603549052340345
2013-01-12,21,False,Sunderland,0,3,0,26,26,4.0,0.26666666666666666,24,5.0,24,7.0,,,,,,,4.0,0.3333333333333333,5.0,11.0,2.0,5.0,1.2480499219968797,0.5655526992287918,True,0.8609271523178808,0.7359307359307359,False,-0.10553037319491397,22,6.0,0.4,21,4.0,29,8.0,7.0,0.4666666666666667,11.0,12.0,6.0,5.0,,,,,,,-0.6190106819301873
2013-01-19,22,True,QPR,1,1,1,27,26,4.0,0.26666666666666666,24,3.0,27,7.0,7.0,0.4666666666666667,19.0,13.0,9.0,8.0,,,,,,,1.0539845758354756,0.8112324492979719,True,0.8225108225108225,1.3576158940397351,False,-0.2380810315116105,14,4.0,0.26666666666666666,17,2.0,36,6.0,,,,,,,5.0,0.4166666666666667,9.0,17.0,4.0,6.0,-1.4608583848735437
2013-01-24,23,False,Arsenal,1,5,0,27,27,4.0,0.26666666666666666,25,4.0,28,8.0,,,,,,,1.0,0.08333333333333333,5.0,14.0,1.0,8.0,1.2480499219968797,0.5655526992287918,True,1.2913907284768211,0.7359307359307359,False,-0.2473657967996734,34,7.0,0.4666666666666667,41,10.0,26,8.0,9.0,0.6,25.0,15.0,14.0,9.0,,,,,,,0.4060532890862567
2013-01-31,24,False,Fulham,1,3,0,27,27,4.0,0.26666666666666666,26,4.0,33,11.0,,,,,,,1.0,0.08333333333333333,6.0,19.0,1.0,10.0,1.2480499219968797,0.5655526992287918,True,1.1920529801324502,1.1255411255411256,False,-0.3644012893886792,25,5.0,0.3333333333333333,33,5.0,40,7.0,5.0,0.3333333333333333,18.0,15.0,5.0,8.0,,,,,,,-0.5443525434077799
2013-02-02,25,True,Swansea,1,0,3,30,27,4.0,0.26666666666666666,27,5.0,36,13.0,7.0,0.4666666666666667,20.0,14.0,9.0,8.0,,,,,,,1.0539845758354756,0.8112324492979719,True,0.7359307359307359,1.0927152317880795,False,-0.4604787643070753,34,9.0,0.6,34,7.0,27,4.0,,,,,,,6.0,0.5,12.0,9.0,2.0,2.0,0.15349292143569174
2013-02-10,26,False,Aston Villa,1,2,0,30,30,4.0,0.26666666666666666,28,4.0,36,12.0,,,,,,,1.0,0.08333333333333333,7.0,22.0,2.0,12.0,1.2480499219968797,0.5655526992287918,True,0.662251655629139,1.0822510822510822,False,-0.3064957771800712,21,3.0,0.2,23,8.0,49,10.0,1.0,0.06666666666666668,9.0,18.0,1.0,10.0,,,,,,,-1.0835273249605342
2013-02-26,27,True,Spurs,2,3,0,30,30,4.0,0.26666666666666666,29,5.0,38,11.0,7.0,0.4666666666666667,21.0,14.0,7.0,7.0,,,,,,,1.0539845758354756,0.8112324492979719,True,1.1688311688311688,0.7947019867549668,False,-0.4135049226965895,48,9.0,0.6,44,5.0,30,3.0,,,,,,,11.0,0.9166666666666666,24.0,17.0,8.0,2.0,1.0751127990111329
2013-03-02,28,False,Stoke,1,0,3,33,30,3.0,0.2,31,6.0,41,13.0,,,,,,,0.0,0.0,8.0,24.0,3.0,14.0,1.2480499219968797,0.5655526992287918,True,0.8278145695364238,0.8658008658008658,False,-0.512439310017068,33,4.0,0.26666666666666666,26,5.0,32,8.0,8.0,0.5333333333333333,18.0,14.0,10.0,11.0,,,,,,,-0.2759288592399597
