Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2012-08-19,1,True,Chelsea,0,2,0,0,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.7284768211920529,1.1688311688311688,False,1.0389610389610389,0.7284768211920529,False,,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2012-08-25,2,False,Southampton,2,0,3,3,0,0.0,0.0,0,0.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.8658008658008658,1.1589403973509933,False,1.2596401028277635,0.5616224648985959,True,-1.0059604971066856,0,0.0,0.0,2,2.0,3,3.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,-1.0059604971066856
2012-09-01,3,True,Stoke,2,2,1,4,3,3.0,0.5,2,2.0,2,2.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,,0.7284768211920529,1.1688311688311688,False,0.4761904761904762,1.0927152317880795,False,0.2133283432550118,2,2.0,0.3333333333333333,1,1.0,1,1.0,,,,,,,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,-0.3199925148825178
2012-09-15,4,False,Man Utd,0,4,0,4,4,4.0,0.4444444444444444,4,4.0,4,4.0,,,,,,,3.0,1.0,2.0,0.0,2.0,0.0,0.8658008658008658,1.1589403973509933,False,1.7218543046357615,0.8225108225108225,False,0.03855772251535621,6,6.0,0.6666666666666666,6,6.0,5,5.0,3.0,1.0,3.0,2.0,3.0,2.0,,,,,,,0.8097121728224799
2012-09-22,5,True,Fulham,1,2,0,4,4,4.0,0.3333333333333333,4,4.0,8,8.0,1.0,0.16666666666666666,2.0,4.0,2.0,4.0,,,,,,,0.7284768211920529,1.1688311688311688,False,0.5194805194805194,0.8278145695364238,False,-0.4198469765163655,6,6.0,0.5,10,10.0,6,6.0,,,,,,,0.0,0.0,2.0,6.0,2.0,6.0,0.3103216782947047
2012-09-29,6,False,Sunderland,0,1,0,4,4,4.0,0.26666666666666666,5,5.0,10,10.0,,,,,,,3.0,0.5,2.0,4.0,2.0,4.0,0.8658008658008658,1.1589403973509933,False,0.8609271523178808,0.7359307359307359,False,-0.7825178704072077,4,4.0,0.3333333333333333,4,4.0,4,4.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,-0.4198469765163655
2012-10-06,7,True,Everton,2,2,1,5,4,4.0,0.26666666666666666,5,5.0,11,9.0,1.0,0.1111111111111111,3.0,6.0,3.0,6.0,,,,,,,0.7284768211920529,1.1688311688311688,False,0.9523809523809524,0.8278145695364238,False,-0.9958057214917369,13,10.0,0.6666666666666666,12,11.0,6,6.0,,,,,,,6.0,0.6666666666666666,6.0,3.0,6.0,3.0,1.2731187072236128
2012-10-20,8,False,Swansea,1,2,0,5,5,2.0,0.13333333333333333,7,5.0,13,11.0,,,,,,,3.0,0.3333333333333333,2.0,5.0,2.0,5.0,0.8658008658008658,1.1589403973509933,False,0.8940397350993377,0.7792207792207791,False,-0.8735346659828146,8,2.0,0.13333333333333333,12,4.0,11,11.0,5.0,0.4166666666666667,7.0,7.0,7.0,7.0,,,,,,,-0.2569219605831808
2012-10-27,9,True,West Ham,2,1,3,8,5,1.0,0.06666666666666668,8,4.0,15,11.0,2.0,0.16666666666666666,5.0,8.0,5.0,8.0,,,,,,,0.7284768211920529,1.1688311688311688,False,1.2480499219968797,0.5655526992287918,True,-1.0670183777094024,14,8.0,0.5333333333333333,12,8.0,9,6.0,,,,,,,4.0,0.4444444444444444,2.0,4.0,2.0,4.0,0.6177474818317595
2012-11-03,10,False,Spurs,1,0,3,11,8,4.0,0.26666666666666666,10,6.0,16,8.0,,,,,,,3.0,0.25,3.0,7.0,3.0,7.0,0.8658008658008658,1.1589403973509933,False,1.2913907284768211,0.7359307359307359,False,-0.692063767189156,17,12.0,0.8,17,11.0,13,8.0,8.0,0.5333333333333333,8.0,7.0,8.0,7.0,,,,,,,0.8847903859000604
