Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2013-08-17,1,False,Arsenal,3,1,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0191082802547768,1.3851351351351353,False,1.5878378378378382,0.9766454352441614,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2013-08-22,2,False,Chelsea,1,2,0,3,3,3.0,1.0,3,3.0,1,1.0,,,,,,,3.0,1.0,3.0,1.0,3.0,1.0,1.0191082802547768,1.3851351351351353,False,1.3851351351351353,0.6794055201698513,False,1.0557997275587188,3,3.0,1.0,2,2.0,0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,,,,,,,1.0557997275587188
2013-08-25,3,True,Liverpool,0,1,0,3,3,3.0,0.5,4,4.0,3,3.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.7770270270270271,1.18895966029724,False,1.6135881104033971,0.9121621621621622,False,0.08138042174965555,3,3.0,1.0,1,1.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0557997275587188
2013-09-14,4,True,Newcastle,1,2,0,3,3,3.0,0.3333333333333333,4,4.0,4,4.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,0.7770270270270271,1.18895966029724,False,0.8917197452229301,1.25,False,-0.6113677222451958,4,4.0,0.4444444444444444,1,1.0,4,4.0,,,,,,,0.0,0.0,0.0,4.0,0.0,4.0,-0.10189462037419936
2013-09-21,5,False,Norwich,1,0,3,6,3,3.0,0.25,5,5.0,6,6.0,,,,,,,3.0,0.5,4.0,3.0,4.0,3.0,1.0191082802547768,1.3851351351351353,False,0.8445945945945946,0.8492569002123141,False,-1.0138629005307154,4,4.0,0.3333333333333333,3,3.0,5,5.0,4.0,0.6666666666666666,3.0,2.0,3.0,2.0,,,,,,,-0.6000413084773623
2013-09-28,6,True,Man City,3,2,3,9,6,6.0,0.4,6,6.0,6,6.0,0.0,0.0,1.0,3.0,1.0,3.0,,,,,,,0.7770270270270271,1.18895966029724,False,1.061571125265393,0.6418918918918919,False,-0.32242168687124395,10,10.0,0.6666666666666666,12,12.0,4,4.0,,,,,,,1.0,0.16666666666666666,2.0,3.0,2.0,3.0,1.035143310481362
2013-10-05,7,False,Hull,0,0,1,10,9,6.0,0.4,9,6.0,8,7.0,,,,,,,6.0,0.6666666666666666,5.0,3.0,5.0,3.0,1.0191082802547768,1.3851351351351353,False,0.8413461538461537,0.6646525679758308,True,0.16784318404877493,10,10.0,0.6666666666666666,6,6.0,7,5.0,7.0,0.7777777777777778,3.0,1.0,3.0,1.0,,,,,,,0.4475818241300667
2013-10-20,8,True,Spurs,0,2,0,10,10,7.0,0.4666666666666667,9,5.0,8,5.0,3.0,0.3333333333333333,4.0,5.0,4.0,5.0,,,,,,,0.7770270270270271,1.18895966029724,False,1.5711252653927814,0.9459459459459459,False,0.05023186609957799,13,7.0,0.4666666666666667,6,4.0,5,5.0,,,,,,,6.0,0.6666666666666666,2.0,1.0,2.0,1.0,0.8037098575932504
2013-10-26,9,True,Everton,0,2,0,10,10,7.0,0.4666666666666667,9,5.0,10,6.0,3.0,0.25,4.0,7.0,4.0,7.0,,,,,,,0.7770270270270271,1.18895966029724,False,0.9341825902335456,0.7770270270270271,False,-0.2421440997042556,15,12.0,0.8,12,10.0,10,8.0,,,,,,,5.0,0.4166666666666667,6.0,7.0,6.0,7.0,0.8106563337925075
2013-11-02,10,False,West Ham,0,0,1,11,10,7.0,0.4666666666666667,9,4.0,12,6.0,,,,,,,7.0,0.5833333333333334,5.0,3.0,5.0,3.0,1.0191082802547768,1.3851351351351353,False,1.1486486486486491,0.9341825902335456,False,-0.4643640807344968,9,4.0,0.26666666666666666,8,6.0,8,7.0,3.0,0.25,5.0,7.0,5.0,7.0,,,,,,,-0.6464676418068483
