Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2013-08-17,1,False,West Ham,0,2,0,0,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0574018126888216,0.7211538461538461,True,1.1486486486486491,0.9341825902335456,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2013-08-25,2,True,Man City,3,2,3,3,0,0.0,0.0,0,0.0,2,2.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.8894230769230769,0.4531722054380665,True,1.061571125265393,0.6418918918918919,False,-0.9876836161033176,3,3.0,1.0,4,4.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0557997275587188
2013-08-31,3,True,Everton,0,0,1,4,3,3.0,0.5,3,3.0,4,4.0,3.0,1.0,3.0,2.0,3.0,2.0,,,,,,,0.8894230769230769,0.4531722054380665,True,0.9341825902335456,0.7770270270270271,False,0.08138042174965555,2,2.0,0.3333333333333333,2,2.0,2,2.0,,,,,,,1.0,0.3333333333333333,2.0,2.0,2.0,2.0,-0.4611557232480485
2013-09-14,4,False,Hull,1,1,1,5,4,4.0,0.4444444444444444,3,3.0,4,4.0,,,,,,,0.0,0.0,0.0,2.0,0.0,2.0,1.0574018126888216,0.7211538461538461,True,0.8413461538461537,0.6646525679758308,True,-0.10189462037419936,3,3.0,0.3333333333333333,1,1.0,4,4.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,,-0.6113677222451958
2013-09-22,5,True,Spurs,0,1,0,5,5,5.0,0.4166666666666667,4,4.0,5,5.0,4.0,0.6666666666666666,3.0,2.0,3.0,2.0,,,,,,,0.8894230769230769,0.4531722054380665,True,1.5711252653927814,0.9459459459459459,False,-0.18621971642400897,9,9.0,0.75,4,4.0,1,1.0,,,,,,,3.0,0.5,1.0,1.0,1.0,1.0,1.4690666517894038
2013-09-28,6,False,Fulham,2,1,3,8,5,5.0,0.3333333333333333,4,4.0,6,6.0,,,,,,,1.0,0.16666666666666666,1.0,3.0,1.0,3.0,1.0574018126888216,0.7211538461538461,True,0.9459459459459459,1.2738853503184715,False,-0.6618129362093954,4,4.0,0.26666666666666666,3,3.0,7,7.0,1.0,0.16666666666666666,2.0,4.0,2.0,4.0,,,,,,,-1.0012041855475469
2013-10-05,7,True,Newcastle,1,2,0,8,8,8.0,0.5333333333333333,6,6.0,7,5.0,4.0,0.4444444444444444,3.0,3.0,3.0,3.0,,,,,,,0.8894230769230769,0.4531722054380665,True,0.8917197452229301,1.25,False,-0.1118954560325168,7,7.0,0.4666666666666667,7,7.0,11,7.0,,,,,,,3.0,0.3333333333333333,4.0,8.0,4.0,8.0,-0.3916340961138085
2013-10-19,8,False,Chelsea,1,4,0,8,8,5.0,0.3333333333333333,7,4.0,9,5.0,,,,,,,4.0,0.4444444444444444,3.0,4.0,3.0,4.0,1.0574018126888216,0.7211538461538461,True,1.3851351351351353,0.6794055201698513,False,-0.4520867948962036,14,8.0,0.5333333333333333,10,6.0,4,3.0,9.0,1.0,6.0,1.0,6.0,1.0,,,,,,,1.0548691880911412
2013-10-26,9,False,Norwich,0,0,1,9,8,4.0,0.26666666666666666,8,5.0,13,9.0,,,,,,,4.0,0.3333333333333333,4.0,8.0,4.0,8.0,1.0574018126888216,0.7211538461538461,True,0.8445945945945946,0.8492569002123141,False,-0.6632642731029608,7,3.0,0.2,6,3.0,13,10.0,4.0,0.3333333333333333,4.0,6.0,4.0,6.0,,,,,,,-0.8738243598023134
2013-11-04,10,True,Swansea,1,0,3,12,9,4.0,0.26666666666666666,8,4.0,13,8.0,4.0,0.3333333333333333,4.0,5.0,4.0,5.0,,,,,,,0.8894230769230769,0.4531722054380665,True,0.8067940552016986,0.8445945945945946,False,-0.6464676418068483,11,7.0,0.4666666666666667,12,7.0,11,4.0,,,,,,,6.0,0.5,4.0,3.0,4.0,3.0,-0.2822605196621452
2013-11-09,11,False,Aston Villa,0,2,0,12,12,7.0,0.4666666666666667,9,5.0,13,7.0,,,,,,,5.0,0.4166666666666667,4.0,8.0,4.0,8.0,1.0574018126888216,0.7211538461538461,True,0.7770270270270271,1.18895966029724,False,-0.3248931448269656,11,5.0,0.3333333333333333,9,3.0,12,6.0,3.0,0.2,4.0,9.0,4.0,9.0,,,,,,,-0.4958895368411579
2013-11-25,12,True,Man Utd,2,2,1,13,12,4.0,0.26666666666666666,9,3.0,15,8.0,7.0,0.4666666666666667,5.0,5.0,5.0,5.0,,,,,,,0.8894230769230769,0.4531722054380665,True,1.7409766454352442,0.8108108108108107,False,-0.5600863831102535,20,13.0,0.8666666666666667,18,10.0,13,5.0,,,,,,,9.0,0.75,10.0,8.0,10.0,8.0,0.8185877906996012
2013-11-30,13,True,Arsenal,0,3,0,13,13,5.0,0.3333333333333333,11,4.0,17,8.0,5.0,0.3333333333333333,7.0,7.0,4.0,5.0,,,,,,,0.8894230769230769,0.4531722054380665,True,1.061571125265393,0.47297297297297297,False,-0.5919205595148082,28,12.0,0.8,24,10.0,10,2.0,,,,,,,10.0,0.8333333333333334,11.0,5.0,8.0,4.0,1.8744151051302247
2013-12-05,14,False,Stoke,0,0,1,14,13,5.0,0.3333333333333333,11,3.0,20,7.0,,,,,,,5.0,0.4166666666666667,4.0,10.0,4.0,8.0,1.0574018126888216,0.7211538461538461,True,0.7094594594594595,0.9341825902335456,False,-0.753778361444409,13,5.0,0.3333333333333333,12,8.0,18,11.0,6.0,0.4,5.0,3.0,3.0,2.0,,,,,,,-0.753778361444409
2013-12-07,15,False,Crystal Palace,0,2,0,14,14,5.0,0.3333333333333333,11,3.0,20,7.0,,,,,,,5.0,0.4166666666666667,4.0,10.0,3.0,7.0,1.0574018126888216,0.7211538461538461,True,1.25,0.9365558912386708,True,-0.7420308523526579,10,7.0,0.4666666666666667,8,2.0,22,3.0,4.0,0.26666666666666666,5.0,10.0,2.0,8.0,,,,,,,-1.2866406522445168
2013-12-14,16,True,West Brom,1,0,3,17,14,2.0,0.13333333333333333,11,2.0,22,9.0,4.0,0.26666666666666666,7.0,10.0,4.0,8.0,,,,,,,0.8894230769230769,0.4531722054380665,True,0.8917197452229301,1.0810810810810811,False,-0.9230266939448056,15,2.0,0.13333333333333333,17,7.0,21,11.0,,,,,,,5.0,0.4166666666666667,7.0,10.0,6.0,9.0,-0.7872874742470403
