Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2013-08-17,1,False,Liverpool,0,1,0,0,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.5520169851380042,0.7770270270270271,False,1.114864864864865,0.6794055201698513,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2013-08-24,2,True,Crystal Palace,2,1,3,3,0,0.0,0.0,0,0.0,1,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.7094594594594595,0.9341825902335456,False,0.6344410876132931,0.7451923076923076,True,-0.9876836161033176,0,0.0,0.0,0,0.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-0.9876836161033176
2013-08-31,3,False,West Ham,1,0,3,6,3,3.0,0.5,2,2.0,2,2.0,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.5520169851380042,0.7770270270270271,False,1.1486486486486491,0.9341825902335456,False,0.08138042174965555,4,4.0,0.6666666666666666,2,2.0,0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,,,,,,,0.6239165667473596
2013-09-14,4,True,Man City,0,0,1,7,6,6.0,0.6666666666666666,3,3.0,2,2.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,0.7094594594594595,0.9341825902335456,False,1.061571125265393,0.6418918918918919,False,0.9170515833677934,6,6.0,0.6666666666666666,8,8.0,3,3.0,,,,,,,0.0,0.0,2.0,3.0,2.0,3.0,0.9170515833677934
2013-09-22,5,False,Arsenal,1,3,0,7,7,7.0,0.5833333333333334,3,3.0,2,2.0,,,,,,,3.0,0.5,1.0,1.0,1.0,1.0,0.5520169851380042,0.7770270270270271,False,1.5878378378378382,0.9766454352441614,False,0.6414234676826974,9,9.0,0.75,8,8.0,5,5.0,3.0,0.5,2.0,3.0,2.0,3.0,,,,,,,1.4690666517894038
2013-09-29,6,True,Norwich,0,1,0,7,7,7.0,0.4666666666666667,4,4.0,5,5.0,4.0,0.6666666666666666,2.0,1.0,2.0,1.0,,,,,,,0.7094594594594595,0.9341825902335456,False,0.6794055201698513,1.2837837837837838,False,0.016969562466907513,4,4.0,0.26666666666666666,3,3.0,6,6.0,,,,,,,0.0,0.0,0.0,3.0,0.0,3.0,-1.0012041855475469
2013-10-05,7,False,Fulham,0,1,0,7,7,7.0,0.4666666666666667,4,4.0,6,5.0,,,,,,,3.0,0.3333333333333333,2.0,4.0,2.0,4.0,0.5520169851380042,0.7770270270270271,False,0.9459459459459459,1.2738853503184715,False,-0.3916340961138085,4,1.0,0.06666666666666668,4,3.0,9,9.0,1.0,0.1111111111111111,3.0,6.0,3.0,6.0,,,,,,,-1.2308500163576837
2013-10-19,8,True,West Brom,0,0,1,8,7,4.0,0.26666666666666666,4,2.0,7,5.0,4.0,0.4444444444444444,2.0,2.0,2.0,2.0,,,,,,,0.7094594594594595,0.9341825902335456,False,0.8917197452229301,1.0810810810810811,False,-0.7032461253940945,9,8.0,0.5333333333333333,7,7.0,6,5.0,,,,,,,5.0,0.5555555555555556,3.0,2.0,3.0,2.0,-0.20092746439831285
2013-10-26,9,False,Man Utd,2,3,0,8,8,2.0,0.13333333333333333,4,1.0,7,5.0,,,,,,,3.0,0.25,2.0,5.0,2.0,5.0,0.5520169851380042,0.7770270270270271,False,1.5202702702702702,0.8067940552016986,False,-0.6632642731029608,11,7.0,0.4666666666666667,11,7.0,10,8.0,5.0,0.4166666666666667,4.0,3.0,4.0,3.0,,,,,,,-0.03158401300490297
2013-11-02,10,True,Southampton,1,1,1,9,8,1.0,0.06666666666666668,6,3.0,10,8.0,5.0,0.4166666666666667,2.0,2.0,2.0,2.0,,,,,,,0.7094594594594595,0.9341825902335456,False,0.9766454352441614,1.2162162162162162,False,-0.8285712028791999,18,13.0,0.8666666666666667,10,8.0,3,1.0,,,,,,,7.0,0.5833333333333334,3.0,2.0,3.0,2.0,0.9924644078443162
