Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2014-08-16,1,True,Everton,2,2,1,1,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.1601513240857502,0.6864274570982839,True,1.0132158590308369,0.6688963210702341,False,,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2014-08-23,2,False,Chelsea,0,2,0,1,1,1.0,0.3333333333333333,2,2.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.154446177847114,0.5296343001261035,True,1.4381270903010033,0.4845814977973569,False,-0.2874172848876244,3,3.0,1.0,3,3.0,1,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.1496691395504979
2014-08-31,3,True,Arsenal,1,1,1,2,1,1.0,0.16666666666666666,2,2.0,4,4.0,1.0,0.3333333333333333,2.0,2.0,2.0,2.0,,,,,,,1.1601513240857502,0.6864274570982839,True,1.4096916299559472,1.0033444816053512,False,-0.7730849319178362,4,4.0,0.6666666666666666,4,4.0,3,3.0,,,,,,,1.0,0.3333333333333333,2.0,2.0,2.0,2.0,0.6325240352055025
2014-09-13,4,False,Stoke,1,0,3,5,2,2.0,0.2222222222222222,3,3.0,5,5.0,,,,,,,0.0,0.0,0.0,2.0,0.0,2.0,1.154446177847114,0.5296343001261035,True,0.903010033444816,0.748898678414097,False,-0.8094272134003795,4,4.0,0.4444444444444444,2,2.0,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,0.0
2014-09-21,5,True,Man Utd,5,3,3,8,5,5.0,0.4166666666666667,4,4.0,5,5.0,2.0,0.3333333333333333,3.0,3.0,3.0,3.0,,,,,,,1.1601513240857502,0.6864274570982839,True,1.5418502202643172,0.7357859531772576,False,-0.10741723110591488,5,5.0,0.4166666666666667,6,6.0,3,3.0,,,,,,,2.0,0.3333333333333333,1.0,1.0,1.0,1.0,-0.10741723110591488
2014-09-27,6,False,Crystal Palace,0,2,0,8,8,8.0,0.5333333333333333,9,9.0,8,8.0,,,,,,,3.0,0.5,1.0,2.0,1.0,2.0,1.154446177847114,0.5296343001261035,True,0.6020066889632106,1.0132158590308369,False,0.5295485688272494,5,5.0,0.3333333333333333,8,8.0,10,10.0,1.0,0.16666666666666666,1.0,3.0,1.0,3.0,,,,,,,-0.605198364373999
2014-10-04,7,True,Burnley,2,2,1,9,8,7.0,0.4666666666666667,9,7.0,10,8.0,5.0,0.5555555555555556,8.0,6.0,8.0,6.0,,,,,,,1.1601513240857502,0.6864274570982839,True,1.0920436817472698,0.5800756620428751,True,0.015609363168225891,3,3.0,0.2,1,0.0,8,5.0,,,,,,,1.0,0.1111111111111111,0.0,5.0,0.0,5.0,-1.5453269536543686
2014-10-18,8,False,Newcastle,0,1,0,9,9,8.0,0.5333333333333333,11,9.0,12,8.0,,,,,,,3.0,0.3333333333333333,1.0,4.0,1.0,4.0,1.154446177847114,0.5296343001261035,True,0.7692307692307693,1.2334801762114538,False,-0.09795896894087634,4,3.0,0.2,7,7.0,14,12.0,2.0,0.2222222222222222,5.0,7.0,5.0,7.0,,,,,,,-1.4973728109533968
2014-10-26,9,False,Swansea,0,2,0,9,9,7.0,0.4666666666666667,11,8.0,13,8.0,,,,,,,3.0,0.25,1.0,5.0,1.0,5.0,1.154446177847114,0.5296343001261035,True,1.1036789297658862,1.145374449339207,False,-0.4163004098884228,11,2.0,0.13333333333333333,11,5.0,10,9.0,7.0,0.5833333333333334,6.0,3.0,6.0,3.0,,,,,,,0.059471487126917535
2014-11-01,10,True,West Brom,0,1,0,9,9,4.0,0.26666666666666666,11,7.0,15,10.0,6.0,0.5,10.0,8.0,10.0,8.0,,,,,,,1.1601513240857502,0.6864274570982839,True,0.8370044052863437,1.0702341137123743,False,-0.7104020615112593,10,8.0,0.5333333333333333,12,10.0,13,6.0,,,,,,,4.0,0.3333333333333333,2.0,5.0,2.0,5.0,-0.4812401061850466
