Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2014-08-16,1,True,Hull,0,1,0,0,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.9583858764186632,0.5616224648985959,True,0.7929515418502202,1.0702341137123743,False,,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2014-08-24,2,False,Spurs,0,4,0,0,0,0.0,0.0,0,0.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.6864274570982839,0.6557377049180327,True,1.0033444816053512,1.0132158590308369,False,-1.0059604971066856,3,3.0,1.0,1,1.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.1496691395504979
2014-08-30,3,True,Sunderland,1,0,3,3,0,0.0,0.0,0,0.0,5,5.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,0.9583858764186632,0.5616224648985959,True,0.8810572687224669,1.1036789297658862,False,-1.2416212542922824,2,2.0,0.3333333333333333,3,3.0,3,3.0,,,,,,,1.0,0.3333333333333333,2.0,2.0,2.0,2.0,-0.30454860954339
2014-09-14,4,False,Man Utd,0,4,0,3,3,3.0,0.3333333333333333,1,1.0,5,5.0,,,,,,,0.0,0.0,0.0,4.0,0.0,4.0,0.6864274570982839,0.6557377049180327,True,0.9698996655518396,0.9251101321585904,False,-0.40471360670018974,2,2.0,0.2222222222222222,2,2.0,3,3.0,0.0,0.0,1.0,2.0,1.0,2.0,,,,,,,-0.8094272134003795
2014-09-20,5,True,Stoke,2,2,1,4,3,3.0,0.25,1,1.0,9,9.0,3.0,0.5,1.0,1.0,1.0,1.0,,,,,,,0.9583858764186632,0.5616224648985959,True,0.7929515418502202,1.1705685618729096,False,-0.8235321051453478,4,4.0,0.3333333333333333,2,2.0,3,3.0,,,,,,,4.0,0.6666666666666666,2.0,1.0,2.0,1.0,-0.4654746681256313
2014-09-27,6,False,Southampton,1,2,0,4,4,4.0,0.26666666666666666,3,3.0,11,11.0,,,,,,,0.0,0.0,0.0,8.0,0.0,8.0,0.6864274570982839,0.6557377049180327,True,1.0702341137123743,1.0132158590308369,False,-0.9834473421077484,10,10.0,0.6666666666666666,9,9.0,3,3.0,4.0,0.6666666666666666,4.0,0.0,4.0,0.0,,,,,,,1.2860465242947483
2014-10-05,7,False,West Ham,0,2,0,4,4,4.0,0.26666666666666666,4,4.0,13,12.0,,,,,,,0.0,0.0,1.0,10.0,1.0,10.0,0.6864274570982839,0.6557377049180327,True,0.8361204013377928,1.145374449339207,False,-1.2331396902898497,7,7.0,0.4666666666666667,10,10.0,10,9.0,3.0,0.3333333333333333,4.0,5.0,4.0,5.0,,,,,,,-0.29657790019629304
2014-10-19,8,True,Liverpool,2,3,0,4,4,4.0,0.26666666666666666,4,4.0,15,10.0,4.0,0.4444444444444444,3.0,3.0,3.0,3.0,,,,,,,0.9583858764186632,0.5616224648985959,True,2.1145374449339207,1.0702341137123743,False,-1.4973728109533968,10,7.0,0.4666666666666667,10,7.0,10,6.0,,,,,,,3.0,0.3333333333333333,5.0,6.0,5.0,6.0,0.1819237994616278
2014-10-28,9,True,Aston Villa,2,0,3,7,4,1.0,0.06666666666666668,6,5.0,18,13.0,4.0,0.3333333333333333,5.0,6.0,5.0,6.0,,,,,,,0.9583858764186632,0.5616224648985959,True,0.748898678414097,1.0702341137123743,False,-1.6057301524267735,10,3.0,0.2,4,1.0,12,11.0,,,,,,,6.0,0.5,2.0,6.0,2.0,6.0,-0.1784144613807526
2014-11-01,10,False,Chelsea,1,2,0,7,7,4.0,0.26666666666666666,8,7.0,18,9.0,,,,,,,0.0,0.0,1.0,12.0,1.0,12.0,0.6864274570982839,0.6557377049180327,True,1.4381270903010033,0.4845814977973569,False,-1.168725972163685,23,11.0,0.7333333333333333,24,9.0,9,3.0,12.0,1.0,11.0,2.0,11.0,2.0,,,,,,,2.4978653130557187
2014-11-09,11,True,Man City,2,2,1,8,7,3.0,0.2,9,6.0,20,9.0,7.0,0.4666666666666667,7.0,6.0,7.0,6.0,,,,,,,0.9583858764186632,0.5616224648985959,True,1.7180616740088108,0.8026755852842808,False,-1.2683522518881492,20,12.0,0.8,20,12.0,10,5.0,,,,,,,10.0,0.8333333333333334,11.0,6.0,11.0,6.0,1.2683522518881492
2014-11-22,12,False,Newcastle,0,1,0,8,8,4.0,0.26666666666666666,11,7.0,22,9.0,,,,,,,0.0,0.0,2.0,14.0,2.0,14.0,0.6864274570982839,0.6557377049180327,True,0.7692307692307693,1.2334801762114538,False,-1.2307665657257958,16,13.0,0.8666666666666667,13,8.0,15,3.0,8.0,0.5333333333333333,7.0,7.0,7.0,7.0,,,,,,,0.2066250438809731
2014-11-29,13,True,Leicester,3,2,3,11,8,4.0,0.26666666666666666,11,7.0,23,8.0,8.0,0.5333333333333333,9.0,8.0,9.0,7.0,,,,,,,0.9583858764186632,0.5616224648985959,True,1.154446177847114,0.5296343001261035,True,-1.3958169954352049,10,1.0,0.06666666666666668,11,0.0,18,6.0,,,,,,,3.0,0.25,1.0,9.0,1.0,7.0,-1.0574371177539432
2014-12-03,14,False,Swansea,0,2,0,11,11,7.0,0.4666666666666667,14,8.0,25,7.0,,,,,,,0.0,0.0,2.0,15.0,2.0,11.0,0.6864274570982839,0.6557377049180327,True,1.1036789297658862,1.145374449339207,False,-1.076040119659038,19,8.0,0.5333333333333333,17,6.0,14,4.0,8.0,0.5333333333333333,11.0,5.0,7.0,5.0,,,,,,,0.22825093447312905
2014-12-06,15,True,Burnley,2,0,3,14,11,4.0,0.26666666666666666,14,6.0,27,9.0,8.0,0.5333333333333333,12.0,10.0,11.0,9.0,,,,,,,0.9583858764186632,0.5616224648985959,True,1.0920436817472698,0.5800756620428751,True,-1.1534364980021279,12,8.0,0.5333333333333333,10,5.0,22,6.0,,,,,,,5.0,0.4166666666666667,4.0,11.0,4.0,10.0,-1.009256935751862
2014-12-16,16,False,Everton,1,3,0,14,14,7.0,0.4666666666666667,16,7.0,27,7.0,,,,,,,0.0,0.0,2.0,17.0,2.0,9.0,0.6864274570982839,0.6557377049180327,True,1.2709030100334449,0.8370044052863437,False,-0.8977657701451367,18,5.0,0.3333333333333333,24,5.0,23,6.0,8.0,0.5333333333333333,13.0,13.0,8.0,5.0,,,,,,,-0.3322440251718224
2014-12-20,17,True,West Brom,3,2,3,17,14,6.0,0.4,17,6.0,30,8.0,10.0,0.6666666666666666,14.0,10.0,11.0,7.0,,,,,,,0.9583858764186632,0.5616224648985959,True,0.8370044052863437,1.0702341137123743,False,-1.015897821363028,17,4.0,0.26666666666666666,15,2.0,20,5.0,,,,,,,7.0,0.5833333333333334,3.0,7.0,3.0,4.0,-0.6226470518031463
