Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2014-08-16,1,False,West Brom,2,2,1,1,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.8810572687224669,1.1036789297658862,False,0.8026755852842808,1.1894273127753303,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2014-08-24,2,True,Man Utd,1,1,1,2,1,1.0,0.3333333333333333,2,2.0,2,2.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.7023411371237459,1.1894273127753303,False,1.5418502202643172,0.7357859531772576,False,-0.2874172848876244,0,0.0,0.0,1,1.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-1.0059604971066856
2014-08-30,3,False,QPR,0,1,0,2,2,2.0,0.3333333333333333,3,3.0,3,3.0,,,,,,,1.0,0.3333333333333333,2.0,2.0,2.0,2.0,0.8810572687224669,1.1036789297658862,False,0.9583858764186632,0.5616224648985959,True,-0.30454860954339,0,0.0,0.0,0,0.0,5,5.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,-1.2416212542922824
2014-09-13,4,True,Spurs,2,2,1,3,2,2.0,0.2222222222222222,3,3.0,4,4.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,0.7023411371237459,1.1894273127753303,False,1.1013215859030838,0.9364548494983276,False,-0.8094272134003795,6,6.0,0.6666666666666666,5,5.0,3,3.0,,,,,,,3.0,1.0,1.0,0.0,1.0,0.0,0.8094272134003795
2014-09-20,5,False,Burnley,0,0,1,4,3,3.0,0.25,5,5.0,6,6.0,,,,,,,1.0,0.16666666666666666,2.0,3.0,2.0,3.0,0.8810572687224669,1.1036789297658862,False,0.9331651954602774,0.4368174726989079,True,-0.8235321051453478,2,2.0,0.16666666666666666,1,1.0,4,4.0,1.0,0.16666666666666666,1.0,3.0,1.0,3.0,,,,,,,-1.1815895421650642
2014-09-27,6,True,Swansea,0,0,1,5,4,4.0,0.26666666666666666,5,5.0,6,6.0,2.0,0.3333333333333333,3.0,3.0,3.0,3.0,,,,,,,0.7023411371237459,1.1894273127753303,False,0.9251101321585904,0.9364548494983276,False,-0.9834473421077484,9,9.0,0.6,8,8.0,6,6.0,,,,,,,3.0,0.5,4.0,5.0,4.0,5.0,0.9077975465609988
2014-10-04,7,True,Stoke,3,1,3,8,5,4.0,0.26666666666666666,5,3.0,6,4.0,3.0,0.3333333333333333,3.0,3.0,3.0,3.0,,,,,,,0.7023411371237459,1.1894273127753303,False,0.7929515418502202,1.1705685618729096,False,-0.9209524269253307,8,8.0,0.5333333333333333,5,5.0,5,4.0,,,,,,,5.0,0.5555555555555556,4.0,3.0,4.0,3.0,0.015609363168225891
2014-10-18,8,False,Southampton,0,8,0,8,8,6.0,0.4,8,5.0,7,4.0,,,,,,,2.0,0.2222222222222222,2.0,3.0,2.0,3.0,0.8810572687224669,1.1036789297658862,False,1.0702341137123743,1.0132158590308369,False,-0.3778417373433805,13,12.0,0.8,11,10.0,5,3.0,7.0,0.7777777777777778,6.0,1.0,6.0,1.0,,,,,,,1.0215721046691402
2014-10-25,9,True,Arsenal,0,2,0,8,8,6.0,0.4,8,5.0,15,11.0,6.0,0.5,6.0,4.0,6.0,4.0,,,,,,,0.7023411371237459,1.1894273127753303,False,1.4096916299559472,1.0033444816053512,False,-0.6541863583960928,11,6.0,0.4,13,8.0,11,7.0,,,,,,,5.0,0.4166666666666667,6.0,5.0,6.0,5.0,0.059471487126917535
2014-11-04,10,False,Crystal Palace,3,1,3,11,8,5.0,0.3333333333333333,8,3.0,17,11.0,,,,,,,2.0,0.16666666666666666,2.0,11.0,2.0,11.0,0.8810572687224669,1.1036789297658862,False,0.6020066889632106,1.0132158590308369,False,-0.939564016837472,9,7.0,0.4666666666666667,13,8.0,16,8.0,4.0,0.3333333333333333,4.0,5.0,4.0,5.0,,,,,,,-0.7104020615112593
