Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2014-08-16,1,False,Man Utd,2,1,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.9251101321585904,0.9364548494983276,False,0.9698996655518396,0.9251101321585904,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2014-08-23,2,True,Burnley,1,0,3,6,3,3.0,1.0,2,2.0,1,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.1036789297658862,1.145374449339207,False,1.0920436817472698,0.5800756620428751,True,1.1496691395504979,0,0.0,0.0,1,1.0,3,3.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-1.0059604971066856
2014-08-30,3,True,West Brom,3,0,3,9,6,6.0,1.0,3,3.0,1,1.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,,1.1036789297658862,1.145374449339207,False,0.8370044052863437,1.0702341137123743,False,1.569596679954395,2,2.0,0.3333333333333333,2,2.0,2,2.0,,,,,,,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.30454860954339
2014-09-13,4,False,Chelsea,2,4,0,9,9,9.0,1.0,6,6.0,1,1.0,,,,,,,3.0,1.0,2.0,1.0,2.0,1.0,0.9251101321585904,0.9364548494983276,False,1.4381270903010033,0.4845814977973569,False,2.0235680335009487,9,9.0,1.0,11,11.0,4,4.0,3.0,1.0,2.0,0.0,2.0,0.0,,,,,,,2.0235680335009487
2014-09-20,5,True,Southampton,0,1,0,9,9,9.0,0.75,8,8.0,5,5.0,6.0,1.0,4.0,0.0,4.0,0.0,,,,,,,1.1036789297658862,1.145374449339207,False,0.9691629955947136,0.7692307692307693,False,1.324812516972951,7,7.0,0.5833333333333334,8,8.0,3,3.0,,,,,,,3.0,0.5,4.0,3.0,4.0,3.0,0.6086976429335179
2014-09-27,6,False,Sunderland,0,0,1,10,9,9.0,0.6,8,8.0,6,6.0,,,,,,,3.0,0.5,4.0,5.0,4.0,5.0,0.9251101321585904,0.9364548494983276,False,0.7023411371237459,1.1894273127753303,False,0.9077975465609988,4,4.0,0.26666666666666666,5,5.0,6,6.0,2.0,0.3333333333333333,3.0,3.0,3.0,3.0,,,,,,,-0.9834473421077484
2014-10-04,7,True,Newcastle,2,2,1,11,10,7.0,0.4666666666666667,8,6.0,6,5.0,6.0,0.6666666666666666,4.0,1.0,4.0,1.0,,,,,,,1.1036789297658862,1.145374449339207,False,0.8810572687224669,1.0367892976588629,False,0.6399838898972636,3,3.0,0.2,5,5.0,12,10.0,,,,,,,1.0,0.1111111111111111,0.0,5.0,0.0,5.0,-1.5453269536543686
2014-10-19,8,False,Stoke,1,2,0,11,11,5.0,0.3333333333333333,10,7.0,8,7.0,,,,,,,4.0,0.4444444444444444,4.0,5.0,4.0,5.0,0.9251101321585904,0.9364548494983276,False,0.903010033444816,0.748898678414097,False,0.4618065678641319,8,7.0,0.4666666666666667,6,5.0,8,6.0,3.0,0.3333333333333333,1.0,2.0,1.0,2.0,,,,,,,-0.3778417373433805
2014-10-26,9,True,Leicester,2,0,3,14,11,2.0,0.13333333333333333,11,5.0,10,9.0,7.0,0.5833333333333334,6.0,3.0,6.0,3.0,,,,,,,1.1036789297658862,1.145374449339207,False,1.154446177847114,0.5296343001261035,True,0.059471487126917535,9,7.0,0.4666666666666667,11,8.0,13,8.0,,,,,,,3.0,0.25,1.0,5.0,1.0,5.0,-0.4163004098884228
2014-11-01,10,False,Everton,0,0,1,15,14,5.0,0.3333333333333333,13,5.0,10,5.0,,,,,,,4.0,0.3333333333333333,5.0,7.0,5.0,7.0,0.9251101321585904,0.9364548494983276,False,1.2709030100334449,0.8370044052863437,False,0.43540771511980425,12,7.0,0.4666666666666667,19,10.0,17,7.0,4.0,0.3333333333333333,10.0,11.0,10.0,11.0,,,,,,,-0.02291619553262119
2014-11-10,11,True,Arsenal,2,1,3,18,15,6.0,0.4,13,5.0,10,4.0,10.0,0.6666666666666666,8.0,3.0,8.0,3.0,,,,,,,1.1036789297658862,1.145374449339207,False,1.4096916299559472,1.0033444816053512,False,0.29269667351264983,17,8.0,0.5333333333333333,18,8.0,11,5.0,,,,,,,8.0,0.6666666666666666,8.0,5.0,8.0,5.0,0.6829589048628496
2014-11-22,12,False,Man City,1,2,0,18,18,8.0,0.5333333333333333,15,7.0,11,5.0,,,,,,,5.0,0.4166666666666667,5.0,7.0,5.0,7.0,0.9251101321585904,0.9364548494983276,False,2.1070234113712374,0.5726872246696035,False,0.5659729462826654,21,10.0,0.6666666666666666,22,10.0,12,5.0,10.0,0.6666666666666666,9.0,4.0,9.0,4.0,,,,,,,1.1049947998852037
2014-11-29,13,True,Crystal Palace,1,1,1,19,18,7.0,0.4666666666666667,16,6.0,13,5.0,10.0,0.6666666666666666,10.0,4.0,9.0,4.0,,,,,,,1.1036789297658862,1.145374449339207,False,0.6607929515418502,0.8361204013377928,False,0.2960823929711041,12,4.0,0.26666666666666666,17,7.0,21,9.0,,,,,,,5.0,0.4166666666666667,9.0,12.0,8.0,10.0,-0.7190572400726813
2014-12-03,14,True,QPR,2,0,3,22,19,8.0,0.5333333333333333,17,6.0,14,4.0,8.0,0.5333333333333333,11.0,5.0,7.0,5.0,,,,,,,1.1036789297658862,1.145374449339207,False,0.6864274570982839,0.6557377049180327,True,0.22825093447312905,11,7.0,0.4666666666666667,14,8.0,25,7.0,,,,,,,0.0,0.0,2.0,15.0,2.0,11.0,-1.076040119659038
2014-12-07,15,False,West Ham,1,3,0,22,22,8.0,0.5333333333333333,19,6.0,14,4.0,,,,,,,2.0,0.16666666666666666,6.0,9.0,4.0,8.0,0.9251101321585904,0.9364548494983276,False,0.8361204013377928,1.145374449339207,False,0.4325386867507981,24,8.0,0.5333333333333333,23,6.0,17,5.0,13.0,0.8666666666666667,9.0,6.0,8.0,2.0,,,,,,,0.7208978112513301
2014-12-15,16,True,Spurs,1,2,0,22,22,7.0,0.4666666666666667,20,7.0,17,7.0,11.0,0.7333333333333333,13.0,5.0,9.0,4.0,,,,,,,1.1036789297658862,1.145374449339207,False,1.1013215859030838,0.9364548494983276,False,0.233277719801492,21,7.0,0.4666666666666667,18,5.0,21,7.0,,,,,,,7.0,0.5833333333333334,9.0,12.0,6.0,10.0,0.0918972835581634
2014-12-20,17,False,Hull,1,0,3,25,22,4.0,0.26666666666666666,21,6.0,19,8.0,,,,,,,2.0,0.16666666666666666,7.0,12.0,3.0,7.0,0.9251101321585904,0.9364548494983276,False,0.6688963210702341,0.9251101321585904,False,0.03277089746332349,13,2.0,0.13333333333333333,15,2.0,23,8.0,4.0,0.26666666666666666,8.0,10.0,5.0,7.0,,,,,,,-1.146981411216322
