Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2015-08-08,1,False,Norwich,3,1,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.2530120481927711,0.8571428571428571,False,1.2269938650306749,0.7283763277693475,True,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2015-08-16,2,True,Arsenal,1,2,0,3,3,3.0,1.0,3,3.0,1,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.7500000000000001,1.3012048192771084,False,1.4457831325301205,0.7857142857142858,False,1.2606230629781616,0,0.0,0.0,0,0.0,2,2.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-1.031418869709405
2015-08-22,3,True,Aston Villa,2,1,3,6,3,3.0,0.5,4,4.0,3,3.0,0.0,0.0,1.0,2.0,1.0,2.0,,,,,,,0.7500000000000001,1.3012048192771084,False,0.6265060240963856,1.1428571428571428,False,0.1220257437250904,3,3.0,0.5,1,1.0,1,1.0,,,,,,,3.0,1.0,1.0,0.0,1.0,0.0,0.1220257437250904
2015-08-29,4,False,Chelsea,2,1,3,9,6,6.0,0.6666666666666666,6,6.0,4,4.0,,,,,,,3.0,1.0,3.0,1.0,3.0,1.0,1.2530120481927711,0.8571428571428571,False,1.2857142857142858,0.43373493975903615,False,0.9170292260168929,4,4.0,0.4444444444444444,5,5.0,7,7.0,1.0,0.3333333333333333,2.0,2.0,2.0,2.0,,,,,,,0.02236656648821682
2015-09-12,5,True,Man City,0,1,0,9,9,9.0,0.75,8,8.0,5,5.0,3.0,0.5,3.0,3.0,3.0,3.0,,,,,,,0.7500000000000001,1.3012048192771084,False,1.879518072289157,0.8571428571428571,False,1.3922020426542945,12,12.0,1.0,10,10.0,0,0.0,,,,,,,6.0,1.0,5.0,0.0,5.0,0.0,2.5210145096712897
2015-09-20,6,False,Spurs,0,1,0,9,9,9.0,0.6,8,8.0,6,6.0,,,,,,,6.0,1.0,5.0,2.0,5.0,2.0,1.2530120481927711,0.8571428571428571,False,1.1071428571428572,1.1566265060240963,False,0.6677039053460512,6,6.0,0.4,4,4.0,4,4.0,2.0,0.3333333333333333,2.0,2.0,2.0,2.0,,,,,,,-0.22256796844868373
2015-09-27,7,False,Watford,1,0,3,12,9,6.0,0.4,8,5.0,7,6.0,,,,,,,6.0,0.6666666666666666,5.0,3.0,5.0,3.0,1.2530120481927711,0.8571428571428571,False,1.1779141104294475,0.6676783004552352,True,0.256564790790545,9,8.0,0.5333333333333333,5,3.0,5,3.0,5.0,0.5555555555555556,1.0,0.0,1.0,0.0,,,,,,,0.256564790790545
2015-10-03,8,True,West Brom,2,0,3,15,12,9.0,0.6,9,5.0,7,4.0,3.0,0.3333333333333333,3.0,4.0,3.0,4.0,,,,,,,0.7500000000000001,1.3012048192771084,False,0.6746987951807228,0.892857142857143,False,0.6547521370800025,8,7.0,0.4666666666666667,6,6.0,9,6.0,,,,,,,7.0,0.7777777777777778,2.0,0.0,2.0,0.0,-0.3928512822480015
2015-10-17,9,True,West Ham,1,3,0,15,15,9.0,0.6,11,5.0,7,3.0,6.0,0.5,5.0,4.0,5.0,4.0,,,,,,,0.7500000000000001,1.3012048192771084,False,0.9156626506024096,1.0357142857142858,False,0.960623420924242,14,11.0,0.7333333333333333,17,11.0,11,5.0,,,,,,,10.0,0.8333333333333334,9.0,3.0,9.0,3.0,0.7319035587994225
2015-10-24,10,False,Leicester,0,1,0,15,15,6.0,0.4,12,4.0,10,5.0,,,,,,,9.0,0.75,6.0,3.0,6.0,3.0,1.2530120481927711,0.8571428571428571,False,1.0,1.0602409638554218,False,0.5745797107204808,16,8.0,0.5333333333333333,19,11.0,17,12.0,7.0,0.5833333333333334,10.0,10.0,10.0,10.0,,,,,,,0.7797867502635095
