Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2015-08-09,1,False,Stoke,1,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0602409638554218,1.0,False,1.1428571428571428,1.0602409638554218,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2015-08-18,2,True,Bournemouth,1,0,3,6,3,3.0,1.0,1,1.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.0714285714285714,0.9638554216867472,False,1.5174506828528074,0.4907975460122699,True,1.2606230629781616,0,0.0,0.0,0,0.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-1.031418869709405
2015-08-25,3,False,Arsenal,0,0,1,7,6,6.0,1.0,2,2.0,0,0.0,,,,,,,3.0,1.0,1.0,0.0,1.0,0.0,1.0602409638554218,1.0,False,1.4642857142857144,0.6746987951807228,False,1.5863346684261752,3,3.0,0.5,2,2.0,3,3.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,,0.1220257437250904
2015-08-29,4,True,West Ham,0,3,0,7,7,7.0,0.7777777777777778,2,2.0,0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,,1.0714285714285714,0.9638554216867472,False,0.9156626506024096,1.0357142857142858,False,1.3643605557812306,3,3.0,0.3333333333333333,6,6.0,6,6.0,,,,,,,3.0,1.0,2.0,0.0,2.0,0.0,-0.4249647632761212
2015-09-13,5,False,Man Utd,1,3,0,7,7,7.0,0.5833333333333334,2,2.0,3,3.0,,,,,,,4.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0602409638554218,1.0,False,1.4642857142857144,0.7228915662650602,False,0.6396603979762975,7,7.0,0.5833333333333334,3,3.0,2,2.0,4.0,0.6666666666666666,1.0,0.0,1.0,0.0,,,,,,,0.6396603979762975
2015-09-20,6,True,Norwich,1,1,1,8,7,7.0,0.4666666666666667,3,3.0,6,6.0,3.0,0.5,1.0,3.0,1.0,3.0,,,,,,,1.0714285714285714,0.9638554216867472,False,1.1532625189681336,0.5889570552147239,True,0.0741893228162279,7,7.0,0.4666666666666667,8,8.0,9,9.0,,,,,,,3.0,0.5,3.0,4.0,3.0,4.0,0.0741893228162279
2015-09-26,7,True,Aston Villa,3,2,3,11,8,5.0,0.3333333333333333,4,3.0,7,7.0,4.0,0.4444444444444444,2.0,4.0,2.0,4.0,,,,,,,1.0714285714285714,0.9638554216867472,False,0.6265060240963856,1.1428571428571428,False,-0.028507198976727113,4,1.0,0.06666666666666668,6,5.0,9,9.0,,,,,,,3.0,0.3333333333333333,4.0,5.0,4.0,5.0,-1.1687951580458156
2015-10-04,8,False,Everton,1,1,1,12,11,5.0,0.3333333333333333,7,5.0,9,9.0,,,,,,,4.0,0.4444444444444444,2.0,3.0,2.0,3.0,1.0602409638554218,1.0,False,0.9642857142857144,1.0120481927710845,False,0.3928512822480015,12,8.0,0.5333333333333333,11,6.0,7,5.0,4.0,0.4444444444444444,5.0,5.0,5.0,5.0,,,,,,,0.6547521370800025
2015-10-17,9,False,Spurs,0,0,1,13,12,5.0,0.3333333333333333,8,6.0,10,10.0,,,,,,,5.0,0.4166666666666667,3.0,4.0,3.0,4.0,1.0602409638554218,1.0,False,1.1071428571428572,1.1566265060240963,False,0.2744638345497833,13,11.0,0.7333333333333333,11,8.0,7,3.0,8.0,0.6666666666666666,7.0,3.0,7.0,3.0,,,,,,,0.5031836966746029
2015-10-26,10,True,Southampton,1,1,1,14,13,6.0,0.4,8,6.0,10,7.0,7.0,0.5833333333333334,5.0,6.0,5.0,6.0,,,,,,,1.0714285714285714,0.9638554216867472,False,0.8192771084337349,0.7142857142857143,False,0.1641656316344232,13,8.0,0.5333333333333333,15,10.0,12,7.0,,,,,,,6.0,0.5,5.0,3.0,5.0,3.0,0.1641656316344232
