Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2016-08-13,1,True,Leicester,2,1,3,3,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.2583668005354751,0.4067796610169491,True,1.4379084967320257,0.6349206349206349,False,,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2016-08-20,2,False,Swansea,2,0,3,6,3,3.0,1.0,2,2.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.7457627118644068,0.6157965194109772,True,0.7054673721340388,0.8714596949891067,False,1.2606230629781618,3,3.0,1.0,1,1.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.2606230629781618
2016-08-28,3,True,Man Utd,0,1,0,6,6,6.0,1.0,4,4.0,1,1.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,1.2583668005354751,0.4067796610169491,True,0.9586056644880174,0.9171075837742504,False,1.5111479329031197,6,6.0,1.0,5,5.0,1,1.0,,,,,,,3.0,1.0,3.0,1.0,3.0,1.0,1.5111479329031197
2016-09-10,4,False,Burnley,1,1,1,7,6,6.0,0.6666666666666666,4,4.0,2,2.0,,,,,,,3.0,1.0,2.0,0.0,2.0,0.0,0.7457627118644068,0.6157965194109772,True,1.0174029451137885,0.4745762711864407,True,0.6954922357075444,3,3.0,0.3333333333333333,2,2.0,4,4.0,3.0,0.5,2.0,1.0,2.0,1.0,,,,,,,-0.40265339962015706
2016-09-17,5,True,Arsenal,1,4,0,7,7,7.0,0.5833333333333334,5,5.0,3,3.0,3.0,0.5,2.0,2.0,2.0,2.0,,,,,,,1.2583668005354751,0.4067796610169491,True,1.4814814814814814,0.8818342151675486,False,0.4833286225510022,7,7.0,0.5833333333333334,8,8.0,6,6.0,,,,,,,4.0,0.6666666666666666,3.0,1.0,3.0,1.0,0.4833286225510022
2016-09-24,6,False,Liverpool,1,5,0,7,7,7.0,0.4666666666666667,6,6.0,7,7.0,,,,,,,4.0,0.6666666666666666,3.0,1.0,3.0,1.0,0.7457627118644068,0.6157965194109772,True,1.164021164021164,0.9586056644880174,False,0.0,10,10.0,0.6666666666666666,11,11.0,8,8.0,3.0,1.0,4.0,1.0,4.0,1.0,,,,,,,0.7958224257542215
2016-10-01,7,True,Chelsea,0,2,0,7,7,4.0,0.26666666666666666,7,5.0,12,11.0,3.0,0.3333333333333333,3.0,6.0,3.0,6.0,,,,,,,1.2583668005354751,0.4067796610169491,True,1.176470588235294,0.8112874779541446,False,-0.3281611122529504,10,7.0,0.4666666666666667,10,8.0,9,8.0,,,,,,,4.0,0.4444444444444444,4.0,6.0,4.0,6.0,0.35079291309798183
2016-10-15,8,False,Bournemouth,1,6,0,7,7,1.0,0.06666666666666668,7,3.0,14,13.0,,,,,,,4.0,0.4444444444444444,4.0,6.0,4.0,6.0,0.7457627118644068,0.6157965194109772,True,0.8112874779541446,1.4814814814814814,False,-0.5441907774520803,8,8.0,0.5333333333333333,6,5.0,11,7.0,6.0,0.6666666666666666,3.0,3.0,3.0,3.0,,,,,,,-0.3388357670928048
2016-10-22,9,True,Stoke,0,2,0,7,7,1.0,0.06666666666666668,8,4.0,20,18.0,3.0,0.25,3.0,8.0,3.0,8.0,,,,,,,1.2583668005354751,0.4067796610169491,True,0.8278867102396513,1.09347442680776,False,-0.7781887234103485,6,5.0,0.3333333333333333,7,5.0,16,10.0,,,,,,,2.0,0.16666666666666666,3.0,7.0,3.0,7.0,-0.9727359042629355
2016-10-29,10,False,Watford,0,1,0,7,7,0.0,0.0,8,3.0,22,19.0,,,,,,,4.0,0.3333333333333333,5.0,12.0,5.0,12.0,0.7457627118644068,0.6157965194109772,True,0.7054673721340388,0.8278867102396513,False,-1.0090301930868348,12,8.0,0.5333333333333333,13,6.0,13,5.0,4.0,0.3333333333333333,7.0,8.0,7.0,8.0,,,,,,,-0.057114916589820965
2016-11-06,11,True,Southampton,2,1,3,10,7,0.0,0.0,8,2.0,23,16.0,3.0,0.2,3.0,10.0,3.0,10.0,,,,,,,1.2583668005354751,0.4067796610169491,True,0.8714596949891067,0.6701940035273368,False,-1.0943358291898249,13,8.0,0.5333333333333333,11,7.0,10,4.0,,,,,,,5.0,0.4166666666666667,5.0,5.0,5.0,5.0,-0.1143335940944592
2016-11-19,12,False,Sunderland,0,3,0,10,10,3.0,0.2,10,3.0,24,12.0,,,,,,,4.0,0.3333333333333333,5.0,13.0,5.0,13.0,0.7457627118644068,0.6157965194109772,True,0.8112874779541446,0.8714596949891067,False,-0.808674460389862,5,4.0,0.26666666666666666,9,4.0,21,9.0,1.0,0.06666666666666668,5.0,13.0,5.0,13.0,,,,,,,-1.6093422429540818
2016-11-26,13,True,West Brom,1,1,1,11,10,3.0,0.2,10,3.0,27,13.0,3.0,0.2,5.0,11.0,3.0,10.0,,,,,,,1.2583668005354751,0.4067796610169491,True,0.6100217864923746,0.7760141093474426,False,-0.9519425876939672,16,7.0,0.4666666666666667,16,8.0,15,8.0,,,,,,,5.0,0.4166666666666667,6.0,6.0,5.0,6.0,-0.059496411730872764
2016-12-06,14,False,Middlesbrough,0,1,0,11,11,4.0,0.26666666666666666,11,3.0,28,8.0,,,,,,,1.0,0.08333333333333333,5.0,16.0,3.0,16.0,0.7457627118644068,0.6157965194109772,True,0.9103078982597056,0.2711864406779661,True,-0.9286836383422143,12,6.0,0.4,12,5.0,15,4.0,3.0,0.2,5.0,7.0,4.0,6.0,,,,,,,-0.7911008771063309
2016-12-10,15,True,Crystal Palace,3,3,1,12,11,4.0,0.26666666666666666,11,3.0,29,7.0,4.0,0.26666666666666666,6.0,12.0,4.0,10.0,,,,,,,1.2583668005354751,0.4067796610169491,True,0.8714596949891067,0.9876543209876542,False,-1.0951536979942893,14,3.0,0.2,24,12.0,26,14.0,,,,,,,4.0,0.3333333333333333,13.0,16.0,11.0,14.0,-0.6944877109232078
2016-12-15,16,False,Spurs,0,3,0,12,12,5.0,0.3333333333333333,14,6.0,32,9.0,,,,,,,0.0,0.0,5.0,17.0,2.0,16.0,0.7457627118644068,0.6157965194109772,True,1.2345679012345678,0.6535947712418301,False,-1.128825659847467,27,7.0,0.4666666666666667,24,10.0,11,6.0,13.0,0.8666666666666667,14.0,4.0,12.0,3.0,,,,,,,0.8400563050027658
2016-12-17,17,False,West Ham,0,1,0,12,12,2.0,0.13333333333333333,14,4.0,35,11.0,,,,,,,0.0,0.0,5.0,20.0,1.0,14.0,0.7457627118644068,0.6157965194109772,True,1.199294532627866,1.1328976034858391,False,-1.1936228523146204,16,5.0,0.3333333333333333,18,7.0,31,11.0,8.0,0.5333333333333333,8.0,14.0,5.0,7.0,,,,,,,-0.7185490802490999
2016-12-27,18,True,Man City,0,3,0,12,12,2.0,0.13333333333333333,14,4.0,36,9.0,5.0,0.3333333333333333,9.0,15.0,6.0,9.0,,,,,,,1.2583668005354751,0.4067796610169491,True,1.045751633986928,0.7054673721340388,False,-1.2761204777576567,36,9.0,0.6,36,9.0,20,9.0,,,,,,,9.0,0.75,19.0,11.0,10.0,8.0,1.38708747582354
2016-12-31,19,True,Everton,2,2,1,13,12,1.0,0.06666666666666668,14,3.0,39,11.0,5.0,0.3333333333333333,9.0,18.0,6.0,10.0,,,,,,,1.2583668005354751,0.4067796610169491,True,1.045751633986928,0.8818342151675486,False,-1.2865801370496222,26,7.0,0.4666666666666667,23,7.0,21,6.0,,,,,,,3.0,0.25,11.0,14.0,5.0,11.0,0.1043173084094289
2017-01-02,20,False,West Brom,1,3,0,13,13,2.0,0.13333333333333333,16,5.0,41,12.0,,,,,,,0.0,0.0,5.0,21.0,0.0,9.0,0.7457627118644068,0.6157965194109772,True,0.7054673721340388,1.1328976034858391,False,-1.2361087683279437,26,6.0,0.4,25,5.0,23,6.0,9.0,0.6,16.0,13.0,10.0,8.0,,,,,,,-0.036898769203819085
2017-01-14,21,True,Bournemouth,3,1,3,16,13,1.0,0.06666666666666668,17,3.0,44,12.0,6.0,0.4,11.0,20.0,8.0,10.0,,,,,,,1.2583668005354751,0.4067796610169491,True,0.9586056644880174,1.164021164021164,False,-1.3240974342852798,25,7.0,0.4666666666666667,29,8.0,34,9.0,,,,,,,6.0,0.5,10.0,19.0,7.0,9.0,-0.24686562334132334
2017-01-23,22,False,Chelsea,0,2,0,16,16,4.0,0.26666666666666666,20,6.0,45,10.0,,,,,,,0.0,0.0,6.0,24.0,1.0,11.0,0.7457627118644068,0.6157965194109772,True,1.128747795414462,1.30718954248366,False,-1.134528537261573,52,12.0,0.8,45,11.0,15,4.0,15.0,1.0,28.0,6.0,15.0,3.0,,,,,,,1.9714051008689693
2017-02-02,23,False,Man Utd,0,0,1,17,16,4.0,0.26666666666666666,20,6.0,47,11.0,,,,,,,0.0,0.0,6.0,26.0,1.0,10.0,0.7457627118644068,0.6157965194109772,True,0.9523809523809524,0.3921568627450979,False,-1.2059116006144657,41,11.0,0.7333333333333333,33,9.0,21,4.0,11.0,0.7333333333333333,17.0,9.0,8.0,4.0,,,,,,,0.8732463314794404
2017-02-04,24,True,Liverpool,2,0,3,20,17,5.0,0.3333333333333333,20,6.0,47,8.0,6.0,0.4,14.0,21.0,9.0,10.0,,,,,,,1.2583668005354751,0.4067796610169491,True,1.30718954248366,0.9876543209876542,False,-1.242928234866708,46,6.0,0.4,52,7.0,28,7.0,,,,,,,8.0,0.6666666666666666,23.0,17.0,10.0,7.0,1.2007950743627518
2017-02-11,25,False,Arsenal,0,2,0,20,20,7.0,0.4666666666666667,22,6.0,47,6.0,,,,,,,1.0,0.08333333333333333,6.0,26.0,1.0,9.0,0.7457627118644068,0.6157965194109772,True,1.09347442680776,0.4793028322440087,False,-1.0706926966970376,47,7.0,0.4666666666666667,52,11.0,28,9.0,12.0,0.8,24.0,13.0,9.0,4.0,,,,,,,1.111096194685605
2017-02-25,26,True,Burnley,1,1,1,21,20,7.0,0.4666666666666667,22,5.0,49,5.0,8.0,0.5333333333333333,16.0,21.0,10.0,9.0,,,,,,,1.2583668005354751,0.4067796610169491,True,1.152542372881356,0.5622489959839357,True,-1.1316022210544363,30,7.0,0.4666666666666667,27,5.0,36,5.0,,,,,,,0.0,0.0,5.0,24.0,4.0,9.0,-0.3565322066335896
2017-03-04,27,False,Leicester,1,3,0,21,21,5.0,0.3333333333333333,23,3.0,50,5.0,,,,,,,1.0,0.08333333333333333,6.0,28.0,1.0,8.0,0.7457627118644068,0.6157965194109772,True,1.2345679012345678,0.7843137254901958,False,-1.1298925496673289,24,3.0,0.2,27,3.0,44,10.0,6.0,0.4,19.0,17.0,4.0,9.0,,,,,,,-0.9046647989030772
2017-03-11,28,True,Swansea,2,1,3,24,21,5.0,0.3333333333333333,24,4.0,53,6.0,8.0,0.5333333333333333,17.0,22.0,8.0,7.0,,,,,,,1.2583668005354751,0.4067796610169491,True,0.9586056644880174,1.128747795414462,False,-1.1887000828383714,27,9.0,0.6,35,9.0,59,8.0,,,,,,,6.0,0.5,14.0,29.0,7.0,11.0,-0.7524798689527306
2017-03-18,29,False,Everton,0,4,0,24,24,7.0,0.4666666666666667,26,6.0,54,7.0,,,,,,,1.0,0.08333333333333333,7.0,31.0,2.0,10.0,0.7457627118644068,0.6157965194109772,True,1.2345679012345678,1.30718954248366,False,-1.052194749844371,47,10.0,0.6666666666666666,47,13.0,30,6.0,15.0,1.0,30.0,10.0,18.0,3.0,,,,,,,0.5774671522714896
2017-04-01,30,True,West Ham,2,1,3,27,24,4.0,0.26666666666666666,26,4.0,58,11.0,11.0,0.7333333333333333,19.0,23.0,10.0,5.0,,,,,,,1.2583668005354751,0.4067796610169491,True,1.3507625272331154,0.8818342151675486,False,-1.1527792329572264,33,2.0,0.13333333333333333,40,8.0,52,11.0,,,,,,,7.0,0.5833333333333334,23.0,25.0,9.0,7.0,-0.522079348664519
2017-04-06,31,True,Middlesbrough,4,2,3,30,27,7.0,0.4666666666666667,28,6.0,59,10.0,13.0,0.8666666666666667,21.0,24.0,10.0,4.0,,,,,,,1.2583668005354751,0.4067796610169491,True,0.9830508474576272,0.6157965194109772,True,-1.002237311853864,23,2.0,0.13333333333333333,20,1.0,33,6.0,,,,,,,2.0,0.16666666666666666,8.0,16.0,0.0,4.0,-1.2228569978786383
2017-04-08,32,False,Man City,1,3,0,30,30,9.0,0.6,32,9.0,61,11.0,,,,,,,1.0,0.08333333333333333,7.0,35.0,1.0,11.0,0.7457627118644068,0.6157965194109772,True,1.657848324514991,0.915032679738562,False,-0.8532547282292678,58,6.0,0.4,57,6.0,34,5.0,9.0,0.6,24.0,14.0,7.0,5.0,,,,,,,1.0970435440562571
2017-04-15,33,False,Stoke,1,3,0,30,30,9.0,0.6,33,9.0,64,11.0,,,,,,,1.0,0.08333333333333333,8.0,38.0,2.0,12.0,0.7457627118644068,0.6157965194109772,True,0.7760141093474426,1.045751633986928,False,-0.9020997492312548,36,1.0,0.06666666666666668,34,2.0,47,7.0,7.0,0.4666666666666667,20.0,19.0,6.0,5.0,,,,,,,-0.5313738248896432
2017-04-22,34,True,Watford,2,0,3,33,30,6.0,0.4,34,8.0,67,13.0,13.0,0.8666666666666667,25.0,26.0,11.0,5.0,,,,,,,1.2583668005354751,0.4067796610169491,True,0.8714596949891067,1.09347442680776,False,-0.9263001413826644,40,9.0,0.6,37,4.0,52,5.0,,,,,,,4.0,0.3333333333333333,12.0,29.0,4.0,10.0,-0.28422320866190226
2017-04-29,35,False,Southampton,0,0,1,34,33,9.0,0.6,36,10.0,67,9.0,,,,,,,0.0,0.0,9.0,41.0,3.0,15.0,0.7457627118644068,0.6157965194109772,True,1.3756613756613756,0.9586056644880174,False,-0.8266852391381854,40,7.0,0.4666666666666667,39,6.0,44,8.0,7.0,0.4666666666666667,17.0,18.0,7.0,7.0,,,,,,,-0.28422320866190226
2017-05-06,36,True,Sunderland,0,2,0,34,34,7.0,0.4666666666666667,36,8.0,67,8.0,13.0,0.8666666666666667,27.0,26.0,11.0,5.0,,,,,,,1.2583668005354751,0.4067796610169491,True,1.0893246187363834,1.4814814814814816,False,-0.8487604017877879,21,1.0,0.06666666666666668,26,2.0,60,9.0,,,,,,,3.0,0.25,10.0,28.0,4.0,6.0,-1.5277610603154452
2017-05-14,37,False,Crystal Palace,0,4,0,34,34,4.0,0.26666666666666666,36,4.0,69,8.0,,,,,,,1.0,0.08333333333333333,9.0,41.0,3.0,13.0,0.7457627118644068,0.6157965194109772,True,0.6701940035273368,1.002178649237473,False,-0.8876843637483768,38,4.0,0.26666666666666666,46,4.0,61,11.0,7.0,0.4666666666666667,20.0,25.0,6.0,5.0,,,,,,,-0.6643675426796027
2017-05-21,38,True,Spurs,1,7,0,34,34,4.0,0.26666666666666666,36,3.0,73,9.0,12.0,0.8,27.0,28.0,10.0,6.0,,,,,,,1.2583668005354751,0.4067796610169491,True,1.4814814814814814,0.7054673721340388,False,-0.9192390365355791,83,12.0,0.8,79,11.0,25,3.0,,,,,,,12.0,1.0,32.0,16.0,12.0,3.0,1.676882738118218
