Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2016-08-13,1,True,Stoke,1,1,1,1,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.9103078982597056,0.2711864406779661,True,0.8278867102396513,1.09347442680776,False,,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2016-08-21,2,False,Sunderland,2,1,3,4,1,1.0,0.3333333333333333,1,1.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.9830508474576272,0.6157965194109772,True,0.8112874779541446,0.8714596949891067,False,-0.2674048921468829,0,0.0,0.0,1,1.0,2,2.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,-1.031418869709405
2016-08-28,3,False,West Brom,0,0,1,5,4,4.0,0.6666666666666666,3,3.0,2,2.0,,,,,,,3.0,1.0,2.0,1.0,2.0,1.0,0.9830508474576272,0.6157965194109772,True,0.7054673721340388,1.1328976034858391,False,0.5666804748386699,3,3.0,0.5,2,2.0,2,2.0,0.0,0.0,1.0,2.0,1.0,2.0,,,,,,,0.09444674580644503
2016-09-10,4,True,Crystal Palace,1,2,0,5,5,5.0,0.5555555555555556,3,3.0,2,2.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,0.9103078982597056,0.2711864406779661,True,0.8714596949891067,0.9876543209876542,False,0.3294436905983105,1,1.0,0.1111111111111111,1,1.0,3,3.0,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,-1.1347504898386247
2016-09-18,5,False,Everton,1,3,0,5,5,5.0,0.4166666666666667,4,4.0,4,4.0,,,,,,,4.0,0.6666666666666666,2.0,1.0,2.0,1.0,0.9830508474576272,0.6157965194109772,True,1.2345679012345678,1.30718954248366,False,-0.16110954085033408,10,10.0,0.8333333333333334,7,7.0,2,2.0,4.0,0.6666666666666666,2.0,1.0,2.0,1.0,,,,,,,1.4499858676530069
2016-09-24,6,True,Spurs,1,2,0,5,5,5.0,0.3333333333333333,5,5.0,7,7.0,1.0,0.16666666666666666,2.0,3.0,2.0,3.0,,,,,,,0.9103078982597056,0.2711864406779661,True,1.4814814814814814,0.7054673721340388,False,-0.5305482838361476,11,11.0,0.7333333333333333,8,8.0,2,2.0,,,,,,,4.0,0.6666666666666666,5.0,1.0,5.0,1.0,1.0610965676722952
2016-10-01,7,False,West Ham,1,1,1,6,5,4.0,0.26666666666666666,6,5.0,9,8.0,,,,,,,4.0,0.4444444444444444,3.0,4.0,3.0,4.0,0.9830508474576272,0.6157965194109772,True,1.199294532627866,1.1328976034858391,False,-0.7807971291535719,3,3.0,0.2,7,6.0,16,14.0,3.0,0.3333333333333333,3.0,7.0,3.0,7.0,,,,,,,-1.2334331460541934
2016-10-16,8,True,Watford,0,1,0,6,6,2.0,0.13333333333333333,7,4.0,10,8.0,1.0,0.1111111111111111,3.0,5.0,3.0,5.0,,,,,,,0.9103078982597056,0.2711864406779661,True,0.8714596949891067,1.09347442680776,False,-0.7495457878113558,8,7.0,0.4666666666666667,12,10.0,13,10.0,,,,,,,4.0,0.4444444444444444,5.0,5.0,5.0,5.0,-0.3388357670928048
2016-10-22,9,False,Arsenal,0,0,1,7,6,1.0,0.06666666666666668,7,4.0,11,9.0,,,,,,,5.0,0.4166666666666667,4.0,5.0,4.0,5.0,0.9830508474576272,0.6157965194109772,True,1.09347442680776,0.4793028322440087,False,-0.9727359042629355,19,15.0,1.0,19,13.0,9,4.0,9.0,0.75,11.0,7.0,11.0,7.0,,,,,,,1.5563774468206968
2016-10-29,10,True,Bournemouth,2,0,3,10,7,2.0,0.13333333333333333,7,3.0,11,7.0,1.0,0.08333333333333333,3.0,6.0,3.0,6.0,,,,,,,0.9103078982597056,0.2711864406779661,True,0.9586056644880174,1.164021164021164,False,-1.0090301930868348,12,8.0,0.5333333333333333,12,9.0,12,7.0,,,,,,,2.0,0.16666666666666666,3.0,8.0,3.0,8.0,-0.057114916589820965
