Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2017-08-13,1,False,Newcastle,2,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.7067833698030634,0.5601317957166392,False,1.185006045949214,0.749185667752443,True,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2017-08-20,2,True,Chelsea,1,2,0,3,3,3.0,1.0,2,2.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.5485996705107086,0.3938730853391684,False,1.312910284463895,0.5271828665568369,False,1.1496691395504979,0,0.0,0.0,2,2.0,3,3.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-1.0059604971066858
2017-08-27,3,True,Burnley,1,1,1,4,3,3.0,0.5,3,3.0,2,2.0,0.0,0.0,1.0,2.0,1.0,2.0,,,,,,,1.5485996705107086,0.3938730853391684,False,0.5689277899343544,1.1532125205930808,False,0.07285096135146328,3,3.0,0.5,3,3.0,3,3.0,,,,,,,3.0,1.0,3.0,2.0,3.0,2.0,0.07285096135146328
2017-09-09,4,False,Everton,3,0,3,7,4,4.0,0.4444444444444444,4,4.0,3,3.0,,,,,,,3.0,1.0,2.0,0.0,2.0,0.0,1.7067833698030634,0.5601317957166392,False,1.3838550247116972,0.7002188183807438,False,-0.058121522850074325,4,4.0,0.4444444444444444,2,2.0,3,3.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,,-0.058121522850074325
2017-09-17,5,True,Swansea,0,0,1,8,7,7.0,0.5833333333333334,7,7.0,3,3.0,1.0,0.16666666666666666,2.0,3.0,2.0,3.0,,,,,,,1.5485996705107086,0.3938730853391684,False,0.7877461706783369,1.186161449752883,False,0.4969402399907014,4,4.0,0.3333333333333333,2,2.0,5,5.0,,,,,,,4.0,0.6666666666666666,2.0,0.0,2.0,0.0,-0.5679317028465156
2017-09-23,6,False,West Ham,3,2,3,11,8,8.0,0.5333333333333333,7,7.0,3,3.0,,,,,,,6.0,1.0,5.0,0.0,5.0,0.0,1.7067833698030634,0.5601317957166392,False,0.6260296540362439,1.3566739606126914,False,0.3539674340993704,4,4.0,0.26666666666666666,4,4.0,10,10.0,3.0,1.0,2.0,0.0,2.0,0.0,,,,,,,-0.8772236410288742
2017-09-30,7,False,Huddersfield,4,0,3,14,11,8.0,0.5333333333333333,10,8.0,5,5.0,,,,,,,9.0,1.0,8.0,2.0,8.0,2.0,1.7067833698030634,0.5601317957166392,False,0.8222490931076178,0.8469055374592834,True,0.6516262728815522,9,6.0,0.4,5,2.0,3,3.0,5.0,0.5555555555555556,2.0,1.0,2.0,1.0,,,,,,,0.16894014482114306
2017-10-14,8,True,Bournemouth,1,0,3,17,14,11.0,0.7333333333333333,14,11.0,5,3.0,2.0,0.2222222222222222,2.0,3.0,2.0,3.0,,,,,,,1.5485996705107086,0.3938730853391684,False,0.8752735229759299,1.2520593080724878,False,0.9159363771421836,4,4.0,0.26666666666666666,4,4.0,11,8.0,,,,,,,0.0,0.0,1.0,6.0,1.0,6.0,-1.189664489851342
2017-10-22,9,True,Liverpool,4,1,3,20,17,13.0,0.8666666666666667,15,11.0,5,2.0,5.0,0.4166666666666667,3.0,3.0,3.0,3.0,,,,,,,1.5485996705107086,0.3938730853391684,False,1.4442013129102844,0.7907742998352554,False,1.2373132714307749,13,6.0,0.4,13,5.0,12,9.0,,,,,,,5.0,0.4166666666666667,7.0,11.0,7.0,11.0,0.4259603065581356
2017-10-28,10,False,Man Utd,0,1,0,20,20,13.0,0.8666666666666667,19,12.0,6,3.0,,,,,,,12.0,1.0,12.0,2.0,12.0,2.0,1.7067833698030634,0.5601317957166392,False,0.85667215815486,0.5251641137855579,False,1.446083862224237,20,10.0,0.6666666666666666,22,10.0,4,2.0,12.0,1.0,14.0,0.0,14.0,0.0,,,,,,,1.446083862224237
