Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2017-08-12,1,True,Liverpool,3,3,1,1,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.8237232289950578,1.2691466083150984,False,1.4442013129102844,0.7907742998352554,False,,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2017-08-19,2,False,Bournemouth,2,0,3,4,1,1.0,0.3333333333333333,3,3.0,3,3.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.6564551422319475,1.2850082372322902,False,1.1532125205930808,1.2691466083150984,False,-0.2874172848876245,0,0.0,0.0,0,0.0,1,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,-1.0059604971066858
2017-08-26,3,True,Brighton,0,0,1,5,4,4.0,0.6666666666666666,5,5.0,3,3.0,1.0,0.3333333333333333,3.0,3.0,3.0,3.0,,,,,,,0.8237232289950578,1.2691466083150984,False,0.9120521172638436,0.6287787182587666,True,0.5585240370278854,0,0.0,0.0,0,0.0,4,4.0,,,,,,,0.0,0.0,0.0,2.0,0.0,2.0,-1.3841682656778032
2017-09-09,4,False,Southampton,2,0,3,8,5,5.0,0.5555555555555556,5,5.0,3,3.0,,,,,,,3.0,1.0,2.0,0.0,2.0,0.0,0.6564551422319475,1.2850082372322902,False,0.5601317957166392,0.9190371991247264,False,0.32935529615042025,5,5.0,0.5555555555555556,3,3.0,2,2.0,4.0,0.6666666666666666,3.0,2.0,3.0,2.0,,,,,,,0.32935529615042025
2017-09-16,5,True,Man City,0,6,0,8,8,8.0,0.6666666666666666,7,7.0,3,3.0,2.0,0.3333333333333333,3.0,3.0,3.0,3.0,,,,,,,0.8237232289950578,1.2691466083150984,False,1.8818380743982488,0.7248764415156508,False,0.8518975542697738,10,10.0,0.8333333333333334,10,10.0,2,2.0,,,,,,,6.0,1.0,4.0,1.0,4.0,1.0,1.5618121828279186
2017-09-23,6,False,Swansea,2,1,3,11,8,8.0,0.5333333333333333,7,7.0,9,9.0,,,,,,,6.0,1.0,4.0,0.0,4.0,0.0,0.6564551422319475,1.2850082372322902,False,0.8896210873146623,1.4879649890590811,False,0.3539674340993704,5,5.0,0.3333333333333333,2,2.0,5,5.0,0.0,0.0,0.0,5.0,0.0,5.0,,,,,,,-0.569425872246813
2017-09-30,7,False,West Brom,2,2,1,12,11,10.0,0.6666666666666666,9,6.0,10,7.0,,,,,,,9.0,1.0,6.0,1.0,6.0,1.0,0.6564551422319475,1.2850082372322902,False,0.8896210873146623,0.9628008752735228,False,0.6516262728815522,8,5.0,0.3333333333333333,4,3.0,6,6.0,5.0,0.5555555555555556,2.0,1.0,2.0,1.0,,,,,,,-0.07240291920906154
2017-10-15,8,True,Arsenal,2,1,3,15,12,8.0,0.5333333333333333,11,6.0,12,9.0,2.0,0.2222222222222222,3.0,9.0,3.0,9.0,,,,,,,0.8237232289950578,1.2691466083150984,False,1.663019693654267,0.9225700164744646,False,0.4948162037434785,13,10.0,0.6666666666666666,11,7.0,8,4.0,,,,,,,1.0,0.1111111111111111,0.0,5.0,0.0,5.0,0.7053762904428309
2017-10-21,9,False,Chelsea,2,4,0,15,15,10.0,0.6666666666666666,13,8.0,13,10.0,,,,,,,10.0,0.8333333333333334,8.0,3.0,8.0,3.0,0.6564551422319475,1.2850082372322902,False,1.812191103789127,0.7439824945295405,False,0.8316367889944553,13,7.0,0.4666666666666667,13,7.0,8,4.0,4.0,0.3333333333333333,4.0,4.0,4.0,4.0,,,,,,,0.4259603065581356
2017-10-28,10,True,Stoke,0,1,0,15,15,7.0,0.4666666666666667,15,8.0,17,14.0,5.0,0.4166666666666667,5.0,10.0,5.0,10.0,,,,,,,0.8237232289950578,1.2691466083150984,False,0.7439824945295405,1.0543657331136738,False,0.4947129002346073,8,3.0,0.2,10,6.0,20,16.0,,,,,,,1.0,0.08333333333333333,4.0,11.0,4.0,11.0,-0.8372064465508741
