Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2019-08-10,1,True,Sheffield Utd,1,1,1,1,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.0067114093959733,1.0504201680672272,False,1.1302982731554159,0.5741626794258372,True,,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2019-08-17,2,False,Aston Villa,2,1,3,4,1,1.0,0.3333333333333333,1,1.0,1,1.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.092436974789916,1.5100671140939597,False,1.1961722488038278,1.1302982731554159,True,-0.26740489214688284,0,0.0,0.0,1,1.0,3,3.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,-1.031418869709405
2019-08-25,3,True,Man City,1,3,0,4,4,4.0,0.6666666666666666,3,3.0,2,2.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,1.0067114093959733,1.0504201680672272,False,1.5966386554621852,0.3691275167785235,False,0.6908628829858541,4,4.0,0.6666666666666666,7,7.0,2,2.0,,,,,,,3.0,1.0,5.0,0.0,5.0,0.0,0.6908628829858541
2019-08-31,4,False,Leicester,1,3,0,4,4,4.0,0.4444444444444444,4,4.0,5,5.0,,,,,,,3.0,1.0,2.0,1.0,2.0,1.0,1.092436974789916,1.5100671140939597,False,0.8053691275167785,0.8403361344537815,False,-0.056367167084071114,5,5.0,0.5555555555555556,3,3.0,2,2.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,,,,,,,0.5073045037566419
2019-09-15,5,True,Everton,3,1,3,7,4,4.0,0.3333333333333333,5,5.0,8,8.0,1.0,0.16666666666666666,2.0,4.0,2.0,4.0,,,,,,,1.0067114093959733,1.0504201680672272,False,1.0084033613445378,0.8389261744966443,False,-0.5377085035431454,7,7.0,0.5833333333333334,4,4.0,4,4.0,,,,,,,1.0,0.16666666666666666,0.0,2.0,0.0,2.0,0.6145240040493087
2019-09-21,6,False,Southampton,3,1,3,10,7,7.0,0.4666666666666667,8,8.0,9,9.0,,,,,,,3.0,0.5,3.0,4.0,3.0,4.0,1.092436974789916,1.5100671140939597,False,0.9060402684563761,1.2605042016806725,False,0.08904989128889644,7,7.0,0.4666666666666667,5,5.0,6,6.0,1.0,0.16666666666666666,2.0,3.0,2.0,3.0,,,,,,,0.08904989128889644
2019-09-28,7,True,West Ham,2,2,1,11,10,9.0,0.6,11,10.0,10,9.0,4.0,0.4444444444444444,5.0,5.0,5.0,5.0,,,,,,,1.0067114093959733,1.0504201680672272,False,0.8403361344537815,0.9395973154362416,False,0.5177831215446325,11,11.0,0.7333333333333333,8,8.0,7,2.0,,,,,,,5.0,0.5555555555555556,4.0,2.0,4.0,2.0,0.7976658899471365
2019-10-06,8,False,Arsenal,0,1,0,11,11,7.0,0.4666666666666667,13,10.0,12,10.0,,,,,,,6.0,0.6666666666666666,6.0,5.0,6.0,5.0,1.092436974789916,1.5100671140939597,False,1.4093959731543626,0.6722689075630253,False,0.3450808310299047,12,6.0,0.4,12,9.0,11,10.0,7.0,0.7777777777777778,7.0,5.0,7.0,5.0,,,,,,,0.5751347183831745
2019-10-19,9,True,Norwich,0,0,1,12,11,7.0,0.4666666666666667,13,9.0,13,8.0,5.0,0.4166666666666667,7.0,7.0,7.0,7.0,,,,,,,1.0067114093959733,1.0504201680672272,False,1.3186813186813189,0.5502392344497608,True,0.011022654530759228,6,3.0,0.2,10,4.0,21,13.0,,,,,,,0.0,0.0,1.0,10.0,1.0,10.0,-1.0912427985451478
2019-10-26,10,False,Watford,0,0,1,13,12,8.0,0.5333333333333333,13,8.0,13,5.0,,,,,,,6.0,0.5,6.0,6.0,6.0,6.0,1.092436974789916,1.5100671140939597,False,0.8724832214765101,1.1764705882352942,False,-0.053188954864661485,4,3.0,0.2,5,3.0,21,13.0,2.0,0.16666666666666666,3.0,8.0,3.0,8.0,,,,,,,-1.755235510533829
2019-11-02,11,True,Man Utd,1,0,3,16,13,6.0,0.4,13,5.0,13,4.0,6.0,0.4,7.0,7.0,7.0,7.0,,,,,,,1.0067114093959733,1.0504201680672272,False,1.3445378151260503,0.9731543624161074,False,-0.10050841842443116,13,5.0,0.3333333333333333,13,5.0,10,6.0,,,,,,,5.0,0.4166666666666667,5.0,6.0,5.0,6.0,-0.10050841842443116
2019-11-09,12,False,Newcastle,1,2,0,16,16,6.0,0.4,14,3.0,13,3.0,,,,,,,7.0,0.5833333333333334,6.0,6.0,6.0,6.0,1.092436974789916,1.5100671140939597,False,0.8053691275167785,1.0504201680672272,False,0.16505057775731846,12,7.0,0.4666666666666667,9,5.0,17,9.0,6.0,0.4,3.0,3.0,3.0,3.0,,,,,,,-0.4637135279848466
2019-11-23,13,True,Wolves,1,2,0,16,16,5.0,0.3333333333333333,15,2.0,15,3.0,8.0,0.5333333333333333,8.0,7.0,7.0,6.0,,,,,,,1.0067114093959733,1.0504201680672272,False,0.7983193277310925,0.8389261744966443,False,-0.05949641173087275,16,9.0,0.6,16,7.0,15,4.0,,,,,,,6.0,0.5,7.0,6.0,7.0,6.0,-0.05949641173087275
2019-11-30,14,False,Spurs,2,3,0,16,16,5.0,0.3333333333333333,16,3.0,17,4.0,,,,,,,4.0,0.3333333333333333,7.0,8.0,5.0,7.0,1.092436974789916,1.5100671140939597,False,1.140939597315436,0.6722689075630253,False,-0.25047854728462593,17,6.0,0.4,21,7.0,19,7.0,8.0,0.5333333333333333,11.0,5.0,8.0,4.0,,,,,,,-0.11132379879316713
2019-12-04,15,False,Crystal Palace,0,1,0,16,16,4.0,0.26666666666666666,18,5.0,20,7.0,,,,,,,4.0,0.3333333333333333,9.0,11.0,6.0,7.0,1.092436974789916,1.5100671140939597,False,0.6375838926174496,0.9663865546218487,False,-0.4108327019195738,18,4.0,0.26666666666666666,13,5.0,18,8.0,4.0,0.26666666666666666,5.0,7.0,4.0,7.0,,,,,,,-0.14577934584242955
2019-12-07,16,True,Liverpool,0,3,0,16,16,3.0,0.2,18,5.0,21,8.0,8.0,0.5333333333333333,9.0,9.0,7.0,5.0,,,,,,,1.0067114093959733,1.0504201680672272,False,1.4285714285714286,0.4026845637583893,False,-0.5484050100581251,43,15.0,1.0,37,14.0,14,6.0,,,,,,,13.0,1.0833333333333333,13.0,5.0,8.0,4.0,2.6704939620221735
2019-12-14,17,False,Chelsea,1,0,3,19,16,0.0,0.0,18,4.0,24,11.0,,,,,,,1.0,0.08333333333333333,9.0,12.0,3.0,7.0,1.092436974789916,1.5100671140939597,False,1.3087248322147649,0.5042016806722689,False,-0.6752777206453653,29,6.0,0.4,31,6.0,24,7.0,12.0,0.8,11.0,7.0,7.0,2.0,,,,,,,0.7878240074195929
2019-12-21,18,True,Burnley,0,1,0,19,19,3.0,0.2,19,4.0,24,9.0,5.0,0.3333333333333333,9.0,12.0,4.0,7.0,,,,,,,1.0067114093959733,1.0504201680672272,False,0.8823529411764708,1.2080536912751678,False,-0.4675655621987605,21,6.0,0.4,22,5.0,29,11.0,,,,,,,4.0,0.3333333333333333,9.0,16.0,6.0,12.0,-0.25259288992346834
2019-12-26,19,True,Arsenal,1,1,1,20,19,3.0,0.2,19,3.0,25,8.0,4.0,0.26666666666666666,9.0,13.0,2.0,6.0,,,,,,,1.0067114093959733,1.0504201680672272,False,1.3025210084033614,1.174496644295302,False,-0.5983583486686429,23,5.0,0.3333333333333333,24,6.0,27,8.0,,,,,,,5.0,0.4166666666666667,10.0,12.0,5.0,6.0,-0.18569741855233754
2019-12-28,20,False,Brighton,0,2,0,20,20,4.0,0.26666666666666666,20,2.0,26,6.0,,,,,,,4.0,0.3333333333333333,10.0,12.0,4.0,6.0,1.092436974789916,1.5100671140939597,False,0.6375838926174496,1.1764705882352942,False,-0.6322305050839203,20,5.0,0.3333333333333333,22,6.0,28,7.0,7.0,0.4666666666666667,12.0,11.0,7.0,7.0,,,,,,,-0.6322305050839203
2020-01-02,21,False,West Ham,0,4,0,20,20,4.0,0.26666666666666666,20,2.0,28,7.0,,,,,,,3.0,0.25,10.0,14.0,4.0,8.0,1.092436974789916,1.5100671140939597,False,1.0738255033557047,1.134453781512605,False,-0.7531673725606063,19,3.0,0.2,21,4.0,32,9.0,1.0,0.06666666666666668,12.0,19.0,7.0,12.0,,,,,,,-0.7342031671942301
2020-01-12,22,True,Watford,0,3,0,20,20,4.0,0.26666666666666666,20,2.0,32,8.0,4.0,0.26666666666666666,10.0,14.0,3.0,7.0,,,,,,,1.0067114093959733,1.0504201680672272,False,1.092436974789916,1.0402684563758389,False,-0.8398310685179665,19,10.0,0.6666666666666666,17,8.0,34,4.0,,,,,,,4.0,0.3333333333333333,6.0,20.0,4.0,7.0,-0.9331456316866296
2020-01-18,23,False,Norwich,0,1,0,20,20,1.0,0.06666666666666668,20,1.0,35,11.0,,,,,,,3.0,0.25,10.0,18.0,3.0,10.0,1.092436974789916,1.5100671140939597,False,1.2200956937799041,1.067503924646782,True,-0.9261464047467222,14,2.0,0.13333333333333333,22,4.0,45,10.0,3.0,0.2,17.0,25.0,7.0,9.0,,,,,,,-1.4579051060367059
2020-01-22,24,True,Brighton,3,1,3,23,20,1.0,0.06666666666666668,20,1.0,36,11.0,1.0,0.06666666666666668,10.0,17.0,2.0,10.0,,,,,,,1.0067114093959733,1.0504201680672272,False,0.6722689075630253,1.0738255033557047,False,-1.0241491368525744,25,5.0,0.3333333333333333,26,5.0,31,5.0,,,,,,,4.0,0.3333333333333333,10.0,18.0,5.0,7.0,-0.5846001510789371
2020-02-01,25,True,Aston Villa,2,1,3,26,23,3.0,0.2,23,3.0,37,11.0,4.0,0.26666666666666666,13.0,18.0,4.0,9.0,,,,,,,1.0067114093959733,1.0504201680672272,False,1.0047095761381477,0.5980861244019139,True,-0.8426046591320504,25,7.0,0.4666666666666667,31,6.0,45,12.0,,,,,,,4.0,0.3333333333333333,15.0,24.0,4.0,9.0,-0.6749221399017916
2020-02-09,26,False,Sheffield Utd,1,2,0,26,26,6.0,0.4,25,5.0,38,10.0,,,,,,,3.0,0.25,10.0,19.0,1.0,8.0,1.092436974789916,1.5100671140939597,False,1.0047846889952152,0.533751962323391,True,-0.6793388731424417,36,7.0,0.4666666666666667,26,3.0,23,4.0,7.0,0.4666666666666667,13.0,11.0,4.0,4.0,,,,,,,0.13914169690869316
2020-02-22,27,False,Burnley,0,3,0,26,26,6.0,0.4,26,6.0,40,8.0,,,,,,,3.0,0.25,11.0,21.0,2.0,9.0,1.092436974789916,1.5100671140939597,False,0.8053691275167785,1.3445378151260503,False,-0.7497583620132001,34,10.0,0.6666666666666666,30,6.0,39,5.0,7.0,0.4666666666666667,16.0,18.0,4.0,5.0,,,,,,,-0.1314009500435507
