Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2019-08-10,1,False,Watford,3,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.6722689075630253,1.0738255033557047,False,0.8724832214765101,1.1764705882352942,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2019-08-17,2,True,West Ham,1,1,1,4,3,3.0,1.0,3,3.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.6375838926174496,1.1764705882352942,False,0.8403361344537815,0.9395973154362416,False,1.2606230629781616,0,0.0,0.0,0,0.0,5,5.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-1.031418869709405
2019-08-24,3,True,Southampton,0,2,0,4,4,4.0,0.6666666666666666,4,4.0,1,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,0.6375838926174496,1.1764705882352942,False,0.7563025210084033,1.174496644295302,False,0.6908628829858541,0,0.0,0.0,1,1.0,5,5.0,,,,,,,0.0,0.0,0.0,3.0,0.0,3.0,-1.3561382517870468
2019-08-31,4,False,Man City,0,4,0,4,4,4.0,0.4444444444444444,4,4.0,3,3.0,,,,,,,3.0,1.0,3.0,0.0,3.0,0.0,0.6722689075630253,1.0738255033557047,False,1.912751677852349,0.5042016806722689,False,-0.056367167084071114,7,7.0,0.7777777777777778,10,10.0,3,3.0,1.0,0.3333333333333333,2.0,2.0,2.0,2.0,,,,,,,1.6346478454380682
2019-09-14,5,True,Burnley,1,1,1,5,4,4.0,0.3333333333333333,4,4.0,7,7.0,1.0,0.16666666666666666,1.0,3.0,1.0,3.0,,,,,,,0.6375838926174496,1.1764705882352942,False,0.8823529411764708,1.2080536912751678,False,-0.5377085035431454,4,4.0,0.3333333333333333,5,5.0,6,6.0,,,,,,,1.0,0.16666666666666666,2.0,3.0,2.0,3.0,-0.5377085035431454
2019-09-22,6,False,Newcastle,0,0,1,6,5,5.0,0.3333333333333333,5,5.0,8,8.0,,,,,,,3.0,0.5,3.0,4.0,3.0,4.0,0.6722689075630253,1.0738255033557047,False,0.8053691275167785,1.0504201680672272,False,-0.623349239022275,4,4.0,0.26666666666666666,4,4.0,8,8.0,1.0,0.16666666666666666,1.0,2.0,1.0,2.0,,,,,,,-0.9795488041778608
2019-09-28,7,False,Chelsea,0,2,0,6,6,3.0,0.2,5,2.0,8,8.0,,,,,,,4.0,0.4444444444444444,3.0,4.0,3.0,4.0,0.6722689075630253,1.0738255033557047,False,1.3087248322147649,0.5042016806722689,False,-0.6017479520653839,8,8.0,0.5333333333333333,12,12.0,13,9.0,2.0,0.2222222222222222,4.0,5.0,4.0,5.0,,,,,,,-0.04198241526037571
2019-10-05,8,True,Spurs,3,0,3,9,6,2.0,0.13333333333333333,5,1.0,10,9.0,2.0,0.2222222222222222,2.0,4.0,2.0,4.0,,,,,,,0.6375838926174496,1.1764705882352942,False,1.3865546218487397,0.7718120805369127,False,-0.8051886057364445,11,7.0,0.4666666666666667,14,9.0,9,6.0,,,,,,,2.0,0.2222222222222222,5.0,6.0,5.0,6.0,0.3450808310299047
2019-10-19,9,False,Aston Villa,1,2,0,9,9,5.0,0.3333333333333333,8,4.0,10,7.0,,,,,,,4.0,0.3333333333333333,3.0,6.0,3.0,6.0,0.6722689075630253,1.0738255033557047,False,1.1961722488038278,1.1302982731554159,True,-0.4298835266996037,8,5.0,0.3333333333333333,13,9.0,12,7.0,5.0,0.4166666666666667,5.0,4.0,5.0,4.0,,,,,,,-0.6503366173147851
2019-10-26,10,True,Everton,3,2,3,12,9,5.0,0.3333333333333333,9,5.0,12,5.0,5.0,0.4166666666666667,5.0,4.0,5.0,4.0,,,,,,,0.6375838926174496,1.1764705882352942,False,1.0084033613445378,0.8389261744966443,False,-0.6914564132405994,10,3.0,0.2,8,4.0,13,9.0,,,,,,,1.0,0.08333333333333333,1.0,6.0,1.0,6.0,-0.4787005937819534
2019-11-02,11,True,Norwich,2,0,3,15,12,7.0,0.4666666666666667,12,7.0,14,6.0,8.0,0.5333333333333333,8.0,6.0,8.0,6.0,,,,,,,0.6375838926174496,1.1764705882352942,False,1.3186813186813189,0.5502392344497608,True,-0.2832509973779421,7,1.0,0.06666666666666668,11,2.0,24,12.0,,,,,,,1.0,0.08333333333333333,1.0,10.0,1.0,10.0,-1.1969638921454968
2019-11-10,12,False,Man Utd,1,3,0,15,15,9.0,0.6,14,9.0,14,6.0,,,,,,,4.0,0.3333333333333333,4.0,8.0,4.0,8.0,0.6722689075630253,1.0738255033557047,False,1.1073825503355703,1.0504201680672272,False,0.007859551321777175,13,5.0,0.3333333333333333,13,5.0,11,5.0,8.0,0.5333333333333333,8.0,4.0,8.0,4.0,,,,,,,-0.3065225015493053
2019-11-23,13,True,Leicester,0,2,0,15,15,9.0,0.6,15,10.0,17,7.0,10.0,0.6666666666666666,10.0,6.0,9.0,5.0,,,,,,,0.6375838926174496,1.1764705882352942,False,1.134453781512605,0.9395973154362416,False,-0.20823744105805514,26,12.0,0.8,29,16.0,8,3.0,,,,,,,9.0,0.75,15.0,5.0,14.0,4.0,1.4279138815409511
2019-11-30,14,False,Liverpool,1,2,0,15,15,6.0,0.4,15,7.0,19,9.0,,,,,,,1.0,0.08333333333333333,5.0,11.0,2.0,11.0,0.6722689075630253,1.0738255033557047,False,1.8456375838926176,0.4201680672268908,False,-0.3896332957760848,37,13.0,0.8666666666666667,30,10.0,11,5.0,15.0,1.0,17.0,6.0,13.0,5.0,,,,,,,2.671771171036009
2019-12-06,15,False,Arsenal,2,1,3,18,15,6.0,0.4,16,7.0,21,9.0,,,,,,,1.0,0.08333333333333333,6.0,13.0,3.0,9.0,0.6722689075630253,1.0738255033557047,False,1.4093959731543626,0.6722689075630253,False,-0.543359379958146,19,4.0,0.26666666666666666,20,7.0,21,9.0,9.0,0.6,13.0,10.0,9.0,7.0,,,,,,,-0.013252667803857405
2019-12-09,16,True,Wolves,2,2,1,19,18,6.0,0.4,18,6.0,22,8.0,10.0,0.6666666666666666,10.0,8.0,9.0,5.0,,,,,,,0.6375838926174496,1.1764705882352942,False,0.7983193277310925,0.8389261744966443,False,-0.3099680491632882,23,11.0,0.7333333333333333,21,8.0,17,4.0,,,,,,,9.0,0.75,9.0,7.0,7.0,4.0,0.2861243530738042
2019-12-17,17,False,Crystal Palace,1,1,1,20,19,4.0,0.26666666666666666,20,6.0,24,10.0,,,,,,,3.0,0.25,8.0,14.0,5.0,10.0,0.6722689075630253,1.0738255033557047,False,0.6375838926174496,0.9663865546218487,False,-0.33763886032268264,22,7.0,0.4666666666666667,14,4.0,18,4.0,6.0,0.4,6.0,7.0,4.0,6.0,,,,,,,0.0
2019-12-21,18,True,Sheffield Utd,0,1,0,20,20,5.0,0.3333333333333333,21,6.0,25,8.0,10.0,0.6666666666666666,12.0,10.0,10.0,6.0,,,,,,,0.6375838926174496,1.1764705882352942,False,1.1302982731554159,0.5741626794258372,True,-0.3600792260611144,25,8.0,0.5333333333333333,21,8.0,16,7.0,,,,,,,7.0,0.5833333333333334,10.0,7.0,5.0,4.0,0.17735245462711582
2019-12-26,19,False,Spurs,1,2,0,20,20,5.0,0.3333333333333333,21,6.0,26,7.0,,,,,,,4.0,0.3333333333333333,9.0,15.0,6.0,9.0,0.6722689075630253,1.0738255033557047,False,1.140939597315436,0.6722689075630253,False,-0.4951931161395667,26,9.0,0.6,32,11.0,26,7.0,8.0,0.5333333333333333,19.0,9.0,10.0,6.0,,,,,,,0.12379827903489155
2019-12-28,20,True,Bournemouth,2,0,3,23,20,5.0,0.3333333333333333,22,6.0,28,7.0,7.0,0.4666666666666667,12.0,11.0,7.0,7.0,,,,,,,0.6375838926174496,1.1764705882352942,False,1.092436974789916,1.5100671140939597,False,-0.6322305050839203,20,4.0,0.26666666666666666,20,2.0,26,6.0,,,,,,,4.0,0.3333333333333333,10.0,12.0,4.0,6.0,-0.6322305050839203
2020-01-01,21,True,Chelsea,1,1,1,24,23,5.0,0.3333333333333333,24,6.0,28,6.0,7.0,0.4666666666666667,14.0,11.0,6.0,5.0,,,,,,,0.6375838926174496,1.1764705882352942,False,1.0084033613445378,0.9060402684563761,False,-0.4616187122145651,35,6.0,0.4,35,5.0,28,7.0,,,,,,,9.0,0.75,24.0,18.0,8.0,7.0,0.7045759291695994
2020-01-11,22,False,Everton,0,1,0,24,24,5.0,0.3333333333333333,25,5.0,29,5.0,,,,,,,4.0,0.3333333333333333,10.0,17.0,6.0,9.0,0.6722689075630253,1.0738255033557047,False,1.0067114093959733,0.8823529411764708,False,-0.4665728158433147,25,8.0,0.5333333333333333,24,5.0,32,4.0,8.0,0.5333333333333333,12.0,11.0,5.0,4.0,,,,,,,-0.3732582526746518
2020-01-18,23,True,Aston Villa,1,1,1,25,24,4.0,0.26666666666666666,25,4.0,30,5.0,5.0,0.3333333333333333,15.0,12.0,5.0,6.0,,,,,,,0.6375838926174496,1.1764705882352942,False,1.0047095761381477,0.5980861244019139,True,-0.5716406038867328,21,6.0,0.4,28,5.0,43,13.0,,,,,,,4.0,0.3333333333333333,14.0,23.0,5.0,10.0,-0.8375199545317248
