Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2020-09-15,1,False,Sheffield Utd,2,0,3,3,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0480349344978166,0.7291666666666667,False,0.8333333333333333,0.6550218340611353,False,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2020-09-22,2,True,Man City,1,3,0,3,3,3.0,1.0,2,2.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.9375,0.8296943231441049,False,1.965065502183406,0.7638888888888888,False,0.9746794344808964,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,
2020-09-28,3,False,West Ham,0,4,0,3,3,3.0,0.5,3,3.0,3,3.0,,,,,,,3.0,1.0,2.0,0.0,2.0,0.0,1.0480349344978166,0.7291666666666667,False,1.0416666666666667,1.4410480349344978,False,0.0,0,0.0,0.0,1,1.0,4,4.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,,-1.2583057392117918
2020-10-04,4,True,Fulham,1,0,3,6,3,3.0,0.3333333333333333,3,3.0,7,7.0,0.0,0.0,1.0,3.0,1.0,3.0,,,,,,,0.9375,0.8296943231441049,False,0.7079646017699115,0.564826700898588,True,-0.4318208214468999,0,0.0,0.0,3,3.0,10,10.0,,,,,,,0.0,0.0,3.0,4.0,3.0,4.0,-1.4283304094012843
2020-10-20,5,False,Leeds,1,0,3,9,6,6.0,0.5,4,4.0,7,7.0,,,,,,,3.0,0.5,2.0,4.0,2.0,4.0,1.0480349344978166,0.7291666666666667,False,1.0269576379974326,0.4129793510324484,True,-0.014218673447675,7,7.0,0.5833333333333334,9,9.0,8,8.0,4.0,0.6666666666666666,5.0,4.0,5.0,4.0,,,,,,,0.27015479550582605
2020-10-26,6,True,Newcastle,1,1,1,10,9,9.0,0.6,5,5.0,7,7.0,3.0,0.5,2.0,3.0,2.0,3.0,,,,,,,0.9375,0.8296943231441049,False,0.7860262008733624,1.2847222222222223,False,0.6226345659313836,7,7.0,0.4666666666666667,7,7.0,9,9.0,,,,,,,4.0,0.6666666666666666,3.0,1.0,3.0,1.0,0.043439620878933834
2020-10-31,7,True,Crystal Palace,2,0,3,13,10,7.0,0.4666666666666667,6,4.0,8,8.0,4.0,0.4444444444444444,3.0,4.0,3.0,4.0,,,,,,,0.9375,0.8296943231441049,False,0.6986899563318777,1.0416666666666667,False,0.4535952635352406,10,7.0,0.4666666666666667,8,7.0,9,9.0,,,,,,,6.0,0.6666666666666666,5.0,6.0,5.0,6.0,0.4535952635352406
2020-11-08,8,False,Leicester,0,1,0,13,13,10.0,0.6666666666666666,8,5.0,8,5.0,,,,,,,6.0,0.6666666666666666,3.0,4.0,3.0,4.0,1.0480349344978166,0.7291666666666667,False,1.2152777777777777,0.7423580786026202,False,0.6639441228214961,15,9.0,0.6,17,10.0,9,7.0,3.0,0.3333333333333333,4.0,6.0,4.0,6.0,,,,,,,1.0993173181142804
2020-11-24,9,True,Southampton,1,1,1,14,13,10.0,0.6666666666666666,8,5.0,9,2.0,7.0,0.5833333333333334,5.0,4.0,5.0,4.0,,,,,,,0.9375,0.8296943231441049,False,1.310043668122271,0.8680555555555556,False,0.3519503932339026,16,13.0,0.8666666666666667,16,13.0,12,6.0,,,,,,,7.0,0.5833333333333334,8.0,7.0,8.0,7.0,0.9552939244920212
2020-11-30,10,False,Arsenal,2,1,3,17,14,8.0,0.5333333333333333,9,5.0,10,3.0,,,,,,,6.0,0.5,3.0,5.0,3.0,5.0,1.0480349344978166,0.7291666666666667,False,1.25,1.0480349344978166,False,0.23972538433683724,13,4.0,0.26666666666666666,9,1.0,10,5.0,6.0,0.5,4.0,6.0,4.0,6.0,,,,,,,0.06215102556880961
2020-12-07,11,False,Liverpool,0,4,0,17,17,8.0,0.5333333333333333,11,6.0,11,4.0,,,,,,,9.0,0.75,5.0,6.0,5.0,6.0,1.0480349344978166,0.7291666666666667,False,1.8055555555555558,0.6986899563318777,False,0.493600418824105,21,11.0,0.7333333333333333,22,9.0,17,4.0,15.0,1.0,14.0,6.0,14.0,6.0,,,,,,,1.2115646643864395
2020-12-12,12,True,Aston Villa,0,1,0,17,17,7.0,0.4666666666666667,11,5.0,15,7.0,8.0,0.5333333333333333,6.0,5.0,6.0,5.0,,,,,,,0.9375,0.8296943231441049,False,0.8296943231441049,1.2847222222222223,False,0.21565703750834395,15,3.0,0.2,20,8.0,13,11.0,,,,,,,9.0,0.75,8.0,2.0,8.0,2.0,0.4172997431048648
2020-12-16,13,True,Chelsea,2,1,3,20,17,4.0,0.26666666666666666,11,3.0,16,8.0,8.0,0.5333333333333333,6.0,6.0,5.0,3.0,,,,,,,0.9375,0.8296943231441049,False,1.7030567685589522,1.3194444444444444,False,0.06026556527516451,22,10.0,0.6666666666666666,25,9.0,12,3.0,,,,,,,8.0,0.6666666666666666,11.0,5.0,8.0,4.0,0.7759191529177408
2020-12-22,14,False,Burnley,1,2,0,20,20,7.0,0.4666666666666667,13,5.0,17,8.0,,,,,,,6.0,0.5,5.0,10.0,3.0,10.0,1.0480349344978166,0.7291666666666667,False,0.8333333333333333,1.0043668122270744,False,0.3117747128176936,10,8.0,0.5333333333333333,6,3.0,18,6.0,4.0,0.26666666666666666,2.0,6.0,2.0,6.0,,,,,,,-0.9416494574244424
